systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_country;_boundaries;B0;37;(66.35,20.07);NOR/SWE;b.000;
b_country;_boundaries;B1;11;(67.30,23.24);SWE/FIN;b.001;
b_country;_boundaries;B2;24;(64.51,29.85);FIN/RUS;b.002;
b_country;_boundaries;B3;45;(39.97,-7.26);PRT/ESP;b.003;
b_country;_boundaries;B4;20;(42.73,0.80);ESP/FRA;b.004;
b_country;_boundaries;B5;7;(49.78,6.38);LUX/DEU;b.005;
b_country;_boundaries;B6;28;(51.84,6.49);DEU/NLD,BEL;b.006;
b_country;_boundaries;B7;21;(50.13,4.52);BEL/FRA,LUX;b.007;
b_country;_boundaries;B8;15;(51.17,5.02);BEL/NLD;b.008;
b_country;_boundaries;B9;53;(47.15,7.01);FRA/ITA,CHE,DEU,LUX;b.009;
b_country;_boundaries;CHE/ITA;;;;b.che_ita;
b_country;_boundaries;CHE/AUT;;;;b.che_aut;
b_country;_boundaries;CHE/LIE;;;;b.che_lie;
b_country;_boundaries;CHE/AUT2;;;;b.che_aut_2;
b_country;_boundaries;CHE/DEU;;;;b.che_deu;
b_country;_boundaries;AUT/LIE;;;;b.aut_lie;
b_country;_boundaries;DEU/AUT;;;;b.deu_aut;
b_country;_boundaries;DEU/CZE;;;;b.deu_cze;
b_country;_boundaries;DEU/POL;;;;b.deu_pol;
b_country;_boundaries;AUT/ITA;;;;b.aut_ita;
b_country;_boundaries;AUT/SVN;;;;b.aut_svn;
b_country;_boundaries;AUT/HUN;;;;b.aut_hun;
b_country;_boundaries;AUT/SVK;;;;b.aut_svk;
b_country;_boundaries;AUT/CZE;;;;b.aut_cze;
b_country;_boundaries;B13;69;(50.99,20.29);POL/CZE,SVK,UKR,BLR,LTU,RUS;b.013;
b_country;_boundaries;B14;34;(47.01,26.71);ROU/UKR,MDA;b.014;
b_country;_boundaries;B15;35;(44.44,23.82);ROU/SRB,BGR;b.015;
b_country;_boundaries;B16;19;(41.29,20.30);ALB/MNE,KOS,MKD,GRC;b.016;
b_country;_boundaries;B17;31;(39.97,45.30);TUR,IRN/GEO,ARM,AZE;b.017;
