route;Waypoint1;Waypoint2;Waypoint3;Error;Info
ab.ab093;+x28;+x29;BriVeilFal;SHARP_ANGLE;158.27
ab.ab093;+x3;AB1_E;+X212994;SHARP_ANGLE;150.38
ab.ab201;AB2;101;;DUPLICATE_COORDS;(50.900015,-113.975322)
ab.ab216;AB2;78;;DUPLICATE_COORDS;(53.43733,-113.490314)
ab.ab564;+X377550;+X960385;AB569;SHARP_ANGLE;144.50
ab.ab734;+X19;AB591;+X21;SHARP_ANGLE;146.40
ab.ab734;+X3;YahaTinRd;TR312;SHARP_ANGLE;163.49
ab.ab734;YahaTinRd;TR312;+X6;SHARP_ANGLE;148.11
ab.ab757;AB43_E;AB43_W;+X920318;SHARP_ANGLE;140.30
ab.ab880;USA/CAN;+X336128;+X669472;SHARP_ANGLE;137.44
afg.ah001;+X388569;+X674974;+X904158;SHARP_ANGLE;162.05
afg.ah001;+X674974;+X904158;+X443126;SHARP_ANGLE;167.26
afg.ah007;+X290007;+X862388;+X323292;SHARP_ANGLE;148.65
afg.ah007;+X347109;+X539431;+X143674;SHARP_ANGLE;135.67
afg.ah007;+X508002;+X820028;+X768986;SHARP_ANGLE;157.64
afg.ah007;+X645380;+X801414;+X126726;SHARP_ANGLE;151.94
afg.ah007;+X677417;+X929341;+X645380;SHARP_ANGLE;159.98
afg.ah007;+X695059;+X508002;+X820028;SHARP_ANGLE;172.02
afg.ah007;+X768986;+X568001;+X865021;SHARP_ANGLE;153.54
afg.ah007;+X801414;+X126726;+X347109;SHARP_ANGLE;147.92
afg.ah007;+X820028;+X768986;+X568001;SHARP_ANGLE;165.20
afg.ah007;Jab;NH01/37;Jab_S;SHARP_ANGLE;147.56
afg.ah077;+X717099;+X857862;+X840176;SHARP_ANGLE;148.27
ago.rtr05;AerIntAng;EN110_CatS;;VISIBLE_DISTANCE;13.52
ago.rtr05;BanQui;Tom;;VISIBLE_DISTANCE;63.86
ago.rtr05;Bar;MarTer;;VISIBLE_DISTANCE;11.11
ago.rtr05;BarDan;Ald;;VISIBLE_DISTANCE;13.21
ago.rtr05;Bon;Can;;VISIBLE_DISTANCE;14.69
ago.rtr05;Cal;EN105/354;;VISIBLE_DISTANCE;65.02
ago.rtr05;Calu;EN240_W;;VISIBLE_DISTANCE;59.60
ago.rtr05;Cam;Calu;;VISIBLE_DISTANCE;26.58
ago.rtr05;Cas;Don;;VISIBLE_DISTANCE;15.33
ago.rtr05;Cata;EN110_CacN;;VISIBLE_DISTANCE;35.77
ago.rtr05;Cato;WakuKun;;VISIBLE_DISTANCE;38.12
ago.rtr05;Cela;EN245;;VISIBLE_DISTANCE;33.87
ago.rtr05;ChiAer;Kav;;VISIBLE_DISTANCE;25.52
ago.rtr05;Chip;Cus;;VISIBLE_DISTANCE;10.48
ago.rtr05;Chiu;Hum;;VISIBLE_DISTANCE;13.32
ago.rtr05;COD/AGO;EN120_W;;VISIBLE_DISTANCE;10.06
ago.rtr05;EN100_N;Quim;;VISIBLE_DISTANCE;29.62
ago.rtr05;EN105/354;Vie;;VISIBLE_DISTANCE;13.09
ago.rtr05;EN110_CacS;Gan;;VISIBLE_DISTANCE;24.89
ago.rtr05;EN110_CatN;Bar;;VISIBLE_DISTANCE;20.48
ago.rtr05;EN120_W;EN120/210;;VISIBLE_DISTANCE;25.18
ago.rtr05;EN120/210;BanQui;;VISIBLE_DISTANCE;18.03
ago.rtr05;EN120/354;Cata;;VISIBLE_DISTANCE;20.35
ago.rtr05;EN220;Cax;;VISIBLE_DISTANCE;42.92
ago.rtr05;EN240_E;Cato;;VISIBLE_DISTANCE;10.34
ago.rtr05;EN245;Fra;;VISIBLE_DISTANCE;10.97
ago.rtr05;EN260_E;EN260_W;;VISIBLE_DISTANCE;12.90
ago.rtr05;EN260_W;Calo;;VISIBLE_DISTANCE;20.65
ago.rtr05;EN280_E;Poi;;VISIBLE_DISTANCE;17.56
ago.rtr05;EstAer;Mon;;VISIBLE_DISTANCE;26.38
ago.rtr05;EstHui;EstPriChi_N;;VISIBLE_DISTANCE;15.27
ago.rtr05;EstOnc;Muj;;VISIBLE_DISTANCE;24.40
ago.rtr05;EstPriChi_S;Quin;;VISIBLE_DISTANCE;22.41
ago.rtr05;Fra;Gai;;VISIBLE_DISTANCE;11.13
ago.rtr05;Gai;EN250;;VISIBLE_DISTANCE;13.02
ago.rtr05;Kav;EstOnc;;VISIBLE_DISTANCE;15.48
ago.rtr05;Mon;Ond_N;;VISIBLE_DISTANCE;28.31
ago.rtr05;Muj;Chiu;;VISIBLE_DISTANCE;16.01
ago.rtr05;Ond_S;Nam;;VISIBLE_DISTANCE;15.68
ago.rtr05;Quim;EN220;;VISIBLE_DISTANCE;30.43
ago.rtr05;Tom;EN210_W;;VISIBLE_DISTANCE;48.15
ago.rtr05;Vir;ChiAer;;VISIBLE_DISTANCE;15.15
ago.rtr05;ZenIto;Cas;;VISIBLE_DISTANCE;17.83
ago.rtr07;Cho;Qui;;VISIBLE_DISTANCE;38.20
ago.rtr07;EN100/260;EN105/260;;VISIBLE_DISTANCE;46.77
ago.rtr07;EN105/260;Cho;;VISIBLE_DISTANCE;42.26
ago.rtr07;Qui;EN354;;VISIBLE_DISTANCE;33.06
ago.rtr101;Con;Tome;;VISIBLE_DISTANCE;14.03
