description;place;lat;lng;radius
Siena College;siena;42.719450;-73.752063;25
Siena College;siena;42.719450;-73.752063;50
New York City;nyc;40.752459;-73.985367;20
Boston;boston;42.362096;-71.057510;20
Washington, D.C.;dc;38.899851;-77.03578;20
Naples, FL;naples;26.141878;-81.794586;25
Albuquerque, NM;albuquerque;35.104181;-106.627121;50
Wolf Creek Pass, CO;wolfcreek;37.474586;-106.792603;50
Seattle;seattle;47.594588;-122.335167;25
Montreal;montreal;45.522646;-73.546343;25
Innsbruck;innsbruck;47.266985;11.393638;25
London;london;51.507323;-0.127672;25
Copenhagen;copenhagen;55.683488;12.572136;25
University at Buffalo;ubuffalo;43.002811;-78.787251;50
