




name	states	number	route
Arnhem Highway	NT	B36	McMinns Lagoon-Jabiru
Barkly Highway	NT	N66-A2	Tennant Creek-Cloncurry
Buchanan Highway	NT	C80	Timber Creek-Birdum
Buntine Highway	NT	N96-B96	Nicholson-Willeroo
Carpentaria Highway	NT	B1	Daly Waters-Borroloola
Donohue Highway	NT	unc	Tobermorey-Boulia
Gunbarrel Highway	NT	unc	Victory Downs-Carnegie
Kakadu Highway	NT	A21/B21	Pine Creek-Jabiru
Lasseter Highway	NT	A4	Erldunda-Tjukaruru Rd
Plenty Highway	NT	C12	n of Alice Springs-QLD
Roper Highway	NT	B20	Mataranka-Ngukurr
Sandover Highway	NT	NT14	NT12-QLD
Stuart Highway	NT	A1-A87	Darwin-Port Augusta
Tablelands Highway	NT	B11-C16	Balbirini-Barkly Roadhouse
Victoria Highway	NT	A1	s of Wyndham-Katherine
