






name	states	number	route
Anne Beadell Highway	SA	unc	Laverton-Coober Pedy
Augusta Highway	SA	A1	Port Wakefield-Port Augusta
Barrier Highway	SA	A32	Giles Corner-Nyngan
Birdseye Highway	SA	B91	Cowell-Elliston
Browns Well Highway	SA	B57	Loxton-Pinnaroo
Copper Coast Highway	SA	B85	Port Wakefield-Wallaroo
Dukes Highway	SA	A8	Tailern Bend-VIC
Eyre Highway	SA	N1-A1	Norseman-Port Augusta
Flinders Highway	SA	B100	Ceduna-Port Lincoln
Glenelg Highway	SA	B160	Mount Gambier-Sebastopol
Goyder Highway	SA	B64	Crystal Brook-Monash
Horrocks Highway	SA	B56-B82	Gawler-Quorn
Lincoln Highway	SA	B100	Port Augusta-Lincoln
Mallee Highway	SA	B12	Tailern Bend-Piangil
Playford Highway	SA	B23	Kingscote-Cape Borda
Princes Highway	SA	A36-A1-unc-B65-unc-M1-A1-M1-A1-B1-A1-M1	Chippendale – Adelaide
Riddoch Highway	SA	A66-B66	Keith-Port MacDonnell
Salisbury Highway	SA	A9	Elizabeth Vale-Wingfield
Southern Ports Highway	SA	B101	Kingston-Millicent
Spencer Highway	SA	B89	Napperby-Minlaton
St Vincent Highway	SA	B88	Pine Point-Warooka
Stuart Highway	SA	A1-A87	Darwin-Port Augusta
Sturt Highway	SA	A20	Gawler-Tarcutta
Tod Highway	SA	B90	Kyancutta-Port Lincoln
Wilkins Highway	SA	B79-B78	Port Pirie-Hallett
Wimmera Highway	SA	B240-C240	Marong-Naracoorte
Yorke Highway	SA	B86	Port Wakefield-Stenhouse Bay
