
name	states	number	route
Bass Highway	VIC	M420-B460	Lang Lang-Leongatha
Bellarine Highway	VIC	B110	Geelong-Queenscliff
Borung Highway	VIC	C234-C239	Dimboola-Charlton
Burwood Highway	VIC	VIC26-C412	Kooyong-Belgrave
Calder Highway	VIC	B79-A79-M79	NSW-Niddrie
Cobb Highway	VIC	B75	Wilcanna-Moama
Dandenong Valley Highway?	VIC	VIC9	Bayswater-Frankston
Docklands Highway?	VIC	VIC30-VIC55-VIC32-VIC35-VIC50-VIC35-unc	South Melbourne-Brooklyn
Eastern Highway?	VIC	VIC29-VIC46-VIC45-VIC46-VIC34-VIC55-VIC60	Abbotsford-Parkville
Glenelg Highway	VIC	B160	Mount Gambier-Sebastopol
Goulburn Valley Highway	VIC	A39-M39-B340	NSW-Eildon
Hamilton Highway	VIC	B140	Geelong-Hamilton
Henty Highway	VIC	B200-A200	Lascelles-Portland
Highland Highway	VIC	C482	Traralgon-Yarram
Hopkins Highway	VIC	B120	Mortlake-Warnambool
Kiewa Valley Highway	VIC	C531	Wodonga-Mount Beauty
Loddon Valley Highway	VIC	B260	Kerang-Bendigo
Mallee Highway	VIC	B12	Tailern Bend-Piangil
Maroondah Highway?	VIC	VIC34-B300-B360-B340-C516-B300-B320	Balwyn-Mansfield
McIver Highway	VIC	B280	Bendigo-Heathcote
Melba Highway	VIC	B300	Yea-Coldstream
Melton Highway?	VIC	C754	Melton-Keilor
Midland Highway	VIC	C518-B300-A300	Mansfield-Geelong
Monaro Highway	VIC	B23	Cann River-Majura Parkway
Moorooduc Highway?	VIC	C784-C777	Frankston-Mount Martha
Mountain Highway?	VIC	VIC9-VIC7-VIC5-VIC36	Wantima-Sassafras
Murrey Valley Highway	VIC	Unl-B400	Euston-NSW e of Towong
Nepean Highway	VIC	VIC3-B110	Melbourne-Portsea
Northern Highway	VIC	B75	NSW-Wallan
Omeo Highway	VIC	C543	Tallangatta-Omeo
Plenty Valley Highway?	VIC	VIC27-VIC21	Bundoora-Preston
Princes Highway	VIC	A36-A1-unc-B65-unc-M1-A1-M1-A1-B1-A1-M1	Chippendale – Adelaide
Pyrenees Highway	VIC	B180	Elphinstone-Glenthompson
South Gippsland Highway	VIC	VIC12-M420-A440	Dandenong-Sale
Strzelecki Highway	VIC	B460	Morwell-Leongatha
Sturt Highway	VIC	A20	Gawler-Tarcutta
Sunraysia Highway	VIC	B220	Nunga-Ballarat
Surf Coast Highway	VIC	B100	Belmont-Torquay
Warburton Highway	VIC	B380	Lilydale-Warburton
Western Highway	VIC	A8-M8	SA-Derrimut
Western Port Highway	VIC	M780-A780	Lynbrook-Hastings
Wimmera Highway	VIC	B240-C240	Marong-Naracoorte
