System;Region;Route;Banner;Abbreviation;City;Root;AltRouteNames
cheh;CHE;GalsIns;;;Autostrasse Gals - Ins;che.autgalsins;
cheh;CHE;AutOenKlu;;;Autostrasse Oensingen - Klus;che.autoenklu;
cheh;CHE;H223;;;Autostrasse Spiez - Mülenen;che.h223;
cheh;CHE;EggGre;;;Eggfluhtunnel Grellingen;che.egggre;
cheh;CHE;SupMenSta;;;Superstrada Mendrisio - Stabio;che.supmensta;
cheh;CHE;UebHin;;;Ueberlandstrasse Hinwil;che.uebhin;
cheh;CHE;UmfBaz;;;Umfahrung Bazenheid;che.umfbaz;
cheh;CHE;UmfEbnKap;;;Umfahrung Ebnat-Kappel;che.umfebnkap;
cheh;CHE;UmfLicWat;;;Umfahrung Lichtensteig und Wattwil;che.umflicwat;
cheh;CHE;UmfTeu;;;Umfahrung Teufen;che.umfteu;
cheh;CHE;ZubHau;;;Zubringer Hausen;che.zubhau;
cheh;CHE;ZubRuf;;;Zubringer Rüfenacht;che.zubruf;
