System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
eursf;DEU;L232;;;Autobahnzubringer Aachen-Laurensberg;deu.L232;
eursf;DEU;ZubKolEhr;;;Autobahnzubringer Köln-Ehrenfeld;deu.zubkolehr;
eursf;DEU;L705;;;Bochumer Ring;deu.L705;
eursf;DEU;FluZubKol;;;Flughafenzubringer Köln-Bonn Kennedystraße;deu.fluzubkol;
eursf;DEU;FluZubMun;;;Flughafenzubringer München;deu.fluzubmun;
eursf;DEU;FluZubMunAST;;;Flughafenzubringer München AST;deu.fluzubmunast;
eursf;DEU;N4;;;Frankenschnellweg Nürnberg;deu.N4;
eursf;DEU;IndStrKol;;;Industriestraße Köln;deu.indstrkol;
eursf;DEU;L70;;;Kiesbergtunnel Wuppertal;deu.L70;
eursf;DEU;MalStrDor;;;Mallinckrodtstraße Dortmund;deu.malstrdor;
eursf;DEU;MunStrDus;;;Münchener Straße Düsseldorf;deu.munstrdus;
eursf;DEU;NordTanOld;;;Nordtangente Oldenburg;deu.nordtanold;
eursf;DEU;L124;;;Östliche Zubringerstraße Köln;deu.L124;
eursf;DEU;L260;;;Pariser Ring/Toledo Ring Aachen;deu.L260;
eursf;DEU;RheDus;;;Rheinallee/Rheinkniebrücke Düsseldorf;deu.rhedus;
eursf;DEU;L3004;;;Rosa-Luxemburg-Straße Frankfurt;deu.L3004;
eursf;DEU;RotWaldStr;;;Rotenwaldstraße Stuttgart-Botnang;deu.rotwaldstr;
eursf;DEU;L3193;;;Schnellstraße Erlensee - Hanau;deu.L3193;
eursf;DEU;L605;;;Schnellstraße Karlsruhe - Ettlingen;deu.L605;
eursf;DEU;L3005;;;Schnellstraße Niederhöchstadt - Eschborn;deu.L3005;
eursf;DEU;L40;;;Schnellstraße Potsdam - Großbeeren;deu.L40;
eursf;DEU;L74;;;Schnellstraße Wuppertal - Solingen;deu.L74;
eursf;DEU;SudTanFur;;;Südtangente Fürth - Nürnberg;deu.sudtanfur;
eursf;DEU;SudTanKar;;;Südtangente Karlsruhe;deu.sudtankar;
eursf;DEU;L418;;;Südtangente Wuppertal;deu.L418;
eursf;DEU;L141n;;;Viehbachtalstraße Solingen;deu.L141n;
eursf;DEU;WildParkStr;;;Wildparkstraße Stuttgart-Botnang;deu.wildparkstr;
