System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
myse;MYS;E1;;;Sha;mys.e001sha;
myse;MYS;E1;;;;mys.e001;
myse;MYS;E2;;;;mys.e002;
myse;MYS;E3;;;;mys.e003;
myse;MYS;E3;;Tam;Tam;mys.e003tam;
myse;MYS;E5;;;;mys.e005;
myse;MYS;E6;;;;mys.e006;
myse;MYS;E6;;Put;Put;mys.e006put;
myse;MYS;E7;;;;mys.e007;
myse;MYS;E8;;;;mys.e008;
myse;MYS;E9;;;;mys.e009;
myse;MYS;E10;;;;mys.e010;
myse;MYS;E11;;;;mys.e011;
myse;MYS;E11;;Puc;Puc;mys.e011puc;
myse;MYS;E12;;;;mys.e012;
myse;MYS;E13;;;;mys.e013;
myse;MYS;E14;;;;mys.e014;
myse;MYS;E15;;;;mys.e015;
myse;MYS;E17;;;;mys.e017;
myse;MYS;E18;;;;mys.e018;
myse;MYS;E20;;;;mys.e020;
myse;MYS;E21;;;;mys.e021;
myse;MYS;E22;;;;mys.e022;
myse;MYS;E22;;Pas;Pas;mys.e022pas;
myse;MYS;E23;;Dam;Dam;mys.e023dam;
myse;MYS;E23;;Ker;Ker;mys.e023ker;
myse;MYS;E23;;Pen;Pen;mys.e023pen;
myse;MYS;E25;;;;mys.e025;
myse;MYS;E26;;;;mys.e026;
myse;MYS;E28;;;;mys.e028;
myse;MYS;E29;;;;mys.e029;
myse;MYS;E33;;;;mys.e033;
myse;MYS;E35;;;;mys.e035;
myse;MYS;E36;;;;mys.e036;
myse;MYS;E37;;;;mys.e037;
myse;MYS;E37;;Buk;Buk;mys.e037buk;
myse;MYS;E38;;;;mys.e038;
