systemName;region;route;banner;abbrev;city;root;altRouteNames
eurtr;SCT;BurHT;;;Burns Heritage Trail;sct.burht;
eurtr;SCT;ClySLTrl;;;Clyde Sea Lochs Trail;sct.clysltrl;
eurtr;SCT;CoaTrl;;;(East Lothian) Coastal Trail;sct.coatrl;
eurtr;SCT;HilTrl;;;(East Lothian) Hillfoots Trail;sct.hiltrl;
eurtr;SCT;SalTrl;;;(East Lothian) Saltire Trail;sct.saltrl;
eurtr;SCT;GalKiteTrl;;;Galloway Kite Trail;sct.galkitetrl;
eurtr;ENG;HWTTE;;;Hadrian's Wall Tourist Trail (Pennines);eng.hwtte;
eurtr;ENG;HWTTW;;;Hadrian's Wall Tourist Trail (Solway Coast);eng.hwttw;
eurtr;SCT;LochNessTrl;;;Loch Ness Trail;sct.lochnesstrl;
eurtr;SCT;NECoaTrl;;;North East Coastal Trail;sct.necoatrl;
eurtr;NIR;StPatTR;;Ban;St Patrick's Trail (Bangor);nir.stpattrban;
eurtr;NIR;StPatTR;;;St Patrick's Trail (Newry);nir.stpattr;
eurtr;SCT;SolCoaHT;;;Solway Coast Heritage Trail;sct.solcoaht;
eurtr;SCT;SnowRoaSR;;;Snow Roads Scenic Route;sct.snowroasr;
eurtr;SCT;TroTrl;;;Trossachs Trail;sct.trotrl;
eurtr;SCT;VicHT;;;Victorian Heritage Trail;sct.vicht;
eurtr;SCT;WesRossCT;;;Wester Ross Coastal Trail;sct.wesrossct;
