systemName;route;banner;groupName;roots
afrea;EA1;;Northern Corridor;ken.ea001,uga.ea001,rwa.ea001,bdi.ea001
afrea;EA1.1;;;ken.ea0011,tza.ea0011
afrea;EA1.2;;;ken.ea0012
afrea;EA1.3;;;ken.ea0013
afrea;EA1.4;;;ken.ea0014,uga.ea0014
afrea;EA1.5;;;uga.ea0015
afrea;EA1.6;;;uga.ea0016
afrea;EA1.7;;;uga.ea0017
afrea;EA1.8;;;uga.ea0018
afrea;EA2;;Central Corridor;tza.ea002,bdi.ea002,rwa.ea002
afrea;EA2.1;;;tza.ea0021,uga.ea0021
afrea;EA2.2;;;tza.ea0022
afrea;EA2.3;;;tza.ea0023,rwa.ea0023
afrea;EA2.4;;;rwa.ea0024
afrea;EA3;;TAZARA Corridor;tza.ea003
afrea;EA3.1;;;tza.ea0031
afrea;EA4;;Namanga Corridor;ken.ea004,tza.ea004
afrea;EA4.1;;;ken.ea0041
afrea;EA4.2;;;tza.ea0042
afrea;EA5;;Sumbawanga Corridor;tza.ea005,bdi.ea005
afrea;EA5.1;;;tza.ea0051
afrea;EA6;;Sirari Corridor (Geita);tza.ea006gei
afrea;EA6;;Sirari Corridor (Kisumu);tza.ea006,ken.ea006
afrea;EA7;;Coastal Corridor (Malindi);ken.ea007
afrea;EA7;;Coastal Corridor (Dar es Salaam);ken.ea007uku,tza.ea007
afrea;EA8;;Mtwara Corridor;tza.ea008
afrea;EA8.1;;;tza.ea0081
afrea;EA8.2;;;tza.ea0082
afrea;EA9;;Arusha Corridor;tza.ea009
afrea;EA10;;Gulu Corridor;uga.ea010
afrea;EA10.1;;;uga.ea0101
