systemName;region;route;banner;abbrev;city;root;altRouteNames
afrtah;EGY;TAH1;;;Cairo–Dakar Highway;egy.tah1;
afrtah;NAM;TAH3;;;Tripoli–Cape Town Highway;nam.tah3;
afrtah;ZAF;TAH3;;;Tripoli–Cape Town Highway;zaf.tah3;
afrtah;KEN;TAH4;;;Cairo–Cape Town Highway;ken.tah4;
afrtah;TZA;TAH4;;;Cairo–Cape Town Highway;tza.tah4;
afrtah;ZMB;TAH4;;;Cairo–Cape Town Highway;zmb.tah4;
afrtah;ZWE;TAH4;;;Cairo–Cape Town Highway;zwe.tah4;
afrtah;BWA;TAH4;;;Cairo–Cape Town Highway;bwa.tah4;
afrtah;ZAF;TAH4;;;Cairo–Cape Town Highway;zaf.tah4;
afrtah;KEN;TAH8;;;Lagos–Mombassa Highway;ken.tah8;
afrtah;ZWE;TAH9;;;Beira–Lobito Highway;zwe.tah9;
afrtah;ZMB;TAH9;;;Beira–Lobito Highway;zmb.tah9;
afrtah;KEN;TAH10;;;Djibouti–Bata Highway;ken.tah10;
afrtah;RWA;TAH10;;;Djibouti–Bata Highway;rwa.tah10;
afrtah;BDI;TAH10;;;Djibouti–Bata Highway;bdi.tah10;
