systemName;route;banner;groupName;roots
afrtah;TAH1;;Cairo–Dakar Highway (Egypt);egy.tah1
afrtah;TAH1;;Cairo–Dakar Highway (Senegal);sen.tah1
afrtah;TAH3;;Tripoli–Cape Town Highway;nam.tah3,zaf.tah3
afrtah;TAH4;;Cairo–Cape Town Highway;ken.tah4,tza.tah4,zmb.tah4,zwe.tah4,bwa.tah4,zaf.tah4
afrtah;TAH5;;Trans-Sahelian Highway;sen.tah5
afrtah;TAH7;;Trans-West African Coastal Highway (Dakar);sen.tah7
afrtah;TAH7;;Trans-West African Coastal Highway (Bignona);sen.tah7big
afrtah;TAH8;;Lagos–Mombassa Highway;ken.tah8,uga.tah8
afrtah;TAH9;;Beira–Lobito Highway;moz.tah9,zwe.tah9,zmb.tah9
afrtah;TAH10;;Djibouti–Bata Highway;ken.tah10,uga.tah10,rwa.tah10,bdi.tah10
