systemName;region;route;banner;abbrev;city;root;altRouteNames
andcs;AND;CS101;;;;and.cs101;
andcs;AND;CS102;;;;and.cs102;
andcs;AND;CS120;;;;and.cs120;
andcs;AND;CS130;;;;and.cs130;
andcs;AND;CS131;;;;and.cs131;
andcs;AND;CS140;;;;and.cs140;
andcs;AND;CS141;;;;and.cs141;
andcs;AND;CS142;;;;and.cs142;
andcs;AND;CS143;;;;and.cs143;
andcs;AND;CS144;;;;and.cs144;
andcs;AND;CS200;;;;and.cs200;
andcs;AND;CS210;;;;and.cs210;
andcs;AND;CS220;;;;and.cs220;
andcs;AND;CS221;;;;and.cs221;
andcs;AND;CS230;;;;and.cs230;
andcs;AND;CS240;;;;and.cs240;
andcs;AND;CS250;;;;and.cs250;
andcs;AND;CS251;;;;and.cs251;
andcs;AND;CS255;;;;and.cs255;
andcs;AND;CS260;;;;and.cs260;
andcs;AND;CS261;;;;and.cs261;
andcs;AND;CS262;;;;and.cs262;
andcs;AND;CS265;;;;and.cs265;
andcs;AND;CS266;;;;and.cs266;
andcs;AND;CS270;;;;and.cs270;
andcs;AND;CS280;;;;and.cs280;
andcs;AND;CS300;;;;and.cs300;
andcs;AND;CS310;;;;and.cs310;
andcs;AND;CS320;;;;and.cs320;
andcs;AND;CS321;;;;and.cs321;
andcs;AND;CS330;;;;and.cs330;
andcs;AND;CS335;;;;and.cs335;
andcs;AND;CS340;;;;and.cs340;
andcs;AND;CS345;;;;and.cs345;
andcs;AND;CS350;;;;and.cs350;
andcs;AND;CS360;;;;and.cs360;
andcs;AND;CS370;;;;and.cs370;
andcs;AND;CS400;;;;and.cs400;
andcs;AND;CS420;;;;and.cs420;
andcs;AND;CS430;;;;and.cs430;
andcs;AND;CS500;;;;and.cs500;
andcs;AND;CS510;;;;and.cs510;
andcs;AND;CS520;;;;and.cs520;
andcs;AND;CS530;;;;and.cs530;
andcs;AND;CS600;;;;and.cs600;
andcs;AND;CS610;;;;and.cs610;
