System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
asiah;CHN-LN;AH1;;;;chnln.ah001;
asiah;CHN-HE;AH1;;Fen;Fengrun;chnhe.ah001fen;
asiah;CHN-TJ;AH1;;;;chntj.ah001;
asiah;CHN-BJ;AH1;;;;chnbj.ah001;
asiah;CHN-HE;AH1;;;Shijiazhuang;chnhe.ah001;
asiah;PAK;AH1;;;;pak.ah001;
asiah;AFG;AH1;;;;afg.ah001;
asiah;IRN;AH1;;;;irn.ah001;
asiah;TUR;AH1;;;;tur.ah001;
asiah;PAK;AH2;;;;pak.ah002;
asiah;IRN;AH2;;;;irn.ah002;
asiah;RUS;AH3;;;;rus.ah003;
asiah;MGL;AH3;;;;mgl.ah003;
asiah;CHN-NM;AH3;;;;chnnm.ah003;
asiah;CHN-HE;AH3;;;Zhangjiakou;chnhe.ah003;
asiah;CHN-BJ;AH3;;;;chnbj.ah003;
asiah;CHN-HE;AH3;;Lan;Langfang;chnhe.ah003lan;
asiah;CHN-TJ;AH3;;;;chntj.ah003;
asiah;RUS;AH4;;;;rus.ah004;
asiah;MGL;AH4;;;;mgl.ah004;
asiah;CHN-XJ;AH4;;;;chnxj.ah004;
asiah;PAK;AH4;;;;pak.ah004;
asiah;CHN-GS;AH5;;;;chngs.ah005;
asiah;CHN-XJ;AH5;;;;chnxj.ah005;
asiah;KAZ;AH5;;;Almaty;kaz.ah005;
asiah;KGZ;AH5;;;;kgz.ah005;
asiah;KAZ;AH5;;Shy;Shykment;kaz.ah005shy;
asiah;UZB;AH5;;;;uzb.ah005;
asiah;TKM;AH5;;;;tkm.ah005;
asiah;AZE;AH5;;;;aze.ah005;
asiah;GEO;AH5;;;;geo.ah005;
asiah;TUR;AH5;;;;tur.ah005;
asiah;RUS;AH6;;;;rus.ah006;
asiah;RUS;AH6;;Mos;Moskva;rus.ah006mos;
asiah;RUS;AH6;;Che;Chelyabinsk;rus.ah006che;
asiah;KAZ;AH6;;;;kaz.ah006;
asiah;CHN-HL;AH6;;;;chnhl.ah006;
asiah;CHN-NM;AH6;;;;chnnm.ah006;
asiah;RUS;AH6;;Uss;Ussuriysk;rus.ah006uss;
asiah;RUS;AH6;;Nak;Nakhodka;rus.ah006nak;
asiah;RUS;AH6;;Vla;Vladivostock;rus.ah006vla;
asiah;RUS;AH7;;;;rus.ah007;
asiah;RUS;AH7;;Che;Chelyabinsk;rus.ah007che;
asiah;KAZ;AH7;;;;kaz.ah007;
asiah;KGZ;AH7;;;;kgz.ah007;
asiah;UZB;AH7;;;;uzb.ah007;
asiah;TJK;AH7;;;;tjk.ah007;
asiah;AFG;AH7;;;;afg.ah007;
asiah;PAK;AH7;;;;pak.ah007;
asiah;RUS;AH8;;;;rus.ah008;
asiah;RUS;AH8;;Mos;Moskva;rus.ah008mos;
asiah;AZE;AH8;;;;aze.ah008;
asiah;IRN;AH8;;;;irn.ah008;
asiah;RUS;AH31;;;;rus.ah031;
asiah;CHN-HL;AH31;;;;chnhl.ah031;
asiah;CHN-JL;AH31;;;;chnjl.ah031;
asiah;CHN-LN;AH31;;;;chnln.ah031;
asiah;PRK;AH32;;;;prk.ah032;
asiah;CHN-JL;AH32;;;;chnjl.ah032;
asiah;CHN-NM;AH32;;;;chnnm.ah032;
asiah;MGL;AH32;;;;mgl.ah032;
asiah;CHN-HL;AH33;;;;chnhl.ah033;
asiah;CHN-GS;AH42;;;;chngs.ah042;
asiah;PAK;AH51;;;;pak.ah051;
asiah;RUS;AH60;;;;rus.ah060;
asiah;KAZ;AH60;;;;kaz.ah060;
asiah;CHN-XJ;AH61;;;;chnxj.ah061;
asiah;KGZ;AH61;;;;kgz.ah061;
asiah;KAZ;AH61;;;;kaz.ah061;
asiah;KAZ;AH61;;Mar;Martuk;kaz.ah061mar;
asiah;RUS;AH61;;;;rus.ah061;
asiah;KAZ;AH62;;;;kaz.ah062;
asiah;UZB;AH62;;;;uzb.ah062;
asiah;AFG;AH62;;;;afg.ah062;
asiah;UZB;AH63;;;;uzb.ah063;
