systemName;region;route;banner;abbrev;city;root;altRouteNames
asiaho;VNM;AH17;;;(outline);vnm.ah017;
asiaho;IDN;AH25;;;(outline);idn.ah025;
asiaho;PHL;AH26;;;Manila (outline);phl.ah026;
asiaho;PHL;AH26;;Cat;Catbalogan (outline);phl.ah026cat;
asiaho;PHL;AH26;;Gen;General Santos (outline);phl.ah026gen;
asiaho;PHL;AH26;;Orm;Ormoc (outline);phl.ah026orm;
asiaho;PHL;AH26;;Cag;Cagayan de Oro (outline);phl.ah026cag;
asiaho;MMR;AH112;;;(outline);mmr.ah112;
asiaho;IDN;AH150;;Sam;Samarinda (outline);idn.ah150sam;
asiaho;MYS;AH150;;;Kota Kinabalu (outline);mys.ah150;
asiaho;IDN;AH151;;;(outline);idn.ah151;
