system;route;banner;groupname;roots
asiaho;AH1;;South Korea;kor.ah001
asiaho;AH1;;South Asia;ind.ah001guw,bgd.ah001,ind.ah001
asiaho;AH2;;South East Asia;sgp.ah002,mys.ah002
asiaho;AH2;;South Asia;ind.ah002guw,bgd.ah002,ind.ah002sil,npl.ah002,ind.ah002
asiaho;AH6;;Irkusk, RUS;rus.ah006irk
asiaho;AH6;;Korea;kor.ah006
asiaho;AH30;;;rus.ah030
asiaho;AH41;;;bgd.ah041
asiaho;AH42;;;npl.ah042,ind.ah042
asiaho;AH43;;India;ind.ah043
asiaho;AH43;;Sri Lanka;lka.ah043
asiaho;AH43;;Kandy, LKA;lka.ah043kan
asiaho;AH44;;;lka.ah044
asiaho;AH45;;;ind.ah045
asiaho;AH46;;;ind.ah046
asiaho;AH47;;;ind.ah047
asiaho;AH48;;;btn.ah048,ind.ah048
asiaho;AH141;;;mys.ah141
asiaho;AH143;;;sgp.ah143,mys.ah143
asiaho;AH368;;;hkg.ah368
asiaho;AH374;;;hkg.ah374
