System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
asiah;KOR;AH1;;;;kor.ah001;
asiah;PRK;AH1;;;;prk.ah001;
asiah;CHN-LN;AH1;;;;chnln.ah001;
asiah;CHN-HE;AH1;;Fen;Fengrun;chnhe.ah001fen;
asiah;CHN-TJ;AH1;;;;chntj.ah001;
asiah;CHN-BJ;AH1;;;;chnbj.ah001;
asiah;CHN-HE;AH1;;;Shijiazhuang;chnhe.ah001;
asiah;CHN-HA;AH1;;;;chnha.ah001;
asiah;CHN-HB;AH1;;;;chnhb.ah001;
asiah;CHN-HN;AH1;;;;chnhn.ah001;
asiah;CHN-GD;AH1;;;;chngd.ah001;
asiah;CHN-GX;AH1;;;;chngx.ah001;
asiah;VNM;AH1;;;;vnm.ah001;
asiah;KHM;AH1;;;;khm.ah001;
asiah;THA;AH1;;;;tha.ah001;
asiah;MMR;AH1;;;;mmr.ah001;
asiah;IND-MN;AH1;;;;indmn.ah001;
asiah;IND-NL;AH1;;;;indnl.ah001;
asiah;IND-AS;AH1;;;;indas.ah001;
asiah;IND-ML;AH1;;;;indml.ah001;
asiah;BGD;AH1;;;Dhaka;bgd.ah001;
asiah;BGD;AH1;;Jes;Jessore;bgd.ah001jes;
asiah;IND-WB;AH1;;;;indwb.ah001;
asiah;IND-JH;AH1;;;;indjh.ah001;
asiah;IND-BR;AH1;;;;indbr.ah001;
asiah;IND-UP;AH1;;;;indup.ah001;
asiah;IND-DL;AH1;;;;inddl.ah001;
asiah;IND-HR;AH1;;;;indhr.ah001;
asiah;IND-PB;AH1;;;;indpb.ah001;
asiah;PAK;AH1;;;;pak.ah001;
asiah;AFG;AH1;;;;afg.ah001;
asiah;IRN;AH1;;;;irn.ah001;
asiah;CHN-GD;AH1;;She;Shenzen (branch);chngd.ah001she;
asiah;MMR;AH1;;Yan;Yangon (branch);mmr.ah001yan;
asiah;IDN;AH2;;Den;Denepasar;idn.ah002den;
asiah;IDN;AH2;;;Jakarta;idn.ah002;
asiah;SGP;AH2;;;;sgp.ah002;
asiah;MYS;AH2;;;;mys.ah002;
asiah;THA;AH2;;;;tha.ah002;
asiah;MMR;AH2;;;;mmr.ah002;
asiah;IND-MN;AH2;;;;indmn.ah002;
asiah;IND-NL;AH2;;;;indnl.ah002;
asiah;IND-AS;AH2;;;;indas.ah002;
asiah;IND-ML;AH2;;;;indml.ah002;
asiah;BGD;AH2;;;;bgd.ah002;
asiah;IND-WB;AH2;;;;indwb.ah002;
asiah;NPL;AH2;;;;npl.ah002;
asiah;IND-UT;AH2;;;;indut.ah002;
asiah;IND-UP;AH2;;;;indup.ah002;
asiah;IND-DL;AH2;;;;inddl.ah002;
asiah;IND-HR;AH2;;;;indhr.ah002;
asiah;IND-PB;AH2;;;;indpb.ah002;
asiah;PAK;AH2;;;;pak.ah002;
asiah;IRN;AH2;;;;irn.ah002;
asiah;IDN;AH2;;Ban;Bandung (branch);idn.ah002ban;
asiah;IDN;AH2;;Mer;Merak (branch);idn.ah002mer;
asiah;RUS;AH3;;;;rus.ah003;
asiah;MGL;AH3;;;;mgl.ah003;
asiah;CHN-NM;AH3;;;;chnnm.ah003;
asiah;CHN-HE;AH3;;;Zhangjiakou;chnhe.ah003;
asiah;CHN-BJ;AH3;;;;chnbj.ah003;
