systemName;region;route;banner;abbrev;city;root;altRouteNames
asiahr;JPN;AH1;;;;jpn.ah001;
asiahr;CHN-LN;AH1;;;;chnln.ah001;
asiahr;CHN-HE;AH1;;Fen;Fengrun;chnhe.ah001fen;
asiahr;CHN-TJ;AH1;;;;chntj.ah001;
asiahr;CHN-BJ;AH1;;;;chnbj.ah001;
asiahr;CHN-HE;AH1;;;Shijiazhuang;chnhe.ah001;
asiahr;IDN;AH2;;Den;Denepasar;idn.ah002den;
asiahr;IDN;AH2;;;Jakarta;idn.ah002;
asiahr;SGP;AH2;;;;sgp.ah002;
asiahr;MYS;AH2;;;;mys.ah002;
asiahr;IDN;AH2;;Ban;Bandung (branch);idn.ah002ban;
asiahr;IDN;AH2;;Mer;Merak (branch);idn.ah002mer;
asiahr;CHN-NM;AH3;;;;chnnm.ah003;
asiahr;CHN-HE;AH3;;;Zhangjiakou;chnhe.ah003;
asiahr;CHN-BJ;AH3;;;;chnbj.ah003;
asiahr;CHN-HE;AH3;;Lan;Langfang;chnhe.ah003lan;
asiahr;CHN-TJ;AH3;;;;chntj.ah003;
asiahr;CHN-HL;AH6;;;;chnhl.ah006;
asiahr;CHN-NM;AH6;;;;chnnm.ah006;
asiahr;RUS;AH6;;Uss;Ussuriysk;rus.ah006uss;
asiahr;RUS;AH6;;Nak;Nakhodka (branch);rus.ah006nak;
asiahr;RUS;AH6;;Vla;Vladivostock (branch);rus.ah006vla;
asiahr;MYS;AH18;;;;mys.ah018;
asiahr;RUS;AH30;;;;rus.ah030;
asiahr;RUS;AH31;;;;rus.ah031;
asiahr;CHN-HL;AH31;;;;chnhl.ah031;
asiahr;CHN-JL;AH31;;;;chnjl.ah031;
asiahr;CHN-LN;AH31;;;;chnln.ah031;
asiahr;CHN-JL;AH32;;;;chnjl.ah032;
asiahr;CHN-NM;AH32;;;;chnnm.ah032;
asiahr;CHN-HL;AH33;;;;chnhl.ah033;
asiahr;LKA;AH43;;;;lka.ah043;
asiahr;LKA;AH43;;Kan;Kandy (branch);lka.ah043kan;
asiahr;LKA;AH44;;;;lka.ah044;
asiahr;MYS;AH140;;;;mys.ah140;
asiahr;MYS;AH141;;;;mys.ah141;
asiahr;MYS;AH142;;;;mys.ah142;
asiahr;SGP;AH143;;;;sgp.ah143;
asiahr;MYS;AH143;;;;mys.ah143;
asiahr;IDN;AH150;;;Banjamarsin;idn.ah150;
asiahr;IDN;AH150;;Sos;Sosok;idn.ah150sos;
asiahr;MYS;AH150;;Bin;Bintulu;mys.ah150bin;
asiahr;BRN;AH150;;;Bandar Seri Begawan;brn.ah150;
asiahr;MYS;AH150;;Lim;Limbang;mys.ah150lim;
asiahr;BRN;AH150;;Ban;Bangar;brn.ah150ban;
asiahr;IDN;AH150;;Pon;Pontianak (branch);idn.ah150pon;
asiahr;MYS;AH150;;Kuc;Kuching (branch);mys.ah150kuc;
asiahr;IDN;AH152;;;;idn.ah152;
