system;route;banner;groupname;roots
asim;M5;;Iraq (outline);irq.m005
asim;M5;;Saudi Arabia (outline);sau.m005
asim;M5;;Oman (outline);omn.m005
asim;M7;;(outline);omn.m007
asim;M9;;(outline);omn.m009
asim;M10;;(outline);irq.m010,syr.m010
asim;M15;;(outline);syr.m015,irq.m015
asim;M20;;(outline);syr.m020
asim;M25;;(outline);sau.m025
asim;M30;;(outline);lbn.m030,syr.m030,irq.m030
asim;M35;;(outline);sau.m035
asim;M40;;Iraq (outline);irq.m040
asim;M40;;Egypt (outline);egy.m040
asim;M45;;Syria (outline);syr.m045
asim;M45;;Arabia (outline);sau.m045,yem.m045
asim;M50;;Iraq/Saudi Arabia (outline);irq.m050,sau.m050
asim;M50;;Egypt (outline);egy.m050
asim;M51;;(outline);syr.m051,lbn.m051
asim;M55;;Egypt (outline);egy.m055
asim;M55;;Arabia (outline);sau.m055,yem.m055
asim;M60;;(outline);egy.m060
asim;M65;;(outline);egy.m065
asim;M67;;(outline);egy.m067
asim;M70;;(outline);sau.m070
asim;M75;;(outline);egy.m075
asim;M80;;(outline);sau.m080
asim;M90;;(outline);sau.m090
asim;M100;;(outline);omn.m100,yem.m100
