systemName;route;banner;groupName;roots
ausa;A1;;;ausqld.a001
ausa;A1;;Grafton, New South Wales;ausnsw.a001gra
ausa;A1;;Coffs Harbour, New South Wales;ausnsw.a001cof
ausa;A1;;Eungai Creek, New South Wales;ausnsw.a001eun
ausa;A1;;Buladulah, New South Wales;ausnsw.a001bul
ausa;A1;;Chatswood, New South Wales;ausnsw.a001cha
ausa;A1;;Sydney, New South Wales;ausnsw.a001syd
ausa;A1;;Shell Harbour, New South Wales;ausnsw.a001she
ausa;A1;;;ausvic.a001
ausa;A1;;Winchelsea, Victoria;ausvic.a001win
ausa;A1;;Warnambool, Victoria;ausvic.a001war
ausa;A1;;Mount Gambier, South Australia;aussas.a001mtg
ausa;A1;;Murray Bridge, South Australia;aussas.a001mur
ausa;A1;;Adelaide, South Australia;aussas.a001ade
ausa;A1;;;aussas.a001
