systemName;route;banner;groupName;roots
ausnswtd;BMD;;Blue Mountains Drive;ausnsw.bmd
ausnswtd;TD1;;John Renshaw Parkway;ausnsw.td001jrp
ausnswtd;TD1;;Jenolan Caves Road;ausnsw.td001jen
ausnswtd;TD2;;Lue and Glen Alice Roads;ausnsw.td002lue
ausnswtd;TD2;;The Bucketts Way;ausnsw.td002
ausnswtd;TD3;;Killarney Gap and Copeton Dam Roads;ausnsw.td003
ausnswtd;TD3;;Hill End and Sofala Roads;ausnsw.td003sof
ausnswtd;TD4;;Inverell Tourist Drive;ausnsw.td004
ausnswtd;TD4;;Hill End and Sofala Roads;ausnsw.td004sof
ausnswtd;TD4;;Jervis Bay Tourist Drive;ausnsw.td004jer
ausnswtd;TD5;;Burrendong Way;ausnsw.td005
ausnswtd;TD5;;Dalmeny Drive;ausnsw.td005dal
ausnswtd;TD6;;The Lakes Way;ausnsw.td006
ausnswtd;TD7;;Oracles Way;ausnsw.td007
ausnswtd;TD7;;Boonoo Boonoo National Park;ausnsw.td007boo
ausnswtd;TD7;;Kangaroo Valley Tourist Drive;ausnsw.td007cam
ausnswtd;TD7;;George Bass Drive;ausnsw.td007gbd
ausnswtd;TD7;;Wee Jasper Road;ausnsw.td007wjr
ausnswtd;TD8;;Bungendore Tourist Drive;ausnsw.td008bun
ausnswtd;TD8;;Manning Valley Tourist Drive;ausnsw.td008
ausnswtd;TD8;;Kangeroo Valley Tourist Drive;ausnsw.td008kan
ausnswtd;TD9;;Tenterfield;ausnsw.td009ten
ausnswtd;TD9;;Jamberoo Mountain Road;ausnsw.td009jam
ausnswtd;TD9;;Sapphire Coast Drive;ausnsw.td009
ausnswtd;TD10;;Ocean Drive;ausnsw.td010
ausnswtd;TD11;;Mount Kiera Tourist Drive;ausnsw.td011
ausnswtd;TD11;;Emmaville;ausnsw.td011emm
ausnswtd;TD12;;Macleay Valley Way;ausnsw.td012mac
ausnswtd;TD12;;Macleay Valley (South West Rocks);ausnsw.td012swr
ausnswtd;TD12;;Macleay Valley (Trial Bay Gaol);ausnsw.td012tbg
ausnswtd;TD12;;Picton Tourist Drive;ausnsw.td012
ausnswtd;TD14;;Grassy Head Road;ausnsw.td014gra
ausnswtd;TD14;;Moss Vale Tourist Route;ausnsw.td014
ausnswtd;TD15;;Giinagay Way;ausnsw.td015gii
ausnswtd;TD15;;Fitzroy Falls Tourist Drive;ausnsw.td015
ausnswtd;TD16;;Bundanoon Tourist Drive;ausnsw.td016bun
ausnswtd;TD16;;Hungry Head Road;ausnsw.td016
ausnswtd;TD17;;Waterfall Tourist Drive;ausnsw.td017
ausnswtd;TD17;;Berrima Tourist Drive;ausnsw.td017ber
ausnswtd;TD18;;Coffs Harbour;ausnsw.td018
ausnswtd;TD19;;Armidale;ausnsw.td019
ausnswtd;TD21;;Thunderbolts Way;ausnsw.td021
ausnswtd;TD22;;Clarence River Tourist Drive (Maclean);ausnsw.td022mac
ausnswtd;TD22;;Clarence River Tourist Drive (Grafton);ausnsw.td022
ausnswtd;TD23;;Nundle;ausnsw.td023
ausnswtd;TD24;;Hinterland Way;ausnsw.td024
ausnswtd;TD25;;Currabubula Tourist Drive;ausnsw.td025
ausnswtd;TD26;;Evans Head Tourist Drive;ausnsw.td026
ausnswtd;TD28;;Coolamon Scenic Drive;ausnsw.td028
ausnswtd;TD30;;Byron Bay Road;ausnsw.td030
ausnswtd;TD31;;Dungog;ausnsw.td031
ausnswtd;TD32;;Mount Burrell Tourist Drive;ausnsw.td032
ausnswtd;TD33;;Wollombi Tourist Drive;ausnsw.td033
ausnswtd;TD34;;Numinbah Road;ausnsw.td034
ausnswtd;TD36;;Tyalglum Road;ausnsw.td036
ausnswtd;TD38;;Tweed Coast Road;ausnsw.td038
ausnswtd;TD38;;Tweed Coast Road (Chinderah);ausnsw.td038chi
ausnswtd;TD40;;Tweed Valley Way;ausnsw.td040
ausnswtd;TD42;;Tomewin Road;ausnsw.td042
