systemName;route;banner;groupName;roots
ausqld;QLD2;;;ausqld.qld002,ausnsw.qld002
ausqld;QLD3;;Bundaberg;ausqld.qld003
ausqld;QLD3;;Gold Coast;ausqld.qld003gol
ausqld;QLD4;;;ausqld.qld004
ausqld;QLD6;;;ausqld.qld006
ausqld;QLD7;;;ausqld.qld007
ausqld;QLD7;;Gold Coast;ausqld.qld007gol
ausqld;QLD8;;;ausqld.qld008
ausqld;QLD9;;;ausqld.qld009
ausqld;QLD10;;Bli Bli;ausqld.qld010bli
ausqld;QLD10;;Brisbane;ausqld.qld010
ausqld;QLD10;;Gold Coast;ausqld.qld010gol
ausqld;QLD11;;Elphinstone;ausqld.qld011
ausqld;QLD11;;Coolum Beach;ausqld.qld011coo
ausqld;QLD11;;Brisbane;ausqld.qld011bri
ausqld;QLD12;;Diamentina;ausqld.qld012
ausqld;QLD12;;Mount Perry;ausqld.qld012mpe
ausqld;QLD12;;Eumundi;ausqld.qld012eum
ausqld;QLD13;;;ausqld.qld013
ausqld;QLD14;;Windorah;ausqld.qld014
ausqld;QLD14;;Townsville;ausqld.qld014tow
ausqld;QLD15;;Gympie;ausqld.qld015
ausqld;QLD15;;Brisbane;ausqld.qld015bri
ausqld;QLD16;;;ausqld.qld016
ausqld;QLD17;;;ausqld.qld017
ausqld;QLD19;;;ausqld.qld019
ausqld;QLD20;;Sherwood;ausqld.qld020
ausqld;QLD20;;Wooloowin;ausqld.qld020woo
ausqld;QLD20;;Carindale;ausqld.qld020car
ausqld;QLD20;;Gold Coast;ausqld.qld020gol
ausqld;QLD21;;;ausqld.qld021
ausqld;QLD22;;Ferny Grove;ausqld.qld022
ausqld;QLD22;;Carindale;ausqld.qld022car
ausqld;QLD23;;;ausqld.qld023
ausqld;QLD24;;Millaa Millaa;ausqld.qld024mil
ausqld;QLD24;;Brisbane;ausqld.qld024
ausqld;QLD24;;Gold Coast;ausqld.qld024gol
ausqld;QLD25;;Malanda;ausqld.qld025
ausqld;QLD25;;Brisbane;ausqld.qld025bri
ausqld;QLD26;;;ausqld.qld026
ausqld;QLD27;;Chillagoe;ausqld.qld027
ausqld;QLD27;;Brisbane;ausqld.qld027bri
ausqld;QLD28;;;ausqld.qld028
ausqld;QLD29;;Isisford;ausqld.qld029
ausqld;QLD29;;Everton Park;ausqld.qld029eve
ausqld;QLD30;;;ausqld.qld030
ausqld;QLD31;;;ausqld.qld031
ausqld;QLD32;;;ausqld.qld032
ausqld;QLD33;;;ausqld.qld033
ausqld;QLD34;;;ausqld.qld034
ausqld;QLD35;;;ausqld.qld035
ausqld;QLD36;;;ausqld.qld036
ausqld;QLD37;;;ausqld.qld037
ausqld;QLD38;;;ausqld.qld038
ausqld;QLD39;;;ausqld.qld039
ausqld;QLD40;;Cooktown;ausqld.qld040
ausqld;QLD40;;Brisbane;ausqld.qld040bri
ausqld;QLD40;;Gold Coast;ausqld.qld040gol
ausqld;QLD41;;;ausqld.qld041
ausqld;QLD41;;Brisbane;ausqld.qld041bri
ausqld;QLD42;;;ausqld.qld042
ausqld;QLD43;;;ausqld.qld043
ausqld;QLD44;;Craiglie;ausqld.qld044
ausqld;QLD44;;Capalaba;ausqld.qld044cap
ausqld;QLD45;;;ausqld.qld045
ausqld;QLD46;;;ausqld.qld046
ausqld;QLD47;;;ausqld.qld047
ausqld;QLD48;;;ausqld.qld048
ausqld;QLD49;;;ausqld.qld049
ausqld;QLD50;;Logan City;ausqld.qld050
ausqld;QLD50;;Merrimac;ausqld.qld050mer
ausqld;QLD51;;;ausqld.qld051
ausqld;QLD52;;Yungaburra;ausqld.qld052
ausqld;QLD52;;Biggenden;ausqld.qld052big
ausqld;QLD54;;;ausqld.qld054
ausqld;QLD55;;;ausqld.qld055
ausqld;QLD56;;;ausqld.qld056
ausqld;QLD57;;Hervey Bay;ausqld.qld057
ausqld;QLD57;;Brisbane;ausqld.qld057bri
ausqld;QLD58;;Gladstone;ausqld.qld058gla
ausqld;QLD58;;Brisbane;ausqld.qld058
ausqld;QLD60;;Gladstone;ausqld.qld060
ausqld;QLD60;;Caboolture;ausqld.qld060cab
ausqld;QLD61;;;ausqld.qld061
ausqld;QLD62;;Hughenden;ausqld.qld062
ausqld;QLD62;;Ipswich;ausqld.qld062ips
ausqld;QLD63;;;ausqld.qld063
ausqld;QLD64;;;ausqld.qld064
ausqld;QLD67;;;ausqld.qld067
ausqld;QLD68;;;ausqld.qld068
ausqld;QLD69;;;ausqld.qld069
ausqld;QLD70;;;ausqld.qld070
ausqld;QLD70;;Maroochydore;ausqld.qld070mar
ausqld;QLD71;;;ausqld.qld071
ausqld;QLD72;;;ausqld.qld072
ausqld;QLD74;;;ausqld.qld074
ausqld;QLD75;;;ausqld.qld075
ausqld;QLD77;;Collinsville;ausqld.qld077
ausqld;QLD77;;Brisbane;ausqld.qld077bri
ausqld;QLD80;;Gatton;ausqld.qld080
ausqld;QLD80;;Burley Heads;ausqld.qld080bur
ausqld;QLD81;;;ausqld.qld081
ausqld;QLD82;;;ausqld.qld082
ausqld;QLD84;;;ausqld.qld084
ausqld;QLD85;;Goondiwindi;ausqld.qld085goo
ausqld;QLD85;;Caboolture;ausqld.qld085
ausqld;QLD86;;;ausqld.qld086
ausqld;QLD87;;;ausqld.qld087
ausqld;QLD88;;;ausqld.qld088
ausqld;QLD89;;;ausqld.qld089
