systemName;route;banner;groupName;roots
ausqldtd;TD1;;Settlers Route;ausqld.td001
ausqldtd;TD2;;Central Highlands Tourist Route;ausqld.td002
ausqldtd;TD2;;Paradise Dam Tourist Drive;ausqld.td002par
ausqldtd;TD3;;Border Rivers Tourist Drive;ausqld.td003
ausqldtd;TD3;;Granite Belt Drive;ausqld.td003gra
ausqldtd;TD4;;Central Highlands Tourist Route;ausqld.td004
ausqldtd;TD4;;Darling Downs Tourist Drive;ausqld.td004cli
ausqldtd;TD5;;Armistice Way;ausqld.td005
ausqldtd;TD6;;Central Highlands Tourist Route;ausqld.td006
ausqldtd;TD6;;Bauple Tourist Drive;ausqld.td006bau
ausqldtd;TD6;;Highland Drive;ausqld.td006hig
ausqldtd;TD7;;Central Highlands Tourist Route;ausqld.td007
ausqldtd;TD7;;Oracle's Way;ausqld.td007ora
ausqldtd;TD7;;Mount Coot-Tha Tourist Drive;ausqld.td007mct
ausqldtd;TD8;;Central Highlands Tourist Route;ausqld.td008chi
ausqldtd;TD8;;Shearers Way;ausqld.td008
ausqldtd;TD8;;Mount Nebo Tourist Drive;ausqld.td008mtn
ausqldtd;TD8;;Gold Coast Hinterland Food & Wine Trail;ausqld.td008gch
ausqldtd;TD9;;Mount Glourious Tourist Drive;ausqld.td009
ausqldtd;TD10;;Capricorn Coast Tourist Drive;ausqld.td010
ausqldtd;TD11;;Sunflower Route;ausqld.td011
ausqldtd;TD12;;Sprint Route;ausqld.td012spr
ausqldtd;TD12;;Fraser Coast Tourist Drive;ausqld.td012
ausqldtd;TD14;;Cedar Route;ausqld.td014
ausqldtd;TD16;;Scenic Rim Tourist Drive;ausqld.td016
ausqldtd;TD21;;The Falls Drive;ausqld.td021
ausqldtd;TD22;;Kenilworth Tourist Drive;ausqld.td022
ausqldtd;TD23;;Blackhall Range Tourist Drive;ausqld.td023
ausqldtd;TD24;;Glass House Mtns Tourist Drive;ausqld.td024
ausqldtd;TD25;;Tanhawa - Forest Glen Tourist Drive;ausqld.td025
ausqldtd;TD29;;Mt Mee Tourist Drive;ausqld.td029
ausqldtd;TD40;;Gympie City Tourist Drive;ausqld.td040
ausqldtd;TD41;;Opportunity Drive;ausqld.td041
ausqldtd;TD42;;Mary Valley Tourist Drive;ausqld.td042
ausqldtd;TD43;;Cooloola Coast-Fraser Island Tourist Drive;ausqld.td043
ausqldtd;AusDinTrl;;Australia's Dinosaur Trail;ausqld.ausdintrl
ausqldtd;CCTD;;Cobb & Co Tourist Drive;ausqld.cctd
ausqldtd;CWTD;;Canecutter Way Tourist Drive;ausqld.cwtd
ausqldtd;DinFenDr;;Dingo Barrier Fence Drive;ausqld.dinfendr
ausqldtd;GBRTD;;Great Barrier Reef Tourist Drive (Cape Tribuation);ausqld.gbrtdtri
ausqldtd;GBRTD;;Great Barrier Reef Tourist Drive (Mossman);ausqld.gbrtd
ausqldtd;GtBunDr;;Great Bunya Drive;ausqld.gtbundr
ausqldtd;HibCoaTD;;Hibiscus Coast Tourist Drive;ausqld.hibcoatd
ausqldtd;HibCoaTD;;Hibiscus Coast Tourist Drive (Kuttabul);ausqld.hibcoatdkut
ausqldtd;MBTD;;Mission Beach Tourist Drive;ausqld.mbtd
ausqldtd;NMBTD;;Northern Moreton Bay Tourist Drive;ausqld.nmbtd
ausqldtd;PioValTD;;Pioneer Valley Tourist Drive;ausqld.piovaltd
ausqldtd;SMBTD;;Southern Moreton Bay Tourist Drive;ausqld.smbtd
