systemName;route;banner;groupName;roots
ausvicb;B12;;;ausvic.b012
ausvicb;B23;;;ausvic.b023
ausvicb;B29;;;ausvic.b029
ausvicb;B43;;;ausvic.b043
ausvicb;B59;;;ausvic.b059
ausvicb;B75;;;ausvic.b075
ausvicb;B77;;;ausvic.b077
ausvicb;B91;;;ausvic.b091
ausvicb;B92;;;ausvic.b092
ausvicb;B94;;;ausvic.b094
ausvicb;B100;;;ausvic.b100
ausvicb;B110;;Geelong;ausvic.b110gee
ausvicb;B110;;Rosebud;ausvic.b110
ausvicb;B120;;;ausvic.b120
ausvicb;B130;;;ausvic.b130
ausvicb;B140;;;ausvic.b140
ausvicb;B160;;;ausvic.b160
ausvicb;B180;;;ausvic.b180
ausvicb;B200;;;ausvic.b200
ausvicb;B210;;;ausvic.b210
ausvicb;B220;;;ausvic.b220
ausvicb;B240;;;ausvic.b240
ausvicb;B260;;;ausvic.b260
ausvicb;B280;;;ausvic.b280
ausvicb;B300;;;ausvic.b300
ausvicb;B320;;;ausvic.b320
ausvicb;B340;;;ausvic.b340
ausvicb;B360;;;ausvic.b360
ausvicb;B380;;;ausvic.b380
ausvicb;B400;;;ausvic.b400
ausvicb;B420;;;ausvic.b420
ausvicb;B460;;;ausvic.b460
ausvicb;B500;;;ausvic.b500
ausvicb;B668;;;ausvic.b668
ausvicb;B675;;;ausvic.b675
ausvicb;B716;;;ausvic.b716
ausvicb;B840;;;ausvic.b840
ausvicb;B861;;;ausvic.b861
ausvicb;B980;;;ausvic.b980
ausvicb;B970;;;ausvic.b970
