systemName;route;banner;groupName;roots
auswa;WA2;;;auswa.wa002
auswa;WA3;;;auswa.wa003
auswa;WA4;;;auswa.wa004
auswa;WA5;;;auswa.wa005
auswa;WA6;;;auswa.wa006
auswa;WA7;;;auswa.wa007
auswa;WA8;;;auswa.wa008
auswa;WA10;;;auswa.wa010
auswa;WA10;;Augusta;auswa.wa010aug
auswa;WA12;;;auswa.wa012
auswa;WA13;;;auswa.wa013
auswa;WA14;;;auswa.wa014
auswa;WA18;;;auswa.wa018
auswa;WA19;;;auswa.wa019
auswa;WA20;;;auswa.wa020
auswa;WA21;;;auswa.wa021
auswa;WA22;;;auswa.wa022
auswa;WA26;;;auswa.wa026
auswa;WA27;;;auswa.wa027
auswa;WA30;;;auswa.wa030
auswa;WA30;Alt;Kennwick;auswa.wa030altken
auswa;WA31;;;auswa.wa031
auswa;WA36;;;auswa.wa036
auswa;WA40;;;auswa.wa040
auswa;WA41;;;auswa.wa041
auswa;WA50;;;auswa.wa050
auswa;WA51;;;auswa.wa051
auswa;WA52;;;auswa.wa052
auswa;WA53;;;auswa.wa053
auswa;WA55;;;auswa.wa055
auswa;WA56;;;auswa.wa056
auswa;WA60;;;auswa.wa060
auswa;WA61;;;auswa.wa061
auswa;WA64;;;auswa.wa064
auswa;WA65;;;auswa.wa065
auswa;WA66;;;auswa.wa066
auswa;WA71;;;auswa.wa071
auswa;WA72;;;auswa.wa072
auswa;WA75;;;auswa.wa075
auswa;WA76;;;auswa.wa076
auswa;WA77;;;auswa.wa077
auswa;WA81;;;auswa.wa081
auswa;WA82;;;auswa.wa082
auswa;WA83;;;auswa.wa083
auswa;WA84;;;auswa.wa084
auswa;WA85;;;auswa.wa085
auswa;WA87;;;auswa.wa087
auswa;WA102;;;auswa.wa102
auswa;WA104;;;auswa.wa104
auswa;WA107;;;auswa.wa107
auswa;WA115;;;auswa.wa115
auswa;WA116;;;auswa.wa116
auswa;WA120;;;auswa.wa120
auswa;WA123;;;auswa.wa123
auswa;WA136;;;auswa.wa136
auswa;WA138;;;auswa.wa138
auswa;WA139;;;auswa.wa139
