system;region;route;banner;abbrev;city;root;AltRouteNames
belr;BEL;N1;;;Antwerpen;bel.n001;
belr;BEL;N1;;Vil;Vilvoorde;bel.n001vil;
belr;BEL;N1a;;;;bel.n001a;
belr;BEL;N1b;;;;bel.n001b;
belr;BEL;N1c;;;;bel.n001c;
belr;BEL;N2;;Zav;Zaventem;bel.n002zav;
belr;BEL;N2;;;Hasselt;bel.n002;
belr;BEL;N2c;;;;bel.n002c;
belr;BEL;N2d;;;;bel.n002d;
belr;BEL;N3;;Ter;Tervuren;bel.n003Ter;
belr;BEL;N3;;;Liège;bel.n003;
belr;BEL;N3e;;;;bel.n003e;
belr;BEL;N3g;;;;bel.n003g;
belr;BEL;N3i;;;;bel.n003i;
belr;BEL;N4;;;;bel.n004;
belr;BEL;N5;;Wat;Waterloo;bel.n005wat;
belr;BEL;N5;;;Philippeville;bel.n005;
belr;BEL;N6;;;Soignies;bel.n006;
belr;BEL;N6;;Mon;Mons;bel.n006mon;
belr;BEL;N7;;Tou;Tournai;bel.n007tou;
belr;BEL;N7;;;Ath;bel.n007;
belr;BEL;N8;;Kok;Koksijde;bel.n008kok;
belr;BEL;N8;;Men;Menen;bel.n008men;
belr;BEL;N8;;;Oudenaarde;bel.n008;
belr;BEL;N8c;;;;bel.n008c;
belr;BEL;N9;;Oos;Oostende;bel.n009oos;
belr;BEL;N9;;Eek;Eeklo;bel.n009eek;
belr;BEL;N9;;;Aalst;bel.n009;
