systemName;region;route;banner;abbrev;city;root;altRouteNames
beln9;BEL;N904;;;;bel.n904;
beln9;BEL;N907;;;;bel.n907;
beln9;BEL;N909;;;;bel.n909;
beln9;BEL;N910;;;;bel.n910;
beln9;BEL;N911;;;;bel.n911;
beln9;BEL;N912;;;;bel.n912;
beln9;BEL;N913;;;;bel.n913;
beln9;BEL;N914;;;;bel.n914;
beln9;BEL;N915;;;;bel.n915;
beln9;BEL;N918;;;;bel.n918;
beln9;BEL;N919;;;;bel.n919;
beln9;BEL;N920;;;;bel.n920;
beln9;BEL;N921;;;;bel.n921;
beln9;BEL;N922;;;;bel.n922;
beln9;BEL;N923;;;;bel.n923;
beln9;BEL;N924;;;;bel.n924;
beln9;BEL;N925;;;;bel.n925;
beln9;BEL;N928;;;;bel.n928;
beln9;BEL;N929;;;;bel.n929;
beln9;BEL;N930;;;;bel.n930;
beln9;BEL;N931;;;;bel.n931;
beln9;BEL;N932;;;;bel.n932;
beln9;BEL;N933;;;;bel.n933;
beln9;BEL;N934;;;;bel.n934;
beln9;BEL;N935;;;;bel.n935;
beln9;BEL;N936;;;;bel.n936;
beln9;BEL;N937;;;;bel.n937;
beln9;BEL;N938;;;;bel.n938;
beln9;BEL;N939;;;;bel.n939;
beln9;BEL;N940;;;;bel.n940;
beln9;BEL;N941;;;;bel.n941;
beln9;BEL;N942;;;;bel.n942;
beln9;BEL;N943;;;;bel.n943;
beln9;BEL;N944;;;;bel.n944;
beln9;BEL;N945;;;;bel.n945;
beln9;BEL;N946;;;;bel.n946;
beln9;BEL;N947;;;;bel.n947;
beln9;BEL;N948;;;;bel.n948;
beln9;BEL;N949;;;;bel.n949;
beln9;BEL;N981;;;;bel.n981;
