systemName;route;banner;groupName;roots
bgri;I1;;Montana;bgr.i001
bgri;I1;;Blagoevgrad;bgr.i001bla
bgri;I2;;;bgr.i002
bgri;I3;;;bgr.i003
bgri;I4;;;bgr.i004
bgri;I5;;;bgr.i005
bgri;I6;;Pernik;bgr.i006per
bgri;I6;;Silven;bgr.i006
bgri;I7;;;bgr.i007
bgri;I8;;Slivnitsa;bgr.i008sli
bgri;I8;;Plovdiv;bgr.i008
bgri;I9;;;bgr.i009
bgri;II11;;;bgr.ii011
bgri;II12;;;bgr.ii012
bgri;II13;;;bgr.ii013
bgri;II14;;;bgr.ii014
bgri;II15;;;bgr.ii015
bgri;II16;;;bgr.ii016
bgri;II17;;;bgr.ii017
bgri;II18;;;bgr.ii018
bgri;II19;;;bgr.ii019
bgri;II21;;;bgr.ii021
bgri;II23;;;bgr.ii023
bgri;II27;;;bgr.ii027
bgri;II29;;;bgr.ii029
bgri;II34;;;bgr.ii034
bgri;II35;;;bgr.ii035
bgri;II37;;;bgr.ii037
bgri;II44;;;bgr.ii044
bgri;II48;;;bgr.ii048
bgri;II49;;;bgr.ii049
bgri;II51;;;bgr.ii051
bgri;II52;;;bgr.ii052
bgri;II53;;;bgr.ii053
bgri;II54;;;bgr.ii054
bgri;II55;;;bgr.ii055
bgri;II56;;;bgr.ii056
bgri;II57;;;bgr.ii057
bgri;II58;;;bgr.ii058
bgri;II59;;;bgr.ii059
bgri;II62;;;bgr.ii062
bgri;II63;;;bgr.ii063
bgri;II64;;;bgr.ii064
bgri;II66;;;bgr.ii066
bgri;II71;;;bgr.ii071
bgri;II73;;;bgr.ii073
bgri;II74;;;bgr.ii074
bgri;II76;;;bgr.ii076
bgri;II79;;;bgr.ii079
bgri;II80;;;bgr.ii080
bgri;II81;;;bgr.ii081
bgri;II82;;;bgr.ii082
bgri;II84;;;bgr.ii084
bgri;II86;;;bgr.ii086
bgri;II97;;;bgr.ii097
bgri;II99;;;bgr.ii099
