systemName;region;route;banner;abbrev;city;root;altRouteNames
bihm;BIH;M1.8;;;;bih.m0018;
bihm;BIH;M1.9;;;;bih.m0019;
bihm;BIH;M2;;;;bih.m002;
bihm;BIH;M4;;;;bih.m004;
bihm;BIH;M4.2;;;;bih.m0042;
bihm;BIH;M5;;;;bih.m005;
bihm;BIH;M6;;;;bih.m006;
bihm;BIH;M6.1;;;;bih.m0061;
bihm;BIH;M8;;;;bih.m008;
bihm;BIH;M11;;;;bih.m011;
bihm;BIH;M14;;;;bih.m014;
bihm;BIH;M14.1;;;;bih.m0141;
bihm;BIH;M14.2;;;;bih.m0142;
bihm;BIH;M15;;;;bih.m015;
bihm;BIH;M16;;;;bih.m016;
bihm;BIH;M16.1;;;;bih.m0161;
bihm;BIH;M16.2;;;;bih.m0162;
bihm;BIH;M16.3;;;;bih.m0163;
bihm;BIH;M16.4;;;;bih.m0164;
bihm;BIH;M17;;;Sarajevo;bih.m017;
bihm;BIH;M17;;Dob;Doboj;bih.m017dob;
bihm;BIH;M17.2;;;;bih.m0172;
bihm;BIH;M17.3;;;;bih.m0173;
bihm;BIH;M18;;;;bih.m018;
bihm;BIH;M18.1;;;;bih.m0181;
bihm;BIH;M18.2;;;;bih.m0182;
bihm;BIH;M19;;;;bih.m019;
bihm;BIH;M19.2;;;;bih.m0192;
bihm;BIH;M19.3;;;;bih.m0193;
bihm;BIH;M20;;;;bih.m020;
