systemName;route;banner;groupName;roots
bihm;M1.8;;;bih.m0018
bihm;M1.9;;;bih.m0019
bihm;M2;;;bih.m002
bihm;M4;;;bih.m004
bihm;M4.2;;;bih.m0042
bihm;M5;;;bih.m005
bihm;M6;;;bih.m006
bihm;M6.1;;;bih.m0061
bihm;M8;;;bih.m008
bihm;M11;;;bih.m011
bihm;M14;;;bih.m014
bihm;M14.1;;;bih.m0141
bihm;M14.2;;;bih.m0142
bihm;M15;;;bih.m015
bihm;M16;;;bih.m016
bihm;M16.1;;;bih.m0161
bihm;M16.2;;;bih.m0162
bihm;M16.3;;;bih.m0163
bihm;M16.4;;;bih.m0164
bihm;M17;;Sarajevo;bih.m017
bihm;M17;Dob;Doboj;bih.m017dob
bihm;M17.2;;;bih.m0172
bihm;M17.3;;;bih.m0173
bihm;M18;;;bih.m018
bihm;M18.1;;;bih.m0181
bihm;M18.2;;;bih.m0182
bihm;M19;;;bih.m019
bihm;M19.2;;;bih.m0192
bihm;M19.3;;;bih.m0193
bihm;M20;;;bih.m020
