systemName;route;banner;groupName;roots
bolf;F1;;;bol.f01
bolf;F2;;Copacabana;bol.f02cop
bolf;F2;;La Paz;bol.f02
bolf;F3;;La Paz;bol.f03
bolf;F3;;Trinidad;bol.f03tri
bolf;F4;;;bol.f04
bolf;F4;;Puerto Busch (branch);bol.f04bus
bolf;F5;;;bol.f05
bolf;F6;;;bol.f06
bolf;F7;;;bol.f07
bolf;F8;;;bol.f08
bolf;F9;;Santa Cruz de la Sierra;bol.f09
bolf;F9;;Guayaramerín;bol.f09gua
bolf;F9;;Puerto Ustarez (branch);bol.f09ust
bolf;F10;;;bol.f10
bolf;F10;;Puerto Villazon (branch);bol.f10vil
bolf;F11;;;bol.f11
bolf;F12;;;bol.f12
bolf;F13;;;bol.f13
bolf;F14;;;bol.f14
bolf;F15;;;bol.f15
bolf;F16;;Achacachi;bol.f16
bolf;F16;;Chivé;bol.f16chi
bolf;F16;;Rurrenabaque (branch);bol.f16rur
bolf;F17;;;bol.f17
bolf;F18;;;bol.f18
bolf;F19;;;bol.f19
bolf;F20;;;bol.f20
bolf;F21;;;bol.f21
bolf;F22;;;bol.f22
bolf;F23;;;bol.f23
bolf;F24;;Eterazama;bol.f24
bolf;F24;;Monte Grande del Apere;bol.f24mon
bolf;F25;;;bol.f25
bolf;F26;;Caranavi;bol.f26
bolf;F26;;Apolo;bol.f26apo
bolf;F27;;;bol.f27
bolf;F28;;;bol.f28
bolf;F29;;;bol.f29
bolf;F30;;;bol.f30
bolf;F31;;;bol.f31
bolf;F32;;;bol.f32
bolf;F33;;;bol.f33
bolf;F35;;;bol.f35
bolf;F36;;;bol.f36
bolf;F37;;;bol.f37
bolf;F38;;;bol.f38
bolf;F39;;;bol.f39
bolf;F40;;;bol.f40
bolf;F41;;;bol.f41
bolf;F42;;;bol.f42
bolf;F43;;;bol.f43
bolf;F44;;;bol.f44
bolf;F45;;;bol.f45
bolf;F45a;;;bol.f45a
