systemName;region;route;banner;abbrev;city;root;altRouteNames
bramgc;BRA-MG;MGC120;;;Ubá;bramg.mgc120;
bramgc;BRA-MG;MGC120;;Gui;Guidoval;bramg.mgc120gui;
bramgc;BRA-MG;MGC120;;Vol;Volta Grande;bramg.mgc120vol;
bramgc;BRA-MG;MGC122;;;;bramg.mgc122;
bramgc;BRA-MG;MGC146;;;Araxá;bramg.mgc146;
bramgc;BRA-MG;MGC146;;Pas;Passos;bramg.mgc146pas;
bramgc;BRA-MG;MGC146;;And;Andradas;bramg.mgc146and;
bramgc;BRA-MG;MGC154;;;;bramg.mgc154;
bramgc;BRA-MG;MGC251;;Ped;Pedra Azul;bramg.mgc251ped;
bramgc;BRA-MG;MGC251;;;Ibiaí;bramg.mgc251;
bramgc;BRA-MG;MGC259;;;;bramg.mgc259;
bramgc;BRA-MG;MGC262;;;;bramg.mgc262;
bramgc;BRA-MG;MGC265;;Mir;Miraí;bramg.mgc265mir;
bramgc;BRA-MG;MGC265;;;Ubá;bramg.mgc265;
bramgc;BRA-MG;MGC265;;Des;Desterro do Melo;bramg.mgc265des;
bramgc;BRA-MG;MGC265;;Alp;Alpinópolis;bramg.mgc265alp;
bramgc;BRA-MG;MGC342;;;Salinas;bramg.mgc342;
bramgc;BRA-MG;MGC342;;Car;Caraí;bramg.mgc342car;
bramgc;BRA-MG;MGC342;;Teo;Teófilo Otoni;bramg.mgc342teo;
bramgc;BRA-MG;MGC352;;;;bramg.mgc352;
bramgc;BRA-MG;MGC354;;;Patos de Minas;bramg.mgc354;
bramgc;BRA-MG;MGC354;;Lum;Luminárias;bramg.mgc354lum;
bramgc;BRA-MG;MGC356;;;Belo Horizonte;bramg.mgc356;
bramgc;BRA-MG;MGC356;;Erv;Ervália;bramg.mgc356erv;
bramgc;BRA-MG;MGC381;;;;bramg.mgc381;
bramgc;BRA-MG;MGC383;;;Caxambu;bramg.mgc383;
bramgc;BRA-MG;MGC383;;Cri;Cristina;bramg.mgc383cri;
bramgc;BRA-MG;MGC393;;;;bramg.mgc393;
bramgc;BRA-MG;MGC418;;;;bramg.mgc418;
bramgc;BRA-MG;MGC451;;;Itamarandiba;bramg.mgc451;
bramgc;BRA-MG;MGC451;;Mar;Marilac;bramg.mgc451mar;
bramgc;BRA-MG;MGC452;;;Tupaciguara;bramg.mgc452;
bramgc;BRA-MG;MGC452;;Tap;Tapuirama;bramg.mgc452tap;
bramgc;BRA-MG;MGC455;;;;bramg.mgc455;
bramgc;BRA-MG;MGC458;;;;bramg.mgc458;
bramgc;BRA-MG;MGC462;;;;bramg.mgc462;
bramgc;BRA-MG;MGC464;;;;bramg.mgc464;
bramgc;BRA-MG;MGC479;;;;bramg.mgc479;
bramgc;BRA-MG;MGC482;;;Espera Feliz;bramg.mgc482;
bramgc;BRA-MG;MGC482;;Mig;São Miguel do Anta;bramg.mgc482mig;
bramgc;BRA-MG;MGC485;;;;bramg.mgc485;
bramgc;BRA-MG;MGC494;;;;bramg.mgc494;
bramgc;BRA-MG;MGC496;;;;bramg.mgc496;
bramgc;BRA-MG;MGC497;;;;bramg.mgc497;
