systemName;route;banner;groupName;roots
braprc;PRC158;;Sumaré;brapr.prc158sum
braprc;PRC158;;Chopinzinho;brapr.prc158
braprc;PRC158;;São Lourenço do Oeste;brapr.prc158lou
braprc;PRC272;;Siqueira Campos;brapr.prc272
braprc;PRC272;;Faxinal;brapr.prc272fax
braprc;PRC272;;Iporã;brapr.prc272ipo
braprc;PRC280;;União da Vitória;brapr.prc280uni
braprc;PRC280;;Pato Branco;brapr.prc280
braprc;PRC369;;Bom Sucesso;brapr.prc369
braprc;PRC369;;Barbosa Ferraz;brapr.prc369bar
braprc;PRC373;;;brapr.prc373
braprc;PRC466;;;brapr.prc466
braprc;PRC467;;Marechal Cândido Rondon;brapr.prc467can
braprc;PRC467;;Cascavel;brapr.prc467
braprc;PRC476;;;brapr.prc476
braprc;PRC487;;;brapr.prc487
