systemName;region;route;banner;abbrev;city;root;altRouteNames
brasf;BRA-MG;ConBet;;;Contorno (Betim);bramg.conbet.wpt;
brasf;BRA-MG;ConUbe;;;Contorno (Uberlândia);bramg.conube.wpt;
brasf;BRA-RJ;EleEngFre;;;Elevado Engenheiro Freyssinet;brarj.eleengfre.wpt;
brasf;BRA-RJ;EleRufPiz;;;Elevado Engenheiro Rufino Pizarro;brarj.elerufpiz.wpt;
brasf;BRA-RJ;LinAma;;;Linha Amarela;brarj.linama.wpt;
brasf;BRA-RJ;LinVer;;;Linha Vermelha;brarj.linver.wpt;
brasf;BRA-RJ;Tra;;;Transolympica;brarj.tra.wpt;
brasf;BRA-RJ;TunReb;;;Tunel Rebouças;brarj.tunreb.wpt;
brasf;BRA-SP;CorNorSul;;;Corredor Norte-Sul;brasp.cornorsul.wpt;
brasf;BRA-SP;EleJoaoGou;;;Elevado Presidente João Goulart;brasp.elejoaogou.wpt;
brasf;BRA-SP;IntBai;;;Interligação Baixada;brasp.intbai.wpt;
brasf;BRA-SP;LigLesOes;;;Ligação Leste-Oeste;brasp.liglesoes.wpt;
brasf;BRA-SP;MargPin;;;Marginal Pinheiros;brasp.margpin.wpt;
brasf;BRA-SP;MargTie;;;Marginal Tietê;brasp.margtie.wpt;
brasf;BRA-DF;DF002;;;DF-002;bradf.df002.wpt;
brasf;BRA-DF;DF003;;;DF-003;bradf.df003.wpt;
brasf;BRA-DF;DF007;;;DF-007;bradf.df007.wpt;
brasf;BRA-DF;DF025;;;DF-025;bradf.df025.wpt;
brasf;BRA-DF;DF027;;;DF-027;bradf.df027.wpt;
brasf;BRA-DF;DF047;;;DF-047;bradf.df047.wpt;
brasf;BRA-DF;DF051;;;DF-051;bradf.df051.wpt;
brasf;BRA-DF;DF065;;;DF-065;bradf.df065.wpt;
brasf;BRA-DF;DF085;;;DF-085;bradf.df085.wpt;
brasf;BRA-DF;DF095;;;DF-095;bradf.df095.wpt;
brasf;BRA-DF;DF480;;;DF-480;bradf.df480.wpt;
brasf;BRA-DF;PonJK;;;Ponte Juscelino Kubitschek;bradf.ponjk.wpt;
