systemName;route;banner;groupName;roots
brasf;ConBet;;Contorno (Betim);bramg.conbet
brasf;ConUbe;;Contorno (Uberlândia);bramg.conube
brasf;EleEngFre;;Elevado Engenheiro Freyssinet;brarj.eleengfre
brasf;EleRufPiz;;Elevado Engenheiro Rufino Pizarro;brarj.elerufpiz
brasf;LinAma;;Linha Amarela;brarj.linama
brasf;LinVer;;Linha Vermelha;brarj.linver
brasf;Tra;;Transolympica;brarj.tra
brasf;TunReb;;Tunel Rebouças;brarj.tunreb
brasf;CorNorSul;;Corredor Norte-Sul;brasp.cornorsul
brasf;EleJoaoGou;;Elevado Presidente João Goulart;brasp.elejoaogou
brasf;IntBai;;Interligação Baixada;brasp.intbai
brasf;LigLesOes;;Ligação Leste-Oeste;brasp.liglesoes
brasf;MargPin;;Marginal Pinheiros;brasp.margpin
brasf;MargTie;;Marginal Tietê;brasp.margtie
brasf;DF002;;DF-002;bradf.df002
brasf;DF003;;DF-003;bradf.df003
brasf;DF007;;DF-007;bradf.df007
brasf;DF025;;DF-025;bradf.df025
brasf;DF027;;DF-027;bradf.df027
brasf;DF047;;DF-047;bradf.df047
brasf;DF051;;DF-051;bradf.df051
brasf;DF065;;DF-065;bradf.df065
brasf;DF085;;DF-085;bradf.df085
brasf;DF095;;DF-095;bradf.df095
brasf;DF480;;DF-480;bradf.df480
brasf;PonJK;;Ponte Juscelino Kubitschek;bradf.ponjk
