systemName;region;route;banner;abbrev;city;root;altRouteNames
braspa;BRA-SP;SPA109/008;;;;brasp.spa109-008;
braspa;BRA-SP;SPA113/008;;;;brasp.spa113-008;
braspa;BRA-SP;SPA003/010;;;;brasp.spa003-010;
braspa;BRA-SP;SPA009/010;;;;brasp.spa009-010;
braspa;BRA-SP;SPA021/010;;;;brasp.spa021-010;
braspa;BRA-SP;SPA086/021;;;;brasp.spa086-021;
braspa;BRA-SP;SPA052/031;;;;brasp.spa052-031;
braspa;BRA-SP;SPA058/031;;;;brasp.spa058-031;
braspa;BRA-SP;SPA074/048;;;;brasp.spa074-048;
braspa;BRA-SP;SPA248/055;;;;brasp.spa248-055;
braspa;BRA-SP;SPA291/055;;;;brasp.spa291-055;
braspa;BRA-SP;SPA344/055;;;;brasp.spa344-055;
braspa;BRA-SP;SPA060/056;;;;brasp.spa060-056;
braspa;BRA-SP;SPA021/060;;;;brasp.spa021-060;
braspa;BRA-SP;SPA085/060;;;;brasp.spa085-060;
braspa;BRA-SP;SPA092/060;;;;brasp.spa092-060;
braspa;BRA-SP;SPA099/060;;;;brasp.spa099-060;
braspa;BRA-SP;SPA143/062;;;;brasp.spa143-062;
braspa;BRA-SP;SPA122/065;;;;brasp.spa122-065;
braspa;BRA-SP;SPA135/065;;;;brasp.spa135-065;
braspa;BRA-SP;SPA244/068;;;;brasp.spa244-068;
braspa;BRA-SP;SPA040/079;;;;brasp.spa040-079;
braspa;BRA-SP;SPA103/079;;;;brasp.spa103-079;
braspa;BRA-SP;SPA104/079;;;;brasp.spa104-079;
braspa;BRA-SP;SPA032/099;;;;brasp.spa032-099;
braspa;BRA-SP;SPA033/099;;;;brasp.spa033-099;
braspa;BRA-SP;SPA035/099;;;;brasp.spa035-099;
braspa;BRA-SP;SPA037/099;;;;brasp.spa037-099;
braspa;BRA-SP;SPA022/101;;;;brasp.spa022-101;
braspa;BRA-SP;SPA032/101;;;;brasp.spa032-101;
braspa;BRA-SP;SPA043/101;;;;brasp.spa043-101;
