systemName;route;banner;groupName;roots
canabs;AB500;;Coutts;ab.ab500cou
canabs;AB500;;;ab.ab500
canabs;AB501;;Cardston;ab.ab501car
canabs;AB501;;;ab.ab501
canabs;AB503;;;ab.ab503
canabs;AB504;;;ab.ab504
canabs;AB505;;;ab.ab505
canabs;AB506;;;ab.ab506
canabs;AB507;;;ab.ab507
canabs;AB508;;;ab.ab508
canabs;AB509;;;ab.ab509
canabs;AB510;;;ab.ab510
canabs;AB511;;;ab.ab511
canabs;AB512;;;ab.ab512
canabs;AB513;;;ab.ab513
canabs;AB514;;;ab.ab514
canabs;AB515;;;ab.ab515
canabs;AB519;;;ab.ab519
canabs;AB520;;;ab.ab520
canabs;AB521;;;ab.ab521
canabs;AB522;;;ab.ab522
canabs;AB523;;;ab.ab523
canabs;AB524;;;ab.ab524
canabs;AB525;;;ab.ab525
canabs;AB526;;;ab.ab526
canabs;AB527;;;ab.ab527
canabs;AB528;;;ab.ab528
canabs;AB529;;;ab.ab529
canabs;AB530;;;ab.ab530
canabs;AB531;;;ab.ab531
canabs;AB532;;;ab.ab532
canabs;AB533;;;ab.ab533
canabs;AB534;;;ab.ab534
canabs;AB535;;;ab.ab535
canabs;AB537;;;ab.ab537
canabs;AB539;;;ab.ab539
canabs;AB540;;;ab.ab540
canabs;AB541;;;ab.ab541
canabs;AB542;;;ab.ab542
canabs;AB542;;Brooks;ab.ab542bro
canabs;AB543;;;ab.ab543
canabs;AB544;;;ab.ab544
canabs;AB545;;;ab.ab545
canabs;AB546;;;ab.ab546
canabs;AB547;;;ab.ab547
canabs;AB549;;;ab.ab549
canabs;AB550;;;ab.ab550
canabs;AB552;;De Winton;ab.ab552dew
canabs;AB552;;;ab.ab552
canabs;AB555;;;ab.ab555
canabs;AB556;;;ab.ab556
canabs;AB560;;;ab.ab560
canabs;AB561;;;ab.ab561
canabs;AB561;;Cessford;ab.ab561ces
canabs;AB562;;;ab.ab562
canabs;AB563;;;ab.ab563
canabs;AB564;;;ab.ab564
canabs;AB566;;;ab.ab566
canabs;AB567;;;ab.ab567
canabs;AB569;;;ab.ab569
canabs;AB570;;;ab.ab570
canabs;AB573;;;ab.ab573
canabs;AB574;;;ab.ab574
canabs;AB575;;;ab.ab575
canabs;AB576;;;ab.ab576
canabs;AB577;;;ab.ab577
canabs;AB579;;;ab.ab579
canabs;AB580;;;ab.ab580
canabs;AB581;;;ab.ab581
canabs;AB582;;;ab.ab582
canabs;AB583;;;ab.ab583
canabs;AB584;;;ab.ab584
canabs;AB585;;;ab.ab585
canabs;AB586;;;ab.ab586
canabs;AB587;;;ab.ab587
canabs;AB589;;;ab.ab589
canabs;AB590;;;ab.ab590
canabs;AB591;;;ab.ab591
canabs;AB592;;;ab.ab592
canabs;AB593;;;ab.ab593
canabs;AB594;;;ab.ab594
canabs;AB595;;;ab.ab595
canabs;AB597;;;ab.ab597
canabs;AB598;;;ab.ab598
canabs;AB599;;;ab.ab599
canabs;AB600;;;ab.ab600
canabs;AB601;;;ab.ab601
canabs;AB602;;;ab.ab602
canabs;AB603;;;ab.ab603
canabs;AB604;;;ab.ab604
canabs;AB605;;;ab.ab605
canabs;AB607;;;ab.ab607
canabs;AB608;;;ab.ab608
canabs;AB609;;;ab.ab609
canabs;AB610;;;ab.ab610
canabs;AB611;;;ab.ab611
canabs;AB613;;;ab.ab613
canabs;AB614;;;ab.ab614
canabs;AB616;;;ab.ab616
canabs;AB617;;;ab.ab617
canabs;AB619;;;ab.ab619
canabs;AB620;;;ab.ab620
canabs;AB621;;;ab.ab621
canabs;AB622;;;ab.ab622
canabs;AB623;;;ab.ab623
canabs;AB624;;;ab.ab624
canabs;AB625;;;ab.ab625
canabs;AB626;;;ab.ab626
canabs;AB627;;;ab.ab627
canabs;AB628;;;ab.ab628
canabs;AB628;;Sherwood Park;ab.ab628she
canabs;AB629;;;ab.ab629
canabs;AB630;;;ab.ab630
canabs;AB631;;;ab.ab631
canabs;AB633;;;ab.ab633
canabs;AB633;;St. Albert;ab.ab633sta
canabs;AB640;;;ab.ab640
canabs;AB641;;;ab.ab641
canabs;AB642;;;ab.ab642
canabs;AB643;;;ab.ab643
canabs;AB644;;;ab.ab644
canabs;AB645;;;ab.ab645
canabs;AB646;;;ab.ab646
canabs;AB647;;;ab.ab647
canabs;AB651;;;ab.ab651
canabs;AB652;;;ab.ab652
canabs;AB654;;;ab.ab654
canabs;AB655;;;ab.ab655
canabs;AB656;;;ab.ab656
canabs;AB657;;;ab.ab657
canabs;AB658;;;ab.ab658
canabs;AB659;;;ab.ab659
canabs;AB660;;;ab.ab660
canabs;AB661;;Fort Assiniboine;ab.ab661fta
canabs;AB661;;;ab.ab661
canabs;AB663;;;ab.ab663
canabs;AB663;;Beaver Lake;ab.ab663bea
canabs;AB665;;;ab.ab665
canabs;AB666;;;ab.ab666
canabs;AB667;;;ab.ab667
canabs;AB668;;;ab.ab668
canabs;AB669;;;ab.ab669
canabs;AB670;;;ab.ab670
canabs;AB671;;;ab.ab671
canabs;AB672;;;ab.ab672
canabs;AB674;;;ab.ab674
canabs;AB676;;;ab.ab676
canabs;AB677;;;ab.ab677
canabs;AB679;;;ab.ab679
canabs;AB680;;;ab.ab680
canabs;AB681;;;ab.ab681
canabs;AB682;;;ab.ab682
canabs;AB683;;;ab.ab683
canabs;AB684;;;ab.ab684
canabs;AB685;;;ab.ab685
canabs;AB686;;;ab.ab686
canabs;AB688;;;ab.ab688
canabs;AB689;;;ab.ab689
canabs;AB690;;;ab.ab690
canabs;AB691;;;ab.ab691
canabs;AB692;;;ab.ab692
canabs;AB695;;;ab.ab695
canabs;AB697;;Paddle Prairie;ab.ab697pad
canabs;AB697;;;ab.ab697
canabs;AB717;;;ab.ab717
canabs;AB719;;;ab.ab719
canabs;AB721;;;ab.ab721
canabs;AB722;;;ab.ab722
canabs;AB723;;;ab.ab723
canabs;AB724;;;ab.ab724
canabs;AB725;;;ab.ab725
canabs;AB726;;;ab.ab726
canabs;AB727;;;ab.ab727
canabs;AB729;;;ab.ab729
canabs;AB730;;;ab.ab730
canabs;AB731;;;ab.ab731
canabs;AB732;;;ab.ab732
canabs;AB733;;;ab.ab733
canabs;AB734;;;ab.ab734
canabs;AB735;;;ab.ab735
canabs;AB736;;;ab.ab736
canabs;AB737;;;ab.ab737
canabs;AB739;;;ab.ab739
canabs;AB740;;;ab.ab740
canabs;AB740;;Peace No. 135;ab.ab740pea
canabs;AB741;;;ab.ab741
canabs;AB742;;;ab.ab742
canabs;AB743;;;ab.ab743
canabs;AB744;;;ab.ab744
canabs;AB747;;;ab.ab747
canabs;AB748;;;ab.ab748
canabs;AB748;;Edson;ab.ab748eds
canabs;AB749;;;ab.ab749
canabs;AB750;;;ab.ab750
canabs;AB751;;;ab.ab751
canabs;AB752;;;ab.ab752
canabs;AB753;;;ab.ab753
canabs;AB754;;;ab.ab754
canabs;AB756;;;ab.ab756
canabs;AB757;;;ab.ab757
canabs;AB758;;;ab.ab758
canabs;AB759;;;ab.ab759
canabs;AB760;;;ab.ab760
canabs;AB761;;;ab.ab761
canabs;AB761;;Ponoka County;ab.ab761pon
canabs;AB761;;County of Wetaskiwin No. 10;ab.ab761wet
canabs;AB761;;Brazeau County;ab.ab761bra
canabs;AB762;;;ab.ab762
canabs;AB763;;;ab.ab763
canabs;AB764;;;ab.ab764
canabs;AB765;;;ab.ab765
canabs;AB766;;;ab.ab766
canabs;AB766;;Eckville;ab.ab766eck
canabs;AB769;;;ab.ab769
canabs;AB770;;;ab.ab770
canabs;AB771;;;ab.ab771
canabs;AB772;;;ab.ab772
canabs;AB774;;;ab.ab774
canabs;AB775;;;ab.ab775
canabs;AB776;;;ab.ab776
canabs;AB777;;;ab.ab777
canabs;AB778;;;ab.ab778
canabs;AB779;;;ab.ab779
canabs;AB780;;;ab.ab780
canabs;AB781;;;ab.ab781
canabs;AB783;;;ab.ab783
canabs;AB785;;;ab.ab785
canabs;AB786;;;ab.ab786
canabs;AB791;;;ab.ab791
canabs;AB792;;;ab.ab792
canabs;AB795;;;ab.ab795
canabs;AB797;;;ab.ab797
canabs;AB799;;;ab.ab799
canabs;AB800;;;ab.ab800
canabs;AB801;;;ab.ab801
canabs;AB803;;;ab.ab803
canabs;AB804;;;ab.ab804
canabs;AB805;;;ab.ab805
canabs;AB806;;;ab.ab806
canabs;AB808;;;ab.ab808
canabs;AB810;;;ab.ab810
canabs;AB811;;;ab.ab811
canabs;AB812;;;ab.ab812
canabs;AB813;;;ab.ab813
canabs;AB814;;;ab.ab814
canabs;AB815;;;ab.ab815
canabs;AB816;;;ab.ab816
canabs;AB817;;;ab.ab817
canabs;AB820;;;ab.ab820
canabs;AB821;;;ab.ab821
canabs;AB822;;;ab.ab822
canabs;AB824;;;ab.ab824
canabs;AB825;;;ab.ab825
canabs;AB827;;;ab.ab827
canabs;AB829;;;ab.ab829
canabs;AB830;;;ab.ab830
canabs;AB831;;;ab.ab831
canabs;AB833;;;ab.ab833
canabs;AB834;;;ab.ab834
canabs;AB834;;Chipman;ab.ab834chi
canabs;AB835;;;ab.ab835
canabs;AB836;;;ab.ab836
canabs;AB837;;;ab.ab837
canabs;AB838;;Kneehill County;ab.ab838kne
canabs;AB838;;;ab.ab838
canabs;AB839;;;ab.ab839
canabs;AB840;;;ab.ab840
canabs;AB841;;;ab.ab841
canabs;AB842;;;ab.ab842
canabs;AB843;;Picture Butte;ab.ab843pic
canabs;AB843;;;ab.ab843
canabs;AB844;;;ab.ab844
canabs;AB845;;;ab.ab845
canabs;AB846;;;ab.ab846
canabs;AB848;;;ab.ab848
canabs;AB849;;;ab.ab849
canabs;AB850;;;ab.ab850
canabs;AB851;;;ab.ab851
canabs;AB852;;;ab.ab852
canabs;AB853;;;ab.ab853
canabs;AB854;;;ab.ab854
canabs;AB855;;;ab.ab855
canabs;AB856;;;ab.ab856
canabs;AB857;;;ab.ab857
canabs;AB858;;;ab.ab858
canabs;AB859;;;ab.ab859
canabs;AB860;;;ab.ab860
canabs;AB861;;;ab.ab861
canabs;AB862;;County of Newell No. 4;ab.ab862new
canabs;AB862;;;ab.ab862
canabs;AB864;;;ab.ab864
canabs;AB866;;;ab.ab866
canabs;AB867;;;ab.ab867
canabs;AB869;;;ab.ab869
canabs;AB870;;;ab.ab870
canabs;AB872;;;ab.ab872
canabs;AB873;;;ab.ab873
canabs;AB873;;Duchess;ab.ab873duc
canabs;AB875;;;ab.ab875
canabs;AB876;;;ab.ab876
canabs;AB877;;;ab.ab877
canabs;AB879;;;ab.ab879
canabs;AB880;;;ab.ab880
canabs;AB881;;Hardisty;ab.ab881har
canabs;AB881;;;ab.ab881
canabs;AB882;;;ab.ab882
canabs;AB883;;;ab.ab883
canabs;AB884;;;ab.ab884
canabs;AB885;;;ab.ab885
canabs;AB886;;;ab.ab886
canabs;AB887;;;ab.ab887
canabs;AB889;;;ab.ab889
canabs;AB892;;;ab.ab892
canabs;AB893;;;ab.ab893
canabs;AB894;;;ab.ab894
canabs;AB895;;;ab.ab895
canabs;AB897;;;ab.ab897
canabs;AB899;;Empress;ab.ab899emp
canabs;AB899;;;ab.ab899
canabs;AB901;;;ab.ab901
canabs;AB947;;;ab.ab947
canabs;AB986;;;ab.ab986
