systemName;route;banner;groupName;roots
canmbp;MB200;;;mb.mb200
canmbp;MB201;;;mb.mb201
canmbp;MB202;;;mb.mb202
canmbp;MB203;;;mb.mb203
canmbp;MB204;;;mb.mb204
canmbp;MB205;;;mb.mb205
canmbp;MB206;;;mb.mb206
canmbp;MB207;;;mb.mb207
canmbp;MB209;;;mb.mb209
canmbp;MB210;;;mb.mb210
canmbp;MB211;;;mb.mb211
canmbp;MB212;;;mb.mb212
canmbp;MB213;;;mb.mb213
canmbp;MB214;;;mb.mb214
canmbp;MB215;;;mb.mb215
canmbp;MB216;;;mb.mb216
canmbp;MB217;;;mb.mb217
canmbp;MB218;;;mb.mb218
canmbp;MB220;;;mb.mb220
canmbp;MB221;;;mb.mb221
canmbp;MB222;;;mb.mb222
canmbp;MB224;;;mb.mb224
canmbp;MB225;;;mb.mb225
canmbp;MB227;;;mb.mb227
canmbp;MB229;;;mb.mb229
canmbp;MB230;;;mb.mb230
canmbp;MB231;;;mb.mb231
canmbp;MB232;;;mb.mb232
canmbp;MB233;;;mb.mb233
canmbp;MB234;;;mb.mb234
canmbp;MB236;;;mb.mb236
canmbp;MB237;;;mb.mb237
canmbp;MB238;;;mb.mb238
canmbp;MB239;;;mb.mb239
canmbp;MB240;;;mb.mb240
canmbp;MB241;;;mb.mb241
canmbp;MB242;;;mb.mb242
canmbp;MB242;;Westbourne;mb.mb242wes
canmbp;MB243;;;mb.mb243
canmbp;MB244;;;mb.mb244
canmbp;MB245;;;mb.mb245
canmbp;MB246;;;mb.mb246
canmbp;MB247;;;mb.mb247
canmbp;MB248;;;mb.mb248
canmbp;MB250;;;mb.mb250
canmbp;MB251;;;mb.mb251
canmbp;MB252;;;mb.mb252
canmbp;MB253;;;mb.mb253
canmbp;MB254;;;mb.mb254
canmbp;MB255;;;mb.mb255
canmbp;MB256;;;mb.mb256
canmbp;MB257;;;mb.mb257
canmbp;MB259;;;mb.mb259
canmbp;MB260;;;mb.mb260
canmbp;MB261;;;mb.mb261
canmbp;MB262;;;mb.mb262
canmbp;MB264;;;mb.mb264
canmbp;MB265;;;mb.mb265
canmbp;MB266;;;mb.mb266
canmbp;MB267;;;mb.mb267
canmbp;MB268;;;mb.mb268
canmbp;MB269;;;mb.mb269
canmbp;MB270;;;mb.mb270
canmbp;MB271;;;mb.mb271
canmbp;MB272;;;mb.mb272
canmbp;MB273;;;mb.mb273
canmbp;MB274;;;mb.mb274
canmbp;MB275;;;mb.mb275
canmbp;MB276;;;mb.mb276
canmbp;MB278;;;mb.mb278
canmbp;MB279;;;mb.mb279
canmbp;MB280;;;mb.mb280
canmbp;MB282;;;mb.mb282
canmbp;MB283;;;mb.mb283
canmbp;MB285;;;mb.mb285
canmbp;MB287;;;mb.mb287
canmbp;MB289;;;mb.mb289
canmbp;MB290;;;mb.mb290
canmbp;MB291;;Flin Flon;mb.mb291fli,sk.mb291,mb.mb291
canmbp;MB301;;;mb.mb301
canmbp;MB302;;;mb.mb302
canmbp;MB303;;;mb.mb303
canmbp;MB304;;;mb.mb304
canmbp;MB305;;;mb.mb305
canmbp;MB306;;;mb.mb306
canmbp;MB307;;;mb.mb307
canmbp;MB308;;;mb.mb308
canmbp;MB309;;;mb.mb309
canmbp;MB310;;;mb.mb310
canmbp;MB311;;;mb.mb311
canmbp;MB312;;;mb.mb312
canmbp;MB313;;;mb.mb313
canmbp;MB314;;;mb.mb314
canmbp;MB315;;;mb.mb315
canmbp;MB317;;;mb.mb317
canmbp;MB319;;;mb.mb319
canmbp;MB320;;;mb.mb320
canmbp;MB321;;;mb.mb321
canmbp;MB322;;;mb.mb322
canmbp;MB323;;;mb.mb323
canmbp;MB324;;;mb.mb324
canmbp;MB325;;;mb.mb325
canmbp;MB326;;;mb.mb326
canmbp;MB327;;;mb.mb327
canmbp;MB328;;;mb.mb328
canmbp;MB329;;;mb.mb329
canmbp;MB330;;;mb.mb330
canmbp;MB331;;;mb.mb331
canmbp;MB332;;;mb.mb332
canmbp;MB334;;;mb.mb334
canmbp;MB336;;;mb.mb336
canmbp;MB338;;;mb.mb338
canmbp;MB340;;;mb.mb340
canmbp;MB341;;;mb.mb341
canmbp;MB342;;;mb.mb342
canmbp;MB343;;;mb.mb343
canmbp;MB344;;;mb.mb344
canmbp;MB344;;Wawanesa;mb.mb344waw
canmbp;MB345;;;mb.mb345
canmbp;MB346;;;mb.mb346
canmbp;MB347;;;mb.mb347
canmbp;MB348;;;mb.mb348
canmbp;MB349;;;mb.mb349
canmbp;MB350;;;mb.mb350
canmbp;MB351;;;mb.mb351
canmbp;MB352;;;mb.mb352
canmbp;MB353;;;mb.mb353
canmbp;MB354;;;mb.mb354
canmbp;MB355;;;mb.mb355
canmbp;MB357;;;mb.mb357
canmbp;MB359;;;mb.mb359
canmbp;MB360;;;mb.mb360
canmbp;MB361;;;mb.mb361
canmbp;MB362;;;mb.mb362
canmbp;MB363;;;mb.mb363
canmbp;MB364;;;mb.mb364
canmbp;MB365;;;mb.mb365
canmbp;MB366;;;mb.mb366
canmbp;MB367;;;mb.mb367
canmbp;MB373;;;mb.mb373
canmbp;MB373;;Norway House;mb.mb373nor
canmbp;MB374;;;mb.mb374
canmbp;MB375;;;mb.mb375
canmbp;MB384;;;mb.mb384
canmbp;MB391;;;mb.mb391
canmbp;MB392;;;mb.mb392
canmbp;MB393;;;mb.mb393
canmbp;MB394;;;mb.mb394
canmbp;MB395;;;mb.mb395
canmbp;MB396;;;mb.mb396
canmbp;MB397;;;mb.mb397
canmbp;MB398;;;mb.mb398
canmbp;MB399;;;mb.mb399
canmbp;MB403;;;mb.mb403
canmbp;MB404;;;mb.mb404
canmbp;MB405;;;mb.mb405
canmbp;MB406;;;mb.mb406
canmbp;MB408;;;mb.mb408
canmbp;MB409;;;mb.mb409
canmbp;MB410;;;mb.mb410
canmbp;MB411;;;mb.mb411
canmbp;MB415;;;mb.mb415
canmbp;MB416;;;mb.mb416
canmbp;MB417;;;mb.mb417
canmbp;MB418;;;mb.mb418
canmbp;MB419;;;mb.mb419
canmbp;MB421;;;mb.mb421
canmbp;MB422;;;mb.mb422
canmbp;MB423;;;mb.mb423
canmbp;MB424;;;mb.mb424
canmbp;MB425;;;mb.mb425
canmbp;MB426;;;mb.mb426
canmbp;MB427;;;mb.mb427
canmbp;MB428;;;mb.mb428
canmbp;MB430;;;mb.mb430
canmbp;MB432;;;mb.mb432
canmbp;MB433;;;mb.mb433
canmbp;MB435;;;mb.mb435
canmbp;MB440;;;mb.mb440
canmbp;MB442;;;mb.mb442
canmbp;MB443;;;mb.mb443
canmbp;MB444;;;mb.mb444
canmbp;MB445;;;mb.mb445
canmbp;MB448;;;mb.mb448
canmbp;MB449;;;mb.mb449
canmbp;MB450;;;mb.mb450
canmbp;MB452;;;mb.mb452
canmbp;MB453;;;mb.mb453
canmbp;MB455;;;mb.mb455
canmbp;MB457;;;mb.mb457
canmbp;MB458;;;mb.mb458
canmbp;MB459;;;mb.mb459
canmbp;MB462;;;mb.mb462
canmbp;MB463;;;mb.mb463
canmbp;MB464;;;mb.mb464
canmbp;MB465;;;mb.mb465
canmbp;MB466;;;mb.mb466
canmbp;MB467;;;mb.mb467
canmbp;MB468;;;mb.mb468
canmbp;MB469;;;mb.mb469
canmbp;MB470;;;mb.mb470
canmbp;MB471;;;mb.mb471
canmbp;MB472;;;mb.mb472
canmbp;MB474;;;mb.mb474
canmbp;MB475;;;mb.mb475
canmbp;MB476;;;mb.mb476
canmbp;MB478;;;mb.mb478
canmbp;MB480;;;mb.mb480
canmbp;MB481;;;mb.mb481
canmbp;MB482;;;mb.mb482,sk.mb482,mb.mb482she
canmbp;MB483;;;mb.mb483
canmbp;MB484;;;mb.mb484
canmbp;MB485;;;mb.mb485
canmbp;MB486;;;mb.mb486
canmbp;MB487;;;mb.mb487
canmbp;MB488;;;mb.mb488
canmbp;MB489;;;mb.mb489
canmbp;MB490;;;mb.mb490
canmbp;MB491;;;mb.mb491
canmbp;MB493;;;mb.mb493
canmbp;MB493;;South Indian Lake;mb.mb493sil
canmbp;MB500;;;mb.mb500
canmbp;MB501;;;mb.mb501
canmbp;MB502;;;mb.mb502
canmbp;MB503;;;mb.mb503
canmbp;MB504;;;mb.mb504
canmbp;MB505;;;mb.mb505
canmbp;MB506;;;mb.mb506
canmbp;MB507;;;mb.mb507
canmbp;MB508;;;mb.mb508
canmbp;MB509;;;mb.mb509
canmbp;MB512;;;mb.mb512
canmbp;MB513;;;mb.mb513
canmbp;MB518;;;mb.mb518
canmbp;MB519;;;mb.mb519
canmbp;MB520;;;mb.mb520
canmbp;MB521;;;mb.mb521
canmbp;MB524;;;mb.mb524
canmbp;MB525;;;mb.mb525
canmbp;MB528;;;mb.mb528
canmbp;MB530;;;mb.mb530
canmbp;MB532;;;mb.mb532
canmbp;MB541;;;mb.mb541
canmbp;MB542;;;mb.mb542
canmbp;MB543;;;mb.mb543
canmbp;MB545;;;mb.mb545
canmbp;MB547;;;mb.mb547
canmbp;MB549;;;mb.mb549
canmbp;MB564;;;mb.mb564
