systemName;region;route;banner;abbrev;city;root;altRouteNames
cannbl;NB;NB205;;;;nb.nb205;
cannbl;NB;NB215;;;;nb.nb215;
cannbl;NB;NB218;;;;nb.nb218;
cannbl;NB;NB255;;;;nb.nb255;
cannbl;NB;NB260;;;;nb.nb260;
cannbl;NB;NB265;;;;nb.nb265;
cannbl;NB;NB275;;;;nb.nb275;
cannbl;NB;NB280;;;;nb.nb280;
cannbl;NB;NB303;;;;nb.nb303;
cannbl;NB;NB305;;;;nb.nb305;
cannbl;NB;NB310;;;;nb.nb310;
cannbl;NB;NB313;;;;nb.nb313;
cannbl;NB;NB315;;;;nb.nb315;
cannbl;NB;NB320;;;;nb.nb320;
cannbl;NB;NB322;;;;nb.nb322;
cannbl;NB;NB325;;;;nb.nb325;
cannbl;NB;NB330;;;;nb.nb330;
cannbl;NB;NB335;;;;nb.nb335;
cannbl;NB;NB340;;;;nb.nb340;
cannbl;NB;NB345;;;;nb.nb345;
cannbl;NB;NB350;;;;nb.nb350;
cannbl;NB;NB355;;;;nb.nb355;
cannbl;NB;NB360;;;;nb.nb360;
cannbl;NB;NB363;;;;nb.nb363;
cannbl;NB;NB365;;;;nb.nb365;
cannbl;NB;NB370;;;;nb.nb370;
cannbl;NB;NB375;;;;nb.nb375;
cannbl;NB;NB380;;;;nb.nb380;
cannbl;NB;NB385;;;;nb.nb385;
cannbl;NB;NB390;;;;nb.nb390;
cannbl;NB;NB395;;;;nb.nb395;
cannbl;NB;NB415;;;;nb.nb415;
cannbl;NB;NB420;;;;nb.nb420;
cannbl;NB;NB425;;;;nb.nb425;
cannbl;NB;NB430;;;;nb.nb430;
cannbl;NB;NB435;;;;nb.nb435;
cannbl;NB;NB440;;;;nb.nb440;
cannbl;NB;NB445;;;;nb.nb445;
cannbl;NB;NB450;;;;nb.nb450;
cannbl;NB;NB455;;;;nb.nb455;
cannbl;NB;NB460;;;;nb.nb460;
cannbl;NB;NB465;;;;nb.nb465;
cannbl;NB;NB470;;;;nb.nb470;
cannbl;NB;NB475;;;;nb.nb475;
cannbl;NB;NB480;;;;nb.nb480;
cannbl;NB;NB485;;;;nb.nb485;
cannbl;NB;NB490;;;;nb.nb490;
cannbl;NB;NB495;;;;nb.nb495;
cannbl;NB;NB505;;;;nb.nb505;
cannbl;NB;NB510;;;;nb.nb510;
cannbl;NB;NB515;;;;nb.nb515;
cannbl;NB;NB525;;;;nb.nb525;
cannbl;NB;NB530;;;;nb.nb530;
cannbl;NB;NB535;;;;nb.nb535;
cannbl;NB;NB540;;;;nb.nb540;
cannbl;NB;NB550;;;;nb.nb550;
cannbl;NB;NB555;;;;nb.nb555;
cannbl;NB;NB560;;;;nb.nb560;
cannbl;NB;NB565;;;;nb.nb565;
cannbl;NB;NB570;;;;nb.nb570;
cannbl;NB;NB575;;;;nb.nb575;
cannbl;NB;NB580;;;;nb.nb580;
cannbl;NB;NB585;;;;nb.nb585;
cannbl;NB;NB590;;;;nb.nb590;
cannbl;NB;NB595;;;;nb.nb595;
cannbl;NB;NB605;;;;nb.nb605;
cannbl;NB;NB610;;;;nb.nb610;
cannbl;NB;NB615;;;;nb.nb615;
cannbl;NB;NB616;;;;nb.nb616;
cannbl;NB;NB617;;;;nb.nb617;
cannbl;NB;NB620;;;;nb.nb620;
cannbl;NB;NB625;;;;nb.nb625;
cannbl;NB;NB628;;;;nb.nb628;
cannbl;NB;NB630;;;;nb.nb630;
cannbl;NB;NB635;;;;nb.nb635;
cannbl;NB;NB636;;;;nb.nb636;
cannbl;NB;NB640;;;;nb.nb640;
cannbl;NB;NB645;;;;nb.nb645;
cannbl;NB;NB655;;;;nb.nb655;
cannbl;NB;NB670;;;;nb.nb670;
cannbl;NB;NB690;;;;nb.nb690;
cannbl;NB;NB695;;;;nb.nb695;
cannbl;NB;NB705;;;;nb.nb705;
cannbl;NB;NB710;;;;nb.nb710;
cannbl;NB;NB715;;;;nb.nb715;
cannbl;NB;NB725;;;;nb.nb725;
cannbl;NB;NB730;;;;nb.nb730;
cannbl;NB;NB735;;;;nb.nb735;
cannbl;NB;NB740;;;;nb.nb740;
cannbl;NB;NB745;;;;nb.nb745;
cannbl;NB;NB750;;;;nb.nb750;
cannbl;NB;NB755;;;;nb.nb755;
cannbl;NB;NB760;;;;nb.nb760;
cannbl;NB;NB770;;;;nb.nb770;
cannbl;NB;NB772;;;;nb.nb772;
cannbl;NB;NB774;;;;nb.nb774;
cannbl;NB;NB776;;;;nb.nb776;
cannbl;NB;NB778;;;;nb.nb778;
cannbl;NB;NB780;;;;nb.nb780;
cannbl;NB;NB785;;;;nb.nb785;
cannbl;NB;NB790;;;;nb.nb790;
cannbl;NB;NB820;;;;nb.nb820;
cannbl;NB;NB825;;;;nb.nb825;
cannbl;NB;NB845;;;;nb.nb845;
cannbl;NB;NB850;;;;nb.nb850;
cannbl;NB;NB855;;;;nb.nb855;
cannbl;NB;NB860;;;;nb.nb860;
cannbl;NB;NB865;;;;nb.nb865;
cannbl;NB;NB870;;;;nb.nb870;
cannbl;NB;NB875;;;;nb.nb875;
cannbl;NB;NB880;;;;nb.nb880;
cannbl;NB;NB885;;;;nb.nb885;
cannbl;NB;NB890;;;;nb.nb890;
cannbl;NB;NB895;;;;nb.nb895;
cannbl;NB;NB905;;;;nb.nb905;
cannbl;NB;NB910;;;;nb.nb910;
cannbl;NB;NB915;;;;nb.nb915;
cannbl;NB;NB925;;;;nb.nb925;
cannbl;NB;NB933;;;;nb.nb933;
cannbl;NB;NB935;;;;nb.nb935;
cannbl;NB;NB940;;;;nb.nb940;
cannbl;NB;NB945;;;;nb.nb945;
cannbl;NB;NB950;;;;nb.nb950;
cannbl;NB;NB955;;;;nb.nb955;
cannbl;NB;NB960;;;;nb.nb960;
cannbl;NB;NB970;;;;nb.nb970;
