System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
cannl;NL;NL1;;;;nl.nl001;
cannl;NL;NL2;;;;nl.nl002;
cannl;NL;NL3;;;;nl.nl003;
cannl;NL;NL3A;;;;nl.nl003a;
cannl;NL;NL13;;;;nl.nl013;
cannl;NL;NL20;;;;nl.nl020;
cannl;NL;NL21;;;;nl.nl021;
cannl;NL;NL30;;;;nl.nl030;
cannl;NL;NL40;;;;nl.nl040;
cannl;NL;NL41;;;;nl.nl041;
cannl;NL;NL50;;;;nl.nl050;
cannl;NL;NL60;;;;nl.nl060;
cannl;NL;NL61;;;;nl.nl061;
cannl;NL;NL62;;;;nl.nl062;
cannl;NL;NL63;;;;nl.nl063;
cannl;NL;NL90;;;;nl.nl090;
cannl;NL;NL100;;;;nl.nl100;
cannl;NL;NL351;;;;nl.nl351;
cannl;NL;NL404;;;;nl.nl404;
cannl;NL;NL408;;;;nl.nl408;
cannl;NL;NL430;;;;nl.nl430;
cannl;NL;NL500;;;;nl.nl500;
cannl;NL;NL503;;;;nl.nl503;
cannl;NL;NL510;;;;nl.nl510;
cannl;NL;NL513;;;;nl.nl513;
cannl;NL;NL514;;;;nl.nl514;
cannl;NL;NL516;;;;nl.nl516;
cannl;NL;NL520;;;;nl.nl520;
