systemName;route;banner;groupName;roots
cannss;BrasdOrDr;;Bras d'Or Lakes Scenic Drive;ns.brasdordr
cannss;BrasdOrDr;;Bras d'Or Lakes Scenic Drive (Iona);ns.brasdordrion
cannss;CabTrl;;Cabot Trail;ns.cabtrl
cannss;CeiTrl;;Ceilidh Trail;ns.ceitrl
cannss;EvaTrl;;Evangeline Trail;ns.evatrl
cannss;FleTrl;;Fleur-de-Lis Trail;ns.fletrl
cannss;FleTrl;;Fleur-de-Lis Trail (Arichat);ns.fletrlari
cannss;FleTrl;;Fleur-de-Lis Trail (Cap La Ronde);ns.fletrlcap
cannss;GloTrl;;Glooscap Trail;ns.glotrl
cannss;KejSceDr;;Kejimkujik Scenic Drive;ns.kejscedr
cannss;LigRte;;Lighthouse Route;ns.ligrte
cannss;MarTrl;;Marconi Trail;ns.martrl
cannss;MarDr;;Marine Drive;ns.mardr
cannss;MarDr;;Marine Drive (Guysborough);ns.mardrguy
cannss;MarDr;;Marine Drive (Canso);ns.mardrcan
cannss;SunTrl;;Sunrise Trail (Amherst);ns.suntrlamh
cannss;SunTrl;;Sunrise Trail (Antigonish);ns.suntrlant
cannss;SunTrl;;Sunrise Trail (Tidnish);ns.suntrltid
cannss;SunTrl;;Sunrise Trail (Pugwash);ns.suntrlpug
