systemName;region;route;banner;abbrev;city;root;altRouteNames
canonf;ON;ON400;;;;on.on400;
canonf;ON;ON401;;;;on.on401;
canonf;ON;ON402;;;;on.on402;
canonf;ON;ON403;;;;on.on403;
canonf;ON;ON404;;;;on.on404;
canonf;ON;ON405;;;;on.on405;
canonf;ON;ON406;;;;on.on406;
canonf;ON;ON407;;;;on.on407;
canonf;ON;ON409;;;;on.on409;
canonf;ON;ON410;;;;on.on410;
canonf;ON;ON412;;;;on.on412;
canonf;ON;ON416;;;;on.on416;
canonf;ON;ON417;;;;on.on417;
canonf;ON;ON418;;;;on.on418;
canonf;ON;ON420;;;;on.on420;
canonf;ON;ON427;;;;on.on427;
canonf;ON;ONQEW;;;Queen Elizabeth Way;on.onqew;
canonf;ON;ONGar;;;Gardiner Expressway;on.ongar;
canonf;ON;ONDVP;;;Don Valley Parkway;on.ondvp;
