systemName;route;banner;groupName;roots
cansk;SK2;;;sk.sk002
cansk;SK4;;;sk.sk004
cansk;SK6;;;sk.sk006
cansk;SK7;;;sk.sk007
cansk;SK9;;;sk.sk009
cansk;SK11;;;sk.sk011
cansk;SK14;;;sk.sk014
cansk;SK34;;;sk.sk034
cansk;SK35;;;sk.sk035
cansk;SK36;;;sk.sk036
cansk;SK39;;;sk.sk039
cansk;SK39A;;;sk.sk039a
cansk;SK42;;Lucky Lake;sk.sk042
cansk;SK42;;Eyebrow;sk.sk042eye
cansk;SK55;;;sk.sk055
cansk;SK99;;;sk.sk099
cansk;SK102;;;sk.sk102
cansk;SK211;;;sk.sk211
cansk;SK240;;;sk.sk240
cansk;SK263;;;sk.sk263
cansk;SK264;;;sk.sk264
cansk;SK321;;;sk.sk321
cansk;SK350;;;sk.sk350
cansk;SK371;;;sk.sk371
cansk;SK376;;;sk.sk376
cansk;SK397;;;sk.sk397
