systemName;route;banner;groupName;roots
cantch;TCH;;(Main);bc.tchmai,ab.tchmai,sk.tchmai,mb.tchmai,on.tchlak,on.tchott,qc.tchmai,nb.tchmai,ns.tchmai
cantch;TCH;Bus;Chase, BC;bc.tchbuscha
cantch;TCH;;Brandon, MB;mb.tchbra
cantch;TCH;;Georgian Bay;on.tchgeo,on.tchcen
cantch;TCH;;Kenora, ON;on.tchken
cantch;TCH;;Kirkland Lake;on.tchkir,qc.tchkir
cantch;TCH;;Minnedosa, MB;mb.tchmin
cantch;TCH;;New Brunswick - Prince Edward Island;nb.tchpei,pe.tchpei
cantch;TCH;;Newfoundland;nl.tchmai
cantch;TCH;;North Battleford, SK;sk.tchnba
cantch;TCH;;Northern Ontario;on.tchnor
cantch;TCH;;Pictou, NS;ns.tchpei
cantch;TCH;;Portage La Prairie, MB;mb.tchpor
cantch;TCH;;Haida Gwaii;bc.tchhai
cantch;TCH;;Vancouver Island;bc.tchvan
cantch;TCH;;Voyageur;on.tchvoy
cantch;TCH;;Winnipeg, MB;mb.tchwin
cantch;TCH;;Yellowhead;bc.tchyel,ab.tchyel,sk.tchyel,mb.tchyel
cantch;TCH;;Yorkton, SK;sk.tchyor
