system;region;route;banner;abbreviation;city;fileNameRoot;altRouteNames
chea;CHE;A1;;;;che.a001;
chea;CHE;A1a;;Gen;Genève;che.a001agen;
chea;CHE;A1a;;Per;Perly;che.a001aper;
chea;CHE;A1r;;;;che.a001r;
chea;CHE;A2;;;;che.a002;
chea;CHE;A3;;;;che.a003;
chea;CHE;A4;;;Zürich;che.a004;A4Tha
chea;CHE;A4;;Flu;Fluelen;che.a004flu;
chea;CHE;A5;;;Neuchâtel;che.a005;
chea;CHE;A5;;Sol;Solothurn;che.a005sol;
chea;CHE;A6;;;;che.a006;
chea;CHE;A7;;;;che.a007;
chea;CHE;A8;;Spi;Spiez;che.a008spi;
chea;CHE;A8;;Lei;Leissigen;che.a008lei;
chea;CHE;A8;;Lun;Lungern;che.a008lun;
chea;CHE;A8;;;Interlaken;che.a008;
chea;CHE;A8;;Sar;Sarnen;che.a008sar;
chea;CHE;A9;;;Lausanne;che.a009;
chea;CHE;A9;;Tur;Turtmann;che.a009tur;
chea;CHE;A9;;Bri;Brig;che.a009bri;
chea;CHE;A12;;;;che.a012;
chea;CHE;A13;;;;che.a013;
chea;CHE;A13;;Loc;Locarno;che.a013loc;
chea;CHE;A14;;;Ebikon;che.a014;
chea;CHE;A14;;Zug;Zug;che.a014zug;A4aZug
chea;CHE;A15;;;Uster;che.a015;
chea;CHE;A15;;Rap;Rapperswil;che.a015rap;
chea;CHE;A16;;;;che.a016;
chea;CHE;A17;;;;che.a017;
chea;CHE;A18;;;;che.a018;
chea;CHE;A20;;Loc;Le Locle;che.a020loc;
chea;CHE;A20;;;Neuchâtel;che.a020;
chea;CHE;A22;;;;che.a022;
chea;CHE;A23;;Mul;Müllheim;che.a023mul;
chea;CHE;A23;;;Arbon;che.a023;A1.1Ror
chea;CHE;A24;;;;che.a024;SupMenSta
chea;CHE;A50;;;;che.a050;
chea;CHE;A51;;;;che.a051;
chea;CHE;A52;;;;che.a052;
