systemName;region;route;banner;abbrev;city;root;altRouteNames
cheh;CHE;H1;;;;che.h001;
cheh;CHE;H2;;;(Main);che.h002;
cheh;CHE;H2;;Air;Airolo;che.h002air;
cheh;CHE;H2a;;;;che.h002a;
cheh;CHE;H2b;;;;che.h002b;
cheh;CHE;H3;;;;che.h003;
cheh;CHE;H4;;Sch;Schaffhausen;che.h004sch;
cheh;CHE;H4;;;Zürich;che.h004;
cheh;CHE;H5;;;;che.h005;
cheh;CHE;H6;;;;che.h006;
cheh;CHE;H7;;;(Main);che.h007;
cheh;CHE;H7;;Ste;Stein;che.h007ste;
cheh;CHE;H8;;;;che.h008;
cheh;CHE;H9;;;;che.h009;
cheh;CHE;H10;;;;che.h010;
cheh;CHE;H11;;;;che.h011;
cheh;CHE;H12;;;;che.h012;
cheh;CHE;H13;;;;che.h013;
cheh;CHE;H14;;;;che.h014;
cheh;CHE;H15;;;;che.h015;
cheh;CHE;H16;;;;che.h016;
cheh;LIE;H16;;;;lie.h016;
cheh;CHE;H17;;;(Main);che.h017;
cheh;CHE;H17;;Uni;Universität Zürich;che.h017uni;
cheh;CHE;H18;;;;che.h018;
cheh;CHE;H19;;;;che.h019;
cheh;CHE;H20;;;;che.h020;
cheh;CHE;H21;;;(Main);che.h021;
cheh;CHE;H21;;Mar;Martigny;che.h021mar;
cheh;CHE;H22;;;;che.h022;
cheh;CHE;H23;;;;che.h023;
cheh;CHE;H24;;;;che.h024;
cheh;CHE;H25;;;;che.h025;
cheh;CHE;H26;;;;che.h026;
cheh;CHE;H27;;;;che.h027;
cheh;CHE;H28;;;;che.h028;
cheh;CHE;H29;;;;che.h029;
cheh;CHE;H30;;;;che.h030;
