systemName;route;banner;groupName;roots
chesf;AutBarSch;;Autostrasse Bargen - Schweizerbild;che.autbarsch
chesf;AutOenKlu;;Autostrasse Oensingen - Klus;che.autoenklu
chesf;H223;;Autostrasse Spiez - Mülenen;che.h223
chesf;BreLau;;Bretelle Lausanne;che.brelau
chesf;EggGre;;Eggfluhtunnel Grellingen;che.egggre
chesf;RocTav;;La Rochette Tavannes;che.roctav
chesf;UebHin;;Ueberlandstrasse Hinwil;che.uebhin
chesf;UmfLicWat;;Umfahrung Bütschwil, Lichtensteig und Wattwil;che.umflicwat
chesf;UmfTeu;;Umfahrung Teufen;che.umfteu
chesf;ZubHar;;Zubringer Hardturm, Zurich;che.zubhar
chesf;ZubHau;;Zubringer Hausen;che.zubhau
chesf;ZubKer;;Zubringer Kerzers;che.zubker
chesf;ZubLet;;Zubringer Letten, Zurich;che.zublet
chesf;ZubRhe;;Zubringer Rheinfelden;che.zubrhe
chesf;ZubRuf;;Zubringer Rüfenacht;che.zubruf
chesf;ZubWie;;Zubringer Wiedikon, Zurich;che.zubwie
