systemName;region;route;banner;abbrev;city;root;altRouteNames
codn;COD;N1;;;;cod.n001;
codn;COD;N2;;Kab;Kabinda;cod.n002kab;
codn;COD;N2;;;Bakavu;cod.n002;
codn;COD;N3;;;;cod.n003;
codn;COD;N4;;;Kisangani;cod.n004;
codn;COD;N4;;But;Buta;cod.n004but;
codn;COD;N4;;Bon;Bondo;cod.n004bon;
codn;COD;N4;;Mon;Monga;cod.n004mon;
codn;COD;N5;;Kil;Kilwa;cod.n005kil;
codn;COD;N5;;;Bukavu;cod.n005;
codn;COD;N6;;;Lisala;cod.n006;
codn;COD;N6;;Gem;Gemena;cod.n006gem;
codn;COD;N7;;Mas;Mashala;cod.n007mas;
codn;COD;N7;;;Lodja;cod.n007;
codn;COD;N7;;Ike;Ikela;cod.n007ike;
codn;COD;N7;;Yal;Yaleko;cod.n007yal;
codn;COD;N7;;Lub;Lubunga;cod.n007lub;
codn;COD;N11;;;;cod.n011;
codn;COD;N13;;;;cod.n013;
codn;COD;N14;;;;cod.n014;
codn;COD;N15;;;;cod.n015;
codn;COD;N23;;;;cod.n023;
codn;COD;N25;;;;cod.n025;
codn;COD;N26;;;;cod.n026;
codn;COD;N27;;;;cod.n027;
codn;COD;N30;;;;cod.n030;
codn;COD;N34;;;;cod.n034;
codn;COD;N36;;;;cod.n036;
codn;COD;N37;;;;cod.n037;
codn;COD;N39;;;;cod.n039;
