systemName;route;banner;groupName;roots
colrn;RN01;;;col.rn01
colrn;RN03;;;col.rn03
colrn;RN05;;;col.rn05
colrn;RN08;;;col.rn08
colrn;RN10;;Túquerres;col.rn10
colrn;RN10;;Sibundoy;col.rn10sib
colrn;RN12;;;col.rn12
colrn;RN13;;;col.rn13
colrn;RN17;;Guachucal;col.rn17gua
colrn;RN17;;Samaniego;col.rn17
colrn;RN19;;;col.rn19
colrn;RN20;;El Tambo;col.rn20tam
colrn;RN20;;Isnos;col.rn20
colrn;RN2003A;;;col.rn2003a
colrn;RN20CQ01;;;col.rn20cq01
colrn;RN20HL01;;;col.rn20hl01
colrn;RN21;;;col.rn21
colrn;RN21CR04;;;col.rn21cr04
colrn;RN21CRA;;;col.rn21cra
colrn;RN23;;Roldanillo;col.rn23
colrn;RN23;;Montería;col.rn23mon
colrn;RN23VL01;;;col.rn23vl01
colrn;RN23VL02;;;col.rn23vl02
colrn;RN23VL02-1;;;col.rn23vl02-1
colrn;RN23VL02-2;;;col.rn23vl02-2
colrn;RN23VLB;;;col.rn23vlb
colrn;RN24;;;col.rn24
colrn;RN24HL01;;;col.rn24hl01
colrn;RN24HL02;;;col.rn24hl02
colrn;RN24HL03;;;col.rn24hl03
colrn;RN25;;Popayán;col.rn25pop
colrn;RN25;;Cartago;col.rn25car
colrn;RN25;;Sincelejo;col.rn25
colrn;RN2501A;;;col.rn2501a
colrn;RN2501B;;;col.rn2501b
colrn;RN2504A;;;col.rn2504a
colrn;RN2505B;;;col.rn2505b
colrn;RN25ANH;;;col.rn25anh
colrn;RN25AT04;;;col.rn25at04
colrn;RN25ATA;;;col.rn25ata
colrn;RN25BL02;;;col.rn25bl02
colrn;RN25BLA;;;col.rn25bla
colrn;RN25CC02;;;col.rn25cc02
colrn;RN25CC04;;;col.rn25cc04
colrn;RN25CC15;;;col.rn25cc15
colrn;RN25CC15-1;;;col.rn25cc15-1
colrn;RN25CCA;;;col.rn25cca
colrn;RN25CCB;;;col.rn25ccb
colrn;RN25CCC;;;col.rn25ccc
colrn;RN25CCD;;;col.rn25ccd
colrn;RN25CRA;;;col.rn25cra
colrn;RN25NR01;;;col.rn25nr01
colrn;RN25NR04;;;col.rn25nr04
colrn;RN25NRB;;;col.rn25nrb
colrn;RN25NRC;;;col.rn25nrc
colrn;RN25NRD;;;col.rn25nrd
colrn;RN25RSA;;;col.rn25rsa
colrn;RN25SC01;;;col.rn25sc01
colrn;RN25SCA;;;col.rn25sca
colrn;RN25VL07;;;col.rn25vl07
colrn;RN25VLB;;;col.rn25vlb
colrn;RN25VLC;;;col.rn25vlc
colrn;RN25VLD;;;col.rn25vld
colrn;RN25VLE;;;col.rn25vle
colrn;RN25VLF;;;col.rn25vlf
colrn;RN25VLG;;;col.rn25vlg
colrn;RN25;;Zarzal;col.rn25zar
colrn;RN25B;;;col.rn25b
colrn;RN25BAN01;;;col.rn25ban01
colrn;RN26;;;col.rn26
colrn;RN2602A;;;col.rn2602a
colrn;RN26CC03;;;col.rn26cc03
colrn;RN26CC03-2;;;col.rn26cc03-2
colrn;RN26CC04;;;col.rn26cc04
colrn;RN26CC07;;;col.rn26cc07
colrn;RN27;;Tenerife;col.rn27
colrn;RN27;;Sitionuevo;col.rn27sit
colrn;RN29;;Armenia;col.rn29arm
colrn;RN29;;Manizales;col.rn29
colrn;RN29;;Irra;col.rn29irr
colrn;RN2901B;;;col.rn2901b
colrn;RN29CL03;;;col.rn29cl03
colrn;RN29CL03-1;;;col.rn29cl03-1
colrn;RN29CLA;;;col.rn29cla
colrn;RN29RS01;;;col.rn29rs01
colrn;RN29RS02;;;col.rn29rs02
colrn;RN29RSB;;;col.rn29rsb
colrn;RN29RSC;;Pereira;col.rn29rsc
colrn;RN29RSC;;Chinchiná;col.rn29rscchi
colrn;RN29RSD;;;col.rn29rsd
colrn;RN29VLA;;;col.rn29vla
colrn;RN30;;;col.rn30
colrn;RN31;;;col.rn31
colrn;RN36;;;col.rn36
colrn;RN37;;Belacázar;col.rn37
colrn;RN37;;Torbío;col.rn37tor
colrn;RN37CCA;;;col.rn37cca
colrn;RN37CCB;;;col.rn37ccb
colrn;RN40;;Armenia;col.rn40
colrn;RN40;;Girardot;col.rn40gir
colrn;RN40;;Villavicencio;col.rn40vil
colrn;RN40;;Puerto Carreño;col.rn40car
colrn;RN4002A;;;col.rn4002a
colrn;RN4004B;;;col.rn4004b
colrn;RN4006A;;;col.rn4006a
colrn;RN40CN01;;;col.rn40cn01
colrn;RN40CN07;;;col.rn40cn07
colrn;RN40CNB;;;col.rn40cnb
colrn;RN40CNC;;;col.rn40cnc
colrn;RN40MT01;;;col.rn40mt01
colrn;RN40MTA;;;col.rn40mta
colrn;RN40QN01;;;col.rn40qn01
colrn;RN40QN04;;;col.rn40qn04
colrn;RN40QN05;;;col.rn40qn05
colrn;RN40TL05;;;col.rn40tl05
colrn;RN40TL06;;;col.rn40tl06
colrn;RN40TLC;;;col.rn40tlc
colrn;RN40TLD;;;col.rn40tld
colrn;RN40TLE;;;col.rn40tle
colrn;RN40TLF;;;col.rn40tlf
colrn;RN40TLG;;;col.rn40tlg
colrn;RN40VLA;;;col.rn40vla
colrn;RN43;;Tesália;col.rn43tes
colrn;RN43;;Armero;col.rn43
colrn;RN43;;El Banco;col.rn43ban
colrn;RN43CS02;;;col.rn43cs02
colrn;RN43HL02;;;col.rn43hl02
colrn;RN43HL02-1;;;col.rn43hl02-1
colrn;RN45;;La Hormiga;col.rn45hor
colrn;RN45;;Pitalito;col.rn45pit
colrn;RN45;;Saldaña;col.rn45sal
colrn;RN45;;Bosconia;col.rn45
colrn;RN45BY01;;;col.rn45by01
colrn;RN45CLB;;;col.rn45clb
colrn;RN45CNA;;;col.rn45cna
colrn;RN45CS04;;;col.rn45cs04
colrn;RN45CS09;;;col.rn45cs09
colrn;RN45CSD;;;col.rn45csd
colrn;RN45CSE;;;col.rn45cse
colrn;RN45CSF;;;col.rn45csf
colrn;RN45CSG;;;col.rn45csg
colrn;RN45CSH;;;col.rn45csh
colrn;RN45CSI;;;col.rn45csi
colrn;RN45CSJ;;;col.rn45csj
colrn;RN45HL01;;;col.rn45hl01
colrn;RN45HL06;;;col.rn45hl06
colrn;RN45HLB;;;col.rn45hlb
colrn;RN45HLC;;;col.rn45hlc
colrn;RN45MG02;;;col.rn45mg02
colrn;RN45MGB;;;col.rn45mgb
colrn;RN45;;Natagaima;col.rn45nat
colrn;RN45TL10;;;col.rn45tl10
colrn;RN45TLA;;;col.rn45tla
colrn;RN45TLB;;;col.rn45tlb
colrn;RN45TLG;;;col.rn45tlg
colrn;RN45A;;Barbosa;col.rn45a
colrn;RN45A;;Rionegro;col.rn45ario
colrn;RN45A;;Chiquinquirá;col.rn45achi
colrn;RN45ACNA;;;col.rn45acna
colrn;RN45ACNB;;;col.rn45acnb
colrn;RN45ACNC;;;col.rn45acnc
colrn;RN45ACND;;;col.rn45acnd
colrn;RN45AST08;;;col.rn45ast08
colrn;RN48;;;col.rn48
colrn;RN49;;;col.rn49
colrn;RN49GJB;;;col.rn49gjb
colrn;RN50;;Viterbo;col.rn50vit
colrn;RN50;;Manizales;col.rn50
colrn;RN50;;Guasca;col.rn50gua
colrn;RN5004B;;;col.rn5004b
colrn;RN5008A;;;col.rn5008a
colrn;RN5008B;;;col.rn5008b
colrn;RN50CL02;;;col.rn50cl02
colrn;RN50CN01;;;col.rn50cn01
colrn;RN50CN03;;;col.rn50cn03
colrn;RN50CN04;;;col.rn50cn04
colrn;RN50CNG;;;col.rn50cng
colrn;RN50RS01;;;col.rn50rs01
colrn;RN50A;;;col.rn50a
colrn;RN55;;Tunja;col.rn55
colrn;RN55;;Puerto Santander;col.rn55san
colrn;RN5505B;;;col.rn5505b
colrn;RN55BY11;;;col.rn55by11
colrn;RN55BYA;;;col.rn55bya
colrn;RN55CN01;;;col.rn55cn01
colrn;RN55CN03;;;col.rn55cn03
colrn;RN55CNC;;;col.rn55cnc
colrn;RN55NS08;;;col.rn55ns08
colrn;RN55NS09;;;col.rn55ns09
colrn;RN55NSA;;;col.rn55nsa
colrn;RN55ST02;;;col.rn55st02
colrn;RN55STA;;;col.rn55sta
colrn;RN56;;Sonsón;col.rn56son
colrn;RN56;;La Palma;col.rn56pal
colrn;RN56;;Guateque;col.rn56
colrn;RN56AN01;;;col.rn56an01
colrn;RN56AN02;;;col.rn56an02
colrn;RN56AN02-1;;;col.rn56an02-1
colrn;RN56AN03;;;col.rn56an03
colrn;RN56AN12;;;col.rn56an12
colrn;RN60;;Ciudad Bolívar;col.rn60bol
colrn;RN60;;Marinilla;col.rn60
colrn;RN60;;Tinacá;col.rn60tin
colrn;RN60;;Ramiriqui;col.rn60ram
colrn;RN60AN03;;;col.rn60an03
colrn;RN62;;Chigorodó;col.rn62
colrn;RN62;;Puerto Berrio;col.rn62ber
colrn;RN62;;Duitama;col.rn62dui
colrn;RN62;;Sogamoso;col.rn62sog
colrn;RN6204A;;;col.rn6204a
colrn;RN6205A;;;col.rn6205a
colrn;RN62AND;;;col.rn62and
colrn;RN62ANE;;;col.rn62ane
colrn;RN62ANF;;;col.rn62anf
colrn;RN62ANG;;;col.rn62ang
colrn;RN62ANH;;;col.rn62anh
colrn;RN62BY05;;;col.rn62by05
colrn;RN62STA;;;col.rn62sta
colrn;RN62;;Turbo;col.rn62tur
colrn;RN64;;Barichara;col.rn64bar
colrn;RN64;;Mogotes;col.rn64mog
colrn;RN64;;Sácama;col.rn64
colrn;RN64ST02;;;col.rn64st02
colrn;RN65;;Puerto Limón;col.rn65lim
