system;route;banner;name;roots
czed;D0;;(South) Praha;cze.d000
czed;D0;;(East) Praha;cze.d000epr
czed;D1;;;cze.d001
czed;D2;;;cze.d002
czed;D3;;České Budějovice;cze.d003
czed;D3;;Dolní Dvořiště;cze.d003dol
czed;D4;;;cze.d004
czed;D5;;;cze.d005
czed;D6;;Kladno;cze.d006
czed;D6;;Bošov;cze.d006bos
czed;D6;;Karlovy Vary;cze.d006kar
czed;D7;;Slaný;cze.d007
czed;D7;;Louny;cze.d007lou
czed;D7;;Chomutov;cze.d007cho
czed;D8;;;cze.d008
czed;D10;;;cze.d010
czed;D11;;;cze.d011
czed;D35;;Hořice;cze.d035hor
czed;D35;;Opatovice nad Labem;cze.d035opa
czed;D35;;Vysoké Mýto;cze.d035vys
czed;D35;;Svitavy;cze.d035svi
czed;D35;;Olomouc;cze.d035
czed;D46;;;cze.d046
czed;D48;;Bělotín;cze.d048bel
czed;D48;;Nový Jičín;cze.d048nov
czed;D48;;Frýdek-Místek;cze.d048
czed;D49;;;cze.d049
czed;D52;;;cze.d052
czed;D55;;Olomouc;cze.d055olo
czed;D55;;Otrokovice;cze.d055
czed;D55;;Staré Město;cze.d055sta
czed;D56;;;cze.d056
