System;Region;Route;Banner;Abbreviation;City;Root;AltRouteNames
czeii;CZE;II101;;;;cze.ii101;
czeii;CZE;II102;;;;cze.ii102;
czeii;CZE;II103;;;;cze.ii103;
czeii;CZE;II104;;;;cze.ii104;
czeii;CZE;II105;;;;cze.ii105;
czeii;CZE;II106;;;;cze.ii106;
czeii;CZE;II107;;;;cze.ii107;
czeii;CZE;II108;;;;cze.ii108;
czeii;CZE;II109;;;;cze.ii109;
czeii;CZE;II110;;;;cze.ii110;
czeii;CZE;II111;;;;cze.ii111;
czeii;CZE;II112;;;;cze.ii112;
czeii;CZE;II113;;;;cze.ii113;
czeii;CZE;II114;;;;cze.ii114;
czeii;CZE;II115;;;;cze.ii115;
czeii;CZE;II116;;;;cze.ii116;
czeii;CZE;II117;;;;cze.ii117;
czeii;CZE;II118;;;Kladno;cze.ii118;
czeii;CZE;II118;;Pri;Příbram;cze.ii118pri;
czeii;CZE;II119;;;;cze.ii119;
czeii;CZE;II120;;;;cze.ii120;
czeii;CZE;II121;;Bla;Blatná;cze.ii121bla;
czeii;CZE;II121;;;Milevsko;cze.ii121;
czeii;CZE;II122;;;;cze.ii122;
czeii;CZE;II123;;;;cze.ii123;
czeii;CZE;II124;;;;cze.ii124;
czeii;CZE;II125;;;;cze.ii125;
czeii;CZE;II126;;;;cze.ii126;
czeii;CZE;II127;;;;cze.ii127;
czeii;CZE;II128;;;;cze.ii128;
czeii;CZE;II129;;;;cze.ii129;
