systemName;region;route;banner;abbrev;city;root;altRouteNames
deub;DEU-NW;B1;;Aac;Aachen;deunw.b001aac;
deub;DEU-NW;B1;;Dus;Düsseldorf;deunw.b001dus;
deub;DEU-NW;B1;;Ess;Essen;deunw.b001ess;
deub;DEU-NW;B1;;Dor;Dortmund;deunw.b001dor;
deub;DEU-NW;B1;;Unn;Unna;deunw.b001unn;
deub;DEU-NW;B1;;;Paderborn;deunw.b001;
deub;DEU-NI;B1;;;Hildesheim;deuni.b001;
deub;DEU-NI;B1;;Hel;Helmstedt;deuni.b001hel;
deub;DEU-ST;B1;;;;deust.b001;
deub;DEU-BB;B1;;Pot;Potsdam;deubb.b001pot;
deub;DEU-BE;B1;;Zeh;Zehlendorf;deube.b001zeh;
deub;DEU-BE;B1;;;Berlin-Mitte;deube.b001;
deub;DEU-BB;B1;;;Müncheberg;deubb.b001;
deub;DEU-NW;B1a;;;;deunw.b001a;
deub;DEU-BB;B2;;;Schwedt;deubb.b002;
deub;DEU-BB;B2;;Lin;Lindenberg;deubb.b002lin;
deub;DEU-BE;B2;;;;deube.b002;
deub;DEU-BB;B2;;Pot;Potsdam;deubb.b002pot;
deub;DEU-ST;B2;;;Wittenberg;deust.b002;
deub;DEU-SN;B2;;;;deusn.b002;
deub;DEU-ST;B2;;Zei;Zeitz;deust.b002zei;
deub;DEU-TH;B2;;;Gera;deuth.b002;
deub;DEU-TH;B2;;Por;Porstendorf;deuth.b002por;
deub;DEU-TH;B2;;Sch;Schleiz;deuth.b002sch;
deub;DEU-TH;B2;;Gef;Gefell;deuth.b002gef;
deub;DEU-BY;B2;;Hof;Hof;deuby.b002hof;
deub;DEU-BY;B2;;;Nürnberg;deuby.b002;
deub;DEU-BY;B2;;Wei;Weilheim;deuby.b002wei;
deub;DEU-BY;B2R;;;;deuby.b002r;
deub;DEU-NI;B3;;;;deuni.b003;
deub;DEU-HE;B3;;Kas;Kassel;deuhe.b003kas;
deub;DEU-HE;B3;;;Marburg;deuhe.b003;
deub;DEU-HE;B3;;Fra;Frankfurt;deuhe.b003fra;
deub;DEU-HE;B3;;Dar;Darmstadt;deuhe.b003dar;
deub;DEU-BW;B3;;;;deubw.b003;
deub;DEU-BW;B3n;;;;deubw.b003n;
deub;DEU-SH;B4;;;;deush.b004;
deub;DEU-HH;B4;;;;deuhh.b004;
deub;DEU-NI;B4;;;Uelzen;deuni.b004;
deub;DEU-NI;B4;;Har;Bad Harzburg;deuni.b004har;
deub;DEU-TH;B4;;;Nordhausen;deuth.b004;
deub;DEU-TH;B4;;Son;Sonneberg;deuth.b004son;
deub;DEU-BY;B4;;;Coburg;deuby.b004;
deub;DEU-BY;B4;;Nur;Nürnberg;deuby.b004nur;
deub;DEU-BY;B4R;;;;deuby.b004r;
deub;DEU-SH;B5;;;Husum;deush.b005;
deub;DEU-HH;B5;;;;deuhh.b005;
deub;DEU-SH;B5;;Lau;Lauenburg;deush.b005lau;
deub;DEU-MV;B5;;;;deumv.b005;
deub;DEU-BB;B5;;Gro;Groß Warnow;deubb.b005gro;
deub;DEU-BB;B5;;;Nauen;deubb.b005;
deub;DEU-BE;B5;;;;deube.b005;
deub;DEU-BB;B5;;Mun;Müncheberg;deubb.b005mun;
deub;DEU-HB;B6;;Bhv;Bremerhaven;deuhb.b006bhv;
deub;DEU-NI;B6;;Lox;Loxstedt;deuni.b006lox;
deub;DEU-HB;B6;;;Bremen;deuhb.b006;
deub;DEU-NI;B6;;;Hannover;deuni.b006;
deub;DEU-ST;B6;;;Blankenburg;deust.b006;
deub;DEU-ST;B6;;Hal;Halle (Saale);deust.b006hal;
deub;DEU-SN;B6;;;Dresden;deusn.b006;
deub;DEU-SN;B6;;Lob;Löbau;deusn.b006lob;
deub;DEU-HB;B6n;;;;deuhb.b006n;
deub;DEU-NW;B7;;;Düsseldorf;deunw.b007;
deub;DEU-NW;B7;;Hag;Hagen;deunw.b007hag;
deub;DEU-NW;B7;;Men;Menden;deunw.b007men;
deub;DEU-NW;B7;;War;Warburg;deunw.b007war;
deub;DEU-HE;B7;;;Kassel;deuhe.b007;
deub;DEU-HE;B7;;Rin;Ringgau;deuhe.b007rin;
deub;DEU-TH;B7;;Cre;Creuzburg;deuth.b007cre;
deub;DEU-TH;B7;;Got;Gotha;deuth.b007got;
deub;DEU-TH;B7;;;Weimar;deuth.b007;
deub;DEU-TH;B7;;Alt;Altenburg;deuth.b007alt;
deub;DEU-SN;B7;;;;deusn.b007;
deub;DEU-NW;B8;;Emm;Emmerich;deunw.b008emm;
deub;DEU-NW;B8;;Din;Dinslaken;deunw.b008din;
deub;DEU-NW;B8;;Dus;Düsseldorf;deunw.b008dus;
deub;DEU-NW;B8;;;Köln;deunw.b008;
deub;DEU-NW;B8;;Hen;Hennef;deunw.b008hen;
deub;DEU-RP;B8;;;;deurp.b008;
deub;DEU-HE;B8;;;Limburg;deuhe.b008;
deub;DEU-HE;B8;;Fra;Frankfurt;deuhe.b008fra;
