System;Route;Banner;Name;Roots
deub2;B200;;;deu.b200
deub2;B201;;;deu.b201
deub2;B202;;Rendsburg;deu.b202
deub2;B202;;Lütjenburg;deu.b202lut
deub2;B203;;;deu.b203
deub2;B205;;;deu.b205
deub2;B206;;;deu.b206
deub2;B207;;Fehmarn;deu.b207feh
deub2;B207;;Mölln;deu.b207
deub2;B208;;;deu.b208
deub2;B209;;Rethem;deu.b209ret
deub2;B209;;Lüneburg;deu.b209
deub2;B210;;;deu.b210
deub2;B211;;;deu.b211
deub2;B212;;Bremerhaven;deu.b212bre
deub2;B212;;Brake;deu.b212
deub2;B213;;Haselünne;deu.b213
deub2;B213;;Ganderkesee;deu.b213gan
deub2;B214;;;deu.b214
deub2;B215;;;deu.b215
deub2;B216;;;deu.b216
deub2;B217;;;deu.b217
deub2;B218;;;deu.b218
deub2;B218AST;;;deu.b218ast
deub2;B219;;;deu.b219
deub2;B220;;;deu.b220
deub2;B221;;;deu.b221
deub2;B223;;;deu.b223
deub2;B224;;Gladbeck;deu.b224
deub2;B224;;Solingen;deu.b224sol
deub2;B225;;;deu.b225
deub2;B226;;;deu.b226
deub2;B226AST;;;deu.b226ast
deub2;B227;;Gelsenkirchen;deu.b227gel
deub2;B227;;Essen;deu.b227ess
deub2;B227;;Heiligenhaus;deu.b227
deub2;B228;;;deu.b228
deub2;B229;;;deu.b229
deub2;B230;;;deu.b230
deub2;B231;;;deu.b231
deub2;B233;;Bergkamen;deu.b233ber
deub2;B233;;Iserlohn;deu.b233
deub2;B234;;;deu.b234
deub2;B235;;;deu.b235
deub2;B236;;;deu.b236
deub2;B237;;;deu.b237
deub2;B238;;;deu.b238
deub2;B239;;;deu.b239
deub2;B240;;;deu.b240
deub2;B240AST;;;deu.b240ast
deub2;B241;;;deu.b241
deub2;B242;;;deu.b242
deub2;B243;;;deu.b243
deub2;B243a;;;deu.b243a
deub2;B244;;;deu.b244
deub2;B244AST;;;deu.b244ast
deub2;B245;;;deu.b245
deub2;B245a;;;deu.b245a
deub2;B246;;Oschersleben;deu.b246osc
deub2;B246;;Berlin;deu.b246
deub2;B246a;;;deu.b246a
deub2;B247;;;deu.b247
deub2;B247n;;;deu.b247n
deub2;B248;;Salzwedel;deu.b248
deub2;B248;;Seesen;deu.b248see
deub2;B248a;;;deu.b248a
deub2;B249;;;deu.b249
deub2;B250;;Treffurt;deu.b250tre
deub2;B250;;Nebra;deu.b250
deub2;B251;;;deu.b251
deub2;B252;;Brakel;deu.b252bra
deub2;B252;;Korbach;deu.b252
deub2;B253;;;deu.b253
deub2;B254;;;deu.b254
deub2;B255;;;deu.b255
deub2;B256;;;deu.b256
deub2;B257;;Adenau;deu.b257ade
deub2;B257;;Bitburg;deu.b257
deub2;B258;;;deu.b258
deub2;B259;;;deu.b259
deub2;B260;;;deu.b260
deub2;B260AST;;;deu.b260ast
deub2;B261;;;deu.b261
deub2;B262;;Mayen;deu.b262
deub2;B262;;Wiesbaden;deu.b262wie
deub2;B264;;Aachen;deu.b264aac
deub2;B264;;Düren;deu.b264
deub2;B264;;Köln;deu.b264kol
deub2;B265;;;deu.b265
deub2;B266;;Mechernich;deu.b266
deub2;B266;;Sinzig;deu.b266sin
deub2;B266AST;;;deu.b266ast
deub2;B267;;;deu.b267
deub2;B268;;;deu.b268
deub2;B269;;Birkenfeld;deu.b269
deub2;B269;;Überherrn;deu.b269ube
deub2;B270;;;deu.b270
deub2;B271;;;deu.b271
deub2;B272;;;deu.b272
deub2;B273;;Nauen;deu.b273
deub2;B273;;Oranienburg;deu.b273ora
deub2;B274;;;deu.b274
deub2;B275;;;deu.b275
deub2;B275AST;;;deu.b275ast
deub2;B276;;;deu.b276
deub2;B277;;;deu.b277
deub2;B277AST;;Dillenburg;deu.b277astdil
deub2;B277AST;;Herborn;deu.b277ast
deub2;B278;;;deu.b278
deub2;B279;;;deu.b279
deub2;B279AST;;;deu.b279ast
deub2;B281;;;deu.b281
deub2;B281AST;;;deu.b281ast
deub2;B282;;;deu.b282
deub2;B283;;;deu.b283
deub2;B284;;;deu.b284
deub2;B285;;;deu.b285
deub2;B286;;Bad Kissingen;deu.b286kis
deub2;B286;;Schweinfurt;deu.b286
deub2;B287;;;deu.b287
deub2;B288;;;deu.b288
deub2;B289;;;deu.b289
deub2;B290;;;deu.b290
deub2;B291;;;deu.b291
deub2;B292;;;deu.b292
deub2;B293;;;deu.b293
deub2;B294;;;deu.b294
deub2;B295;;Weil der Stadt;deu.b295
deub2;B295;;Feuerbach;deu.b295feu
deub2;B296;;;deu.b296
deub2;B297;;;deu.b297
deub2;B298;;;deu.b298
deub2;B299;;;deu.b299
deub2;B299a;;;deu.b299a
