System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
deub4;DEU;B400;;;;deu.b400;
deub4;DEU;B401;;;;deu.b401;
deub4;DEU;B402;;;;deu.b402;
deub4;DEU;B403;;;;deu.b403;
deub4;DEU;B404;;Kie;Kiel;deu.b404kie;
deub4;DEU;B404;;;Schwarzenbek;deu.b404;
deub4;DEU;B405;;;;deu.b405;
deub4;DEU;B406;;;Perl;deu.b406;
deub4;DEU;B406;;Gud;Güdingen;deu.b406gud;
deub4;DEU;B407;;;;deu.b407;
deub4;DEU;B408;;;;deu.b408;
deub4;DEU;B410;;;;deu.b410;
deub4;DEU;B410n;;;;deu.b410n;
deub4;DEU;B411;;;;deu.b411;
deub4;DEU;B412;;;;deu.b412;
deub4;DEU;B413;;;;deu.b413;
deub4;DEU;B414;;;;deu.b414;
deub4;DEU;B415;;;;deu.b415;
deub4;DEU;B416;;;;deu.b416;
deub4;DEU;B417;;;;deu.b417;
deub4;DEU;B418;;;;deu.b418;
deub4;DEU;B419;;;;deu.b419;
deub4;DEU;B420;;;;deu.b420;
deub4;DEU;B421;;;;deu.b421;
deub4;DEU;B422;;;Idar-Oberstein;deu.b422;
deub4;DEU;B422;;Kor;Kordel;deu.b422kor;
deub4;DEU;B423;;;;deu.b423;
deub4;DEU;B424;;;;deu.b424;
deub4;DEU;B426;;;;deu.b426;
deub4;DEU;B427;;;;deu.b427;
deub4;DEU;B428;;;;deu.b428;
deub4;DEU;B429;;;;deu.b429;
deub4;DEU;B430;;;;deu.b430;
deub4;DEU;B431;;Mel;Meldorf;deu.b431mel;
deub4;DEU;B431;;;Glückstadt;deu.b431;
deub4;DEU;B431;;Wed;Wedel;deu.b431wed;
deub4;DEU;B432;;;;deu.b432;
deub4;DEU;B433;;;;deu.b433;
deub4;DEU;B436;;;;deu.b436;
deub4;DEU;B437;;;;deu.b437;
deub4;DEU;B438;;;;deu.b438;
deub4;DEU;B439;;;;deu.b439;
deub4;DEU;B440;;;;deu.b440;
deub4;DEU;B441;;;;deu.b441;
deub4;DEU;B442;;;Bad Nenndorf;deu.b442;
deub4;DEU;B442;;Neu;Neustadt am Rübenberge;deu.b442neu;
deub4;DEU;B443;;;;deu.b443;
deub4;DEU;B444;;;;deu.b444;
deub4;DEU;B445;;;;deu.b445;
deub4;DEU;B446;;;;deu.b446;
deub4;DEU;B447;;;;deu.b447;
deub4;DEU;B448;;;;deu.b448;
deub4;DEU;B449;;;;deu.b449;
deub4;DEU;B450;;;;deu.b450;
deub4;DEU;B451;;;;deu.b451;
deub4;DEU;B452;;;;deu.b452;
deub4;DEU;B453;;;;deu.b453;
deub4;DEU;B454;;;;deu.b454;
deub4;DEU;B454AST;;;;deu.b454ast;
deub4;DEU;B455;;;Friedberg;deu.b455;
deub4;DEU;B455;;Epp;Eppstein;deu.b455epp;
deub4;DEU;B456;;;;deu.b456;
deub4;DEU;B457;;;;deu.b457;
deub4;DEU;B458;;;;deu.b458;
deub4;DEU;B459;;;;deu.b459;
deub4;DEU;B460;;;;deu.b460;
deub4;DEU;B461;;;;deu.b461;
deub4;DEU;B462;;;;deu.b462;
deub4;DEU;B463;;;Calw;deu.b463;
deub4;DEU;B463;;Bal;Balingen;deu.b463bal;
deub4;DEU;B464;;;;deu.b464;
deub4;DEU;B465;;;;deu.b465;
deub4;DEU;B466;;;;deu.b466;
deub4;DEU;B466AST;;;;deu.b466ast;
deub4;DEU;B466a;;;;deu.b466a;
deub4;DEU;B467;;;;deu.b467;
deub4;DEU;B468;;;;deu.b468;
deub4;DEU;B469;;;;deu.b469;
deub4;DEU;B470;;;;deu.b470;
deub4;DEU;B471;;;;deu.b471;
deub4;DEU;B471AST;;;;deu.b471ast;
deub4;DEU;B472;;;;deu.b472;
deub4;DEU;B473;;;;deu.b473;
deub4;DEU;B474;;;;deu.b474;
deub4;DEU;B475;;;;deu.b475;
deub4;DEU;B475AST;;;;deu.b475ast;
deub4;DEU;B476;;;;deu.b476;
deub4;DEU;B477;;;;deu.b477;
deub4;DEU;B478;;;;deu.b478;
deub4;DEU;B480;;;;deu.b480;
deub4;DEU;B481;;;;deu.b481;
deub4;DEU;B482;;;;deu.b482;
deub4;DEU;B483;;;;deu.b483;
deub4;DEU;B484;;;;deu.b484;
deub4;DEU;B485;;;;deu.b485;
deub4;DEU;B486;;;;deu.b486;
deub4;DEU;B487;;;;deu.b487;
deub4;DEU;B489;;;;deu.b489;
deub4;DEU;B491;;;;deu.b491;
deub4;DEU;B492;;;Blaubeuren;deu.b492;
deub4;DEU;B492;;Gie;Giengen;deu.b492gie;
deub4;DEU;B493;;;;deu.b493;
deub4;DEU;B494;;;;deu.b494;
deub4;DEU;B495;;Glu;Glückstadt;deu.b495glu;
deub4;DEU;B495;;;Hemmoor;deu.b495;
deub4;DEU;B496;;;;deu.b496;
deub4;DEU;B497;;;;deu.b497;
deub4;DEU;B498;;;;deu.b498;
