systemName;route;banner;groupName;roots
deubbl;L10;;;deubb.l010
deubbl;L11;;;deubb.l011
deubbl;L12;;;deubb.l012
deubbl;L13;;;deubb.l013
deubbl;L14;;;deubb.l014
deubbl;L15;;;deubb.l015
deubbl;L16;;;deubb.l016
deubbl;L17;;;deubb.l017
deubbl;L18;;;deubb.l018
deubbl;L19;;;deubb.l019
deubbl;L20;;;deubb.l020
deubbl;L21;;;deubb.l021
deubbl;L22;;;deubb.l022
deubbl;L23;;Templin;deubb.l023
deubbl;L23;;Strausberg;deubb.l023str
deubbl;L24;;;deubb.l024
deubbl;L25;;;deubb.l025
deubbl;L26;;;deubb.l026
deubbl;L27;;;deubb.l027
deubbl;L28;;Angermünde;deubb.l028
deubbl;L28;;Oderaue;deubb.l028ode
deubbl;L29;;;deubb.l029
deubbl;L30;;(Main);deubb.l030
deubbl;L30;;Mittenwalde;deubb.l030mit
deubbl;L40;;;deubb.l040
