systemName;region;route;banner;abbrev;city;root;altRouteNames
deubc;DEU-NW;B1;;Aac;Aachen;deunw.b001aac;
deubc;DEU-NW;B1;;Dus;Düsseldorf;deunw.b001dus;
deubc;DEU-NW;B1;;Ess;Essen;deunw.b001ess;
deubc;DEU-NW;B1;;Dor;Dortmund;deunw.b001dor;
deubc;DEU-NW;B1;;Unn;Unna;deunw.b001unn;
deubc;DEU-NW;B1;;;Paderborn;deunw.b001;
deubc;DEU-NI;B1;;;Hildesheim;deuni.b001;
deubc;DEU-NI;B1;;Hel;Helmstedt;deuni.b001hel;
deubc;DEU-ST;B1;;;;deust.b001;
deubc;DEU-BB;B1;;Pot;Potsdam;deubb.b001pot;
deubc;DEU-BE;B1;;Zeh;Zehlendorf;deube.b001zeh;
deubc;DEU-BE;B1;;;Berlin-Mitte;deube.b001;
deubc;DEU-BB;B1;;;Müncheberg;deubb.b001;
deubc;DEU-NW;B1a;;;;deunw.b001a;
deubc;DEU-BB;B2;;;Schwedt;deubb.b002;
deubc;DEU-BB;B2;;Lin;Lindenberg;deubb.b002lin;
deubc;DEU-BE;B2;;;;deube.b002;
deubc;DEU-BB;B2;;Pot;Potsdam;deubb.b002pot;
deubc;DEU-ST;B2;;;Wittenberg;deust.b002;
deubc;DEU-SN;B2;;;;deusn.b002;
deubc;DEU-ST;B2;;Zei;Zeitz;deust.b002zei;
deubc;DEU-TH;B2;;;Gera;deuth.b002;
deubc;DEU-TH;B2;;Por;Porstendorf;deuth.b002por;
deubc;DEU-TH;B2;;Sch;Schleiz;deuth.b002sch;
deubc;DEU-TH;B2;;Gef;Gefell;deuth.b002gef;
deubc;DEU-BY;B2;;Hof;Hof;deuby.b002hof;
deubc;DEU-BY;B2;;;Nürnberg;deuby.b002;
deubc;DEU-BY;B2;;Wei;Weilheim;deuby.b002wei;
deubc;DEU-BY;B2R;;;;deuby.b002r;
deubc;DEU-NI;B3;;;;deuni.b003;
deubc;DEU-HE;B3;;Kas;Kassel;deuhe.b003kas;
deubc;DEU-HE;B3;;;Marburg;deuhe.b003;
deubc;DEU-HE;B3;;Fra;Frankfurt;deuhe.b003fra;
deubc;DEU-HE;B3;;Dar;Darmstadt;deuhe.b003dar;
deubc;DEU-BW;B3;;;;deubw.b003;
deubc;DEU-BW;B3n;;;;deubw.b003n;
deubc;DEU-SH;B4;;;;deush.b004;
deubc;DEU-HH;B4;;;;deuhh.b004;
deubc;DEU-NI;B4;;;Uelzen;deuni.b004;
deubc;DEU-NI;B4;;Har;Bad Harzburg;deuni.b004har;
deubc;DEU-TH;B4;;;Nordhausen;deuth.b004;
deubc;DEU-TH;B4;;Son;Sonneberg;deuth.b004son;
deubc;DEU-BY;B4;;;Coburg;deuby.b004;
deubc;DEU-BY;B4;;Nur;Nürnberg;deuby.b004nur;
deubc;DEU-BY;B4R;;;;deuby.b004r;
deubc;DEU-SH;B5;;;Husum;deush.b005;
deubc;DEU-HH;B5;;;;deuhh.b005;
deubc;DEU-SH;B5;;Lau;Lauenburg;deush.b005lau;
deubc;DEU-MV;B5;;;;deumv.b005;
deubc;DEU-BB;B5;;Gro;Groß Warnow;deubb.b005gro;
deubc;DEU-BB;B5;;;Nauen;deubb.b005;
deubc;DEU-BE;B5;;;;deube.b005;
deubc;DEU-BB;B5;;Mun;Müncheberg;deubb.b005mun;
deubc;DEU-HB;B6;;Bhv;Bremerhaven;deuhb.b006bhv;
deubc;DEU-NI;B6;;Lox;Loxstedt;deuni.b006lox;
deubc;DEU-HB;B6;;;Bremen;deuhb.b006;
deubc;DEU-NI;B6;;;Hannover;deuni.b006;
deubc;DEU-ST;B6;;;Blankenburg;deust.b006;
deubc;DEU-ST;B6;;Hal;Halle (Saale);deust.b006hal;
deubc;DEU-SN;B6;;;Dresden;deusn.b006;
deubc;DEU-SN;B6;;Lob;Löbau;deusn.b006lob;
deubc;DEU-HB;B6n;;;;deuhb.b006n;
deubc;DEU-NW;B7;;;Düsseldorf;deunw.b007;
deubc;DEU-NW;B7;;Hag;Hagen;deunw.b007hag;
deubc;DEU-NW;B7;;Men;Menden;deunw.b007men;
deubc;DEU-NW;B7;;War;Warburg;deunw.b007war;
deubc;DEU-HE;B7;;;Kassel;deuhe.b007;
deubc;DEU-HE;B7;;Rin;Ringgau;deuhe.b007rin;
deubc;DEU-TH;B7;;Cre;Creuzburg;deuth.b007cre;
deubc;DEU-TH;B7;;Got;Gotha;deuth.b007got;
deubc;DEU-TH;B7;;;Weimar;deuth.b007;
deubc;DEU-TH;B7;;Alt;Altenburg;deuth.b007alt;
deubc;DEU-SN;B7;;;;deusn.b007;
deubc;DEU-NW;B8;;Emm;Emmerich;deunw.b008emm;
deubc;DEU-NW;B8;;Din;Dinslaken;deunw.b008din;
deubc;DEU-NW;B8;;Dus;Düsseldorf;deunw.b008dus;
deubc;DEU-NW;B8;;;Köln;deunw.b008;
deubc;DEU-NW;B8;;Hen;Hennef;deunw.b008hen;
deubc;DEU-RP;B8;;;;deurp.b008;
deubc;DEU-HE;B8;;;Limburg;deuhe.b008;
deubc;DEU-HE;B8;;Fra;Frankfurt;deuhe.b008fra;
deubc;DEU-BY;B8;;Asc;Aschaffenburg;deuby.b008asc;
deubc;DEU-BY;B8;;Mar;Marktheidenfeld;deuby.b008mar;
deubc;DEU-BY;B8;;;Würzburg;deuby.b008;
deubc;DEU-BY;B8;;Neu;Neumarkt;deuby.b008neu;
deubc;DEU-BY;B8;;Str;Straubing;deuby.b008str;
deubc;DEU-NW;B8;AST;;Köln-Mülheim;deunw.b008ast;
deubc;DEU-NW;B8n;;;;deunw.b008n;
deubc;DEU-NW;B9;;;Geldern;deunw.b009;
deubc;DEU-NW;B9;;Dor;Dormagen;deunw.b009dor;
deubc;DEU-NW;B9;;Bon;Bonn;deunw.b009bon;
deubc;DEU-RP;B9;;Kob;Koblenz;deurp.b009kob;
deubc;DEU-RP;B9;;;Ludwigshafen;deurp.b009;
deubc;DEU-NW;B9;AST;;Köln;deunw.b009ast;
deubc;DEU-RP;B9;AST;;Speyer;deurp.b009ast;
deubc;DEU-SL;B10;;;;deusl.b010;
deubc;DEU-RP;B10;;;Pirmasens;deurp.b010;
deubc;DEU-RP;B10;;Wor;Wörth;deurp.b010wor;
deubc;DEU-BW;B10;;;;deubw.b010;
deubc;DEU-BY;B10;;;;deuby.b010;
deubc;DEU-BY;B11;;Reg;Regen;deuby.b011reg;
deubc;DEU-BY;B11;;Lan;Landshut;deuby.b011lan;
deubc;DEU-BY;B11;;;Wolfratshausen;deuby.b011;
deubc;DEU-BY;B11a;;;;deuby.b011a;
deubc;DEU-BY;B12;;Lin;Lindau;deuby.b012lin;
deubc;DEU-BW;B12;;;Argenbühl;deubw.b012;
deubc;DEU-BY;B12;;Lud;Ludwigshöhe;deuby.b012lud;
deubc;DEU-BW;B12;;Isn;Isny;deubw.b012isn;
deubc;DEU-BY;B12;;;Kempten;deuby.b012;
deubc;DEU-BY;B12;;Mun;München;deuby.b012mun;
deubc;DEU-BY;B12;;Haa;Haar;deuby.b012haa;
deubc;DEU-BY;B12;;Sim;Simbach;deuby.b012sim;
deubc;DEU-BY;B12;;Fre;Freyung;deuby.b012fre;
deubc;DEU-BY;B12;AST;;Lindau;deuby.b012ast;
deubc;DEU-BY;B12;AST;Bra;Braunau am Inn;deuby.b012astbra;
deubc;DEU-BY;B13;;;Ingolstadt;deuby.b013;
deubc;DEU-BY;B13;;Gie;München-Giesing;deuby.b013gie;
deubc;DEU-BY;B13;;Tol;Bad Tölz;deuby.b013tol;
deubc;DEU-BW;B14;;Tut;Tuttlingen;deubw.b014tut;
deubc;DEU-BW;B14;;Hor;Horb am Neckar;deubw.b014hor;
deubc;DEU-BW;B14;;Gar;Gärtringen;deubw.b014gar;
deubc;DEU-BW;B14;;;Backnang;deubw.b014;
deubc;DEU-BY;B14;;;;deuby.b014;
deubc;DEU-BY;B15;;Hof;Hof;deuby.b015hof;
deubc;DEU-BY;B15;;Tir;Tirschenreuth;deuby.b015tir;
deubc;DEU-BY;B15;;;Landshut;deuby.b015;
deubc;DEU-BY;B15a;;;;deuby.b015a;
deubc;DEU-BY;B15n;;;;deuby.b015n;
deubc;DEU-BY;B16;;;;deuby.b016;
deubc;DEU-BY;B16a;;;;deuby.b016a;
deubc;DEU-BY;B17;;;;deuby.b017;
deubc;DEU-TH;B19;;;Eisenach;deuth.b019;
deubc;DEU-TH;B19;;Bar;Barchfeld;deuth.b019bar;
deubc;DEU-BY;B19;;Pop;Poppenhausen;deuby.b019pop;
deubc;DEU-BY;B19;;Wur;Würzburg;deuby.b019wur;
deubc;DEU-BW;B19;;;;deubw.b019;
deubc;DEU-BY;B19;;;Sonthofen;deuby.b019;
deubc;DEU-BY;B20;;;;deuby.b020;
deubc;DEU-BY;B21;;;;deuby.b021;
deubc;DEU-BY;B22;;Bam;Bamberg;deuby.b022bam;
deubc;DEU-BY;B22;;;Weiden;deuby.b022;
deubc;DEU-BY;B22;AST;;Bamberg;deuby.b022ast;
deubc;DEU-BY;B23;;;;deuby.b023;
deubc;DEU-BY;B25;;;;deuby.b025;
deubc;DEU-HE;B26;;;;deuhe.b026;
deubc;DEU-BY;B26;;;Lohr am Main;deuby.b026;
deubc;DEU-BY;B26;;Bam;Bamberg;deuby.b026bam;
deubc;DEU-BY;B26a;;;;deuby.b026a;
deubc;DEU-ST;B27;;;;deust.b027;
deubc;DEU-NI;B27;;;Herzberg;deuni.b027;
deubc;DEU-NI;B27;;Fri;Friedland;deuni.b027fri;
deubc;DEU-HE;B27;;;;deuhe.b027;
deubc;DEU-BY;B27;;;;deuby.b027;
deubc;DEU-BW;B27;;;Stuttgart;deubw.b027;
deubc;DEU-BW;B27;;Jes;Jestetten;deubw.b027jes;
deubc;DEU-HE;B27;AST;;Friedland;deuhe.b027ast;
deubc;DEU-BW;B27a;;;Kornwestheim;deubw.b027a;
deubc;DEU-BW;B27a;;Stu;Stuttgart;deubw.b027astu;
deubc;DEU-BW;B28;;;;deubw.b028;
deubc;DEU-BY;B28;;;;deuby.b028;
deubc;DEU-BW;B28a;;Dor;Dornstetten;deubw.b028ador;
deubc;DEU-BW;B28a;;;Rottenburg am Neckar;deubw.b028a;
deubc;DEU-BW;B28a;;Tub;Tübingen;deubw.b028atub;
deubc;DEU-BW;B29;;;;deubw.b029;
deubc;DEU-BY;B29;;;;deuby.b029;
deubc;DEU-BY;B30;;;;deuby.b030;
deubc;DEU-BW;B30;;;;deubw.b030;
deubc;DEU-BW;B31;;;Freiburg;deubw.b031;
deubc;DEU-BW;B31;;Fri;Friedrichshafen;deubw.b031fri;
deubc;DEU-BY;B31;;;;deuby.b031;
deubc;DEU-BW;B31a;;;;deubw.b031a;
deubc;DEU-BW;B31n;;;;deubw.b031n;
deubc;DEU-BW;B32;;Hor;Horb am Neckar;deubw.b032hor;
deubc;DEU-BW;B32;;;Bad Saulgau;deubw.b032;
deubc;DEU-BY;B32;;;;deuby.b032;
deubc;DEU-BW;B32;AST;;Hechingen;deubw.b032ast;
deubc;DEU-BW;B33;;;Villingen-Schwenningen;deubw.b033;
