systemName;region;route;banner;abbrev;city;root;altRouteNames
deubwlc;DEU-BW;L67;;;;deubw.l0067;
deubwlc;DEU-BW;L75;;;;deubw.l0075;
deubwlc;DEU-BW;L76;;;;deubw.l0076;
deubwlc;DEU-BW;L76b;;;;deubw.l0076b;
deubwlc;DEU-BW;L77;;;;deubw.l0077;
deubwlc;DEU-BW;L77a;;;;deubw.l0077a;
deubwlc;DEU-BW;L78;;;;deubw.l0078;
deubwlc;DEU-BW;L78a;;;;deubw.l0078a;
deubwlc;DEU-BW;L78b;;;;deubw.l0078b;
deubwlc;DEU-BW;L79;;;;deubw.l0079;
deubwlc;DEU-BW;L79a;;;;deubw.l0079a;
deubwlc;DEU-BW;L80;;;;deubw.l0080;
deubwlc;DEU-BW;L80b;;;;deubw.l0080b;
deubwlc;DEU-BW;L83;;;;deubw.l0083;
deubwlc;DEU-BW;L83a;;;;deubw.l0083a;
deubwlc;DEU-BW;L84;;;;deubw.l0084;
deubwlc;DEU-BW;L84a;;;;deubw.l0084a;
deubwlc;DEU-BW;L85;;;;deubw.l0085;
deubwlc;DEU-BW;L86;;;;deubw.l0086;
deubwlc;DEU-BW;L86a;;;;deubw.l0086a;
deubwlc;DEU-BW;L87;;;;deubw.l0087;
deubwlc;DEU-BW;L87a;;;;deubw.l0087a;
deubwlc;DEU-BW;L88;;;;deubw.l0088;
deubwlc;DEU-BW;L89;;;;deubw.l0089;
deubwlc;DEU-BW;L90;;;;deubw.l0090;
deubwlc;DEU-BW;L91;;;;deubw.l0091;
deubwlc;DEU-BW;L92;;;;deubw.l0092;
deubwlc;DEU-BW;L93;;;;deubw.l0093;
deubwlc;DEU-BW;L94;;;;deubw.l0094;
deubwlc;DEU-BW;L95;;;;deubw.l0095;
deubwlc;DEU-BW;L96;;;;deubw.l0096;
deubwlc;DEU-BW;L98;;;;deubw.l0098;
deubwlc;DEU-BW;L99;;;;deubw.l0099;
deubwlc;DEU-BW;L100;;;;deubw.l0100;
deubwlc;DEU-BW;L101;;;;deubw.l0101;
deubwlc;DEU-BW;L102;;;;deubw.l0102;
deubwlc;DEU-BW;L103;;;;deubw.l0103;
deubwlc;DEU-BW;L104;;;;deubw.l0104;
deubwlc;DEU-BW;L105;;;;deubw.l0105;
deubwlc;DEU-BW;L106;;;;deubw.l0106;
deubwlc;DEU-BW;L107;;;;deubw.l0107;
deubwlc;DEU-BW;L108;;;;deubw.l0108;
deubwlc;DEU-BW;L109;;;;deubw.l0109;
deubwlc;DEU-BW;L110;;;;deubw.l0110;
deubwlc;DEU-BW;L111;;;;deubw.l0111;
deubwlc;DEU-BW;L112;;;;deubw.l0112;
deubwlc;DEU-BW;L113;;;;deubw.l0113;
deubwlc;DEU-BW;L114;;;;deubw.l0114;
deubwlc;DEU-BW;L115;;;;deubw.l0115;
deubwlc;DEU-BW;L116;;;;deubw.l0116;
deubwlc;DEU-BW;L118;;;;deubw.l0118;
deubwlc;DEU-BW;L1001;;;;deubw.l1001;
deubwlc;DEU-BW;L1003;;;Weikersheim;deubw.l1003;
deubwlc;DEU-BW;L1003;;Wal;Waldmannshofen;deubw.l1003wal;
deubwlc;DEU-BW;L1005;;;;deubw.l1005;
deubwlc;DEU-BW;L1008;;;;deubw.l1008;
deubwlc;DEU-BW;L1010;;Leu;Leukershausen;deubw.l1010leu;
deubwlc;DEU-BW;L1010;;;Oberstelzhausen;deubw.l1010;
deubwlc;DEU-BW;L1012;;;;deubw.l1012;
deubwlc;DEU-BW;L1014;;;;deubw.l1014;
deubwlc;DEU-BW;L1015;;;;deubw.l1015;
deubwlc;DEU-BW;L1016;;;;deubw.l1016;
deubwlc;DEU-BW;L1020;;;;deubw.l1020;
deubwlc;DEU-BW;L1022;;;;deubw.l1022;
deubwlc;DEU-BW;L1025;;;;deubw.l1025;
deubwlc;DEU-BW;L1026;;;;deubw.l1026;
deubwlc;DEU-BW;L1029;;;Ellwangen;deubw.l1029;
deubwlc;DEU-BW;L1029;;Aal;Aalen;deubw.l1029aal;
deubwlc;DEU-BW;L1033;;;;deubw.l1033;
deubwlc;DEU-BW;L1034;;;;deubw.l1034;
deubwlc;DEU-BW;L1035;;;;deubw.l1035;
deubwlc;DEU-BW;L1036;;;;deubw.l1036;
deubwlc;DEU-BW;L1037;;;;deubw.l1037;
deubwlc;DEU-BW;L1040;;;;deubw.l1040;
deubwlc;DEU-BW;L1041;;;;deubw.l1041;
deubwlc;DEU-BW;L1042;;;;deubw.l1042;
deubwlc;DEU-BW;L1044;;;;deubw.l1044;
deubwlc;DEU-BW;L1045;;;;deubw.l1045;
deubwlc;DEU-BW;L1046;;;Schöntal;deubw.l1046;
deubwlc;DEU-BW;L1046;;Woh;Wohlmuthausen;deubw.l1046woh;
deubwlc;DEU-BW;L1046;;Wal;Waldenburg;deubw.l1046wal;
deubwlc;DEU-BW;L1047;;;;deubw.l1047;
deubwlc;DEU-BW;L1048;;;;deubw.l1048;
deubwlc;DEU-BW;L1049;;;;deubw.l1049;
deubwlc;DEU-BW;L1050;;;;deubw.l1050;
deubwlc;DEU-BW;L1051;;;;deubw.l1051;
deubwlc;DEU-BW;L1054;;;;deubw.l1054;
deubwlc;DEU-BW;L1055;;;;deubw.l1055;
deubwlc;DEU-BW;L1056;;;;deubw.l1056;
deubwlc;DEU-BW;L1060;;;;deubw.l1060;
