systemName;route;banner;groupName;roots
deubystc;St320;;;deuby.st0320
deubystc;St507;;;deuby.st0507
deubystc;St508;;;deuby.st0508
deubystc;St511;;;deuby.st0511
deubystc;St521;;;deuby.st0521
deubystc;St537;;;deuby.st0537
deubystc;St578;;;deuby.st0578
deubystc;St1003;;;deuby.st1003
deubystc;St1010;;;deuby.st1010
deubystc;St1020;;;deuby.st1020
deubystc;St1022;;;deuby.st1022
deubystc;St1040;;;deuby.st1040
deubystc;St1060;;;deuby.st1060
deubystc;St1066;;;deuby.st1066
deubystc;St1076;;;deuby.st1076
deubystc;St1082;;;deuby.st1082
deubystc;St1168;;;deuby.st1168
deubystc;St1260;;;deuby.st1260
deubystc;St1299;;;deuby.st1299
deubystc;St1308;;;deuby.st1308
deubystc;St1318;;;deuby.st1318
deubystc;St2001;;;deuby.st2001
deubystc;St2002;;;deuby.st2002
deubystc;St2003;;;deuby.st2003
deubystc;St2004;;;deuby.st2004
deubystc;St2005;;;deuby.st2005
deubystc;St2006;;;deuby.st2006
deubystc;St2007;;;deuby.st2007
deubystc;St2008;;Seeg;deuby.st2008
deubystc;St2008;;Hohenschwangau;deuby.st2008hoh
deubystc;St2009;;Memmingen;deuby.st2009mem
deubystc;St2009;;Altusried;deuby.st2009
deubystc;St2010;;;deuby.st2010
deubystc;St2011;;;deuby.st2011
deubystc;St2012;;;deuby.st2012
deubystc;St2013;;;deuby.st2013
deubystc;St2014;;;deuby.st2014
deubystc;St2015;;;deuby.st2015
deubystc;St2016;;;deuby.st2016
deubystc;St2017;;;deuby.st2017
deubystc;St2018;;;deuby.st2018
deubystc;St2019;;;deuby.st2019
deubystc;St2020;;;deuby.st2020
deubystc;St2021;;Neu-Ulm;deuby.st2021neu
deubystc;St2021;;Nersingen;deuby.st2021
deubystc;St2022;;;deuby.st2022
deubystc;St2023;;Neu-Ulm;deuby.st2023neu
deubystc;St2023;;Ichenhausen;deuby.st2023
deubystc;St2024;;;deuby.st2024
deubystc;St2025;;;deuby.st2025
deubystc;St2026;;;deuby.st2026
deubystc;St2027;;Rain;deuby.st2027rai
deubystc;St2027;;Zusmarshausen;deuby.st2027
deubystc;St2028;;;deuby.st2028
deubystc;St2029;;;deuby.st2029
deubystc;St2030;;;deuby.st2030
deubystc;St2031;;;deuby.st2031
deubystc;St2032;;;deuby.st2032
deubystc;St2033;;;deuby.st2033
deubystc;St2034;;;deuby.st2034
deubystc;St2035;;Nassenfels;deuby.st2035nas
deubystc;St2035;;Pöttmes;deuby.st2035pot
deubystc;St2035;;Schwabmünchen;deuby.st2035
deubystc;St2036;;Wertingen;deuby.st2036
deubystc;St2036;;Augsburg;deuby.st2036aug
deubystc;St2037;;;deuby.st2037
deubystc;St2038;;;deuby.st2038
deubystc;St2040;;;deuby.st2040
deubystc;St2041;;;deuby.st2041
deubystc;St2042;;;deuby.st2042
deubystc;St2043;;;deuby.st2043
deubystc;St2044;;;deuby.st2044
deubystc;St2045;;Schrobenhausen;deuby.st2045
deubystc;St2045;;Landshut;deuby.st2045lan
deubystc;St2046;;;deuby.st2046
deubystc;St2047;;;deuby.st2047
deubystc;St2048;;;deuby.st2048
deubystc;St2049;;Karshuld;deuby.st2049kar
deubystc;St2049;;Mainburg;deuby.st2049
deubystc;St2050;;;deuby.st2050
deubystc;St2051;;;deuby.st2051
deubystc;St2052;;;deuby.st2052
deubystc;St2053;;Unterschleißheim;deuby.st2053
deubystc;St2053;;Ismaning;deuby.st2053ism
deubystc;St2054;;;deuby.st2054
deubystc;St2055;;;deuby.st2055
deubystc;St2056;;;deuby.st2056
deubystc;St2057;;;deuby.st2057
deubystc;St2058;;;deuby.st2058
deubystc;St2059;;;deuby.st2059
deubystc;St2060;;;deuby.st2060
deubystc;St2061;;;deuby.st2061
deubystc;St2062;;;deuby.st2062
deubystc;St2063;;;deuby.st2063
deubystc;St2064;;;deuby.st2064
deubystc;St2065;;;deuby.st2065
deubystc;St2066;;;deuby.st2066
deubystc;St2067;;;deuby.st2067
deubystc;St2068;;;deuby.st2068
deubystc;St2069;;;deuby.st2069
deubystc;St2070;;;deuby.st2070
deubystc;St2071;;;deuby.st2071
deubystc;St2072;;;deuby.st2072
deubystc;St2073;;;deuby.st2073
deubystc;St2074;;;deuby.st2074
deubystc;St2075;;;deuby.st2075
deubystc;St2076;;;deuby.st2076
deubystc;St2077;;;deuby.st2077
deubystc;St2078;;Neubiberg;deuby.st2078neu
deubystc;St2078;;Bruckmühl;deuby.st2078
deubystc;St2079;;;deuby.st2079
deubystc;St2080;;;deuby.st2080
deubystc;St2081;;;deuby.st2081
deubystc;St2082;;;deuby.st2082
deubystc;St2083;;;deuby.st2083
deubystc;St2084;;Pfaffenhofen;deuby.st2084pfa
deubystc;St2084;;Erding;deuby.st2084
deubystc;St2085;;;deuby.st2085
deubystc;St2086;;;deuby.st2086
deubystc;St2087;;;deuby.st2087
deubystc;St2088;;;deuby.st2088
deubystc;St2089;;;deuby.st2089
deubystc;St2090;;;deuby.st2090
deubystc;St2091;;;deuby.st2091
deubystc;St2092;;;deuby.st2092
deubystc;St2093;;Prien am Chiemsee;deuby.st2093
deubystc;St2093;;Oberaudorf;deuby.st2093obe
deubystc;St2094;;;deuby.st2094
deubystc;St2095;;;deuby.st2095
deubystc;St2096;;;deuby.st2096
deubystc;St2097;;;deuby.st2097
deubystc;St2098;;;deuby.st2098
deubystc;St2099;;;deuby.st2099
deubystc;St2100;;;deuby.st2100
deubystc;St2101;;;deuby.st2101
deubystc;St2102;;;deuby.st2102
deubystc;St2103;;;deuby.st2103
deubystc;St2104;;;deuby.st2104
deubystc;St2105;;;deuby.st2105
deubystc;St2106;;;deuby.st2106
deubystc;St2107;;;deuby.st2107
deubystc;St2108;;Eggenfelden;deuby.st2108
deubystc;St2108;;Burghausen;deuby.st2108bur
deubystc;St2109;;;deuby.st2109
deubystc;St2110;;;deuby.st2110
deubystc;St2111;;;deuby.st2111
deubystc;St2112;;;deuby.st2112
deubystc;St2113;;;deuby.st2113
deubystc;St2114;;;deuby.st2114
deubystc;St2115;;;deuby.st2115
deubystc;St2116;;;deuby.st2116
deubystc;St2117;;;deuby.st2117
deubystc;St2118;;;deuby.st2118
deubystc;St2119;;;deuby.st2119
deubystc;St2120;;Creußen;deuby.st2120cre
deubystc;St2120;;Hahnbach;deuby.st2120
deubystc;St2121;;;deuby.st2121
deubystc;St2122;;;deuby.st2122
deubystc;St2123;;;deuby.st2123
deubystc;St2124;;;deuby.st2124
deubystc;St2125;;Deggendorf;deuby.st2125
deubystc;St2125;;Passau;deuby.st2125pas
deubystc;St2126;;;deuby.st2126
deubystc;St2127;;;deuby.st2127
deubystc;St2128;;Thurmansbang;deuby.st2128thu
deubystc;St2128;;Hauzenberg;deuby.st2128
deubystc;St2129;;;deuby.st2129
deubystc;St2130;;;deuby.st2130
deubystc;St2131;;;deuby.st2131
deubystc;St2132;;Zwiesel;deuby.st2132
deubystc;St2132;;Hauzenberg;deuby.st2132hau
deubystc;St2133;;;deuby.st2133
deubystc;St2134;;;deuby.st2134
deubystc;St2135;;;deuby.st2135
deubystc;St2136;;;deuby.st2136
deubystc;St2137;;;deuby.st2137
deubystc;St2138;;Arrach;deuby.st2138
