systemName;route;banner;groupName;roots
deuhelc;L163;HE;;deu.hel0163he
deuhelc;L535;HE;Abtsteinach;deu.hel0535he
deuhelc;L535;HE;Neckarsteinach;deu.hel0535henec
deuhelc;L553;HE;;deu.hel0553he
deuhelc;L561;HE;;deu.hel0561he
deuhelc;L562;HE;;deu.hel0562he
deuhelc;L617;HE;;deu.hel0617he
deuhelc;L631;HE;;deu.hel0631he
deuhelc;L763;HE;;deu.hel0763he
deuhelc;L1328;HE;;deu.hel1328he
deuhelc;L1551;HE;;deu.hel1551he
deuhelc;L1571;HE;;deu.hel1571he
deuhelc;L2289;HE;;deu.hel2289he
deuhelc;L2303;HE;;deu.hel2303he
deuhelc;L2304;HE;;deu.hel2304he
deuhelc;L2306;HE;;deu.hel2306he
deuhelc;L2310;HE;(Main);deu.hel2310he
deuhelc;L2310;HE;Seligenstadt;deu.hel2310hesel
deuhelc;L2311;HE;;deu.hel2311he
deuhelc;L2604;HE;;deu.hel2604he
deuhelc;L2790;HE;;deu.hel2790he
deuhelc;L2905;HE;;deu.hel2905he
deuhelc;L3001;HE;;deu.hel3001he
deuhelc;L3002;HE;;deu.hel3002he
deuhelc;L3003;HE;;deu.hel3003he
deuhelc;L3004;HE;;deu.hel3004he
deuhelc;L3005;HE;;deu.hel3005he
deuhelc;L3006;HE;;deu.hel3006he
deuhelc;L3007;HE;;deu.hel3007he
deuhelc;L3008;HE;;deu.hel3008he
deuhelc;L3009;HE;;deu.hel3009he
deuhelc;L3010;HE;;deu.hel3010he
deuhelc;L3011;HE;(Main);deu.hel3011he
deuhelc;L3011;HE;Hofheim;deu.hel3011hehof
deuhelc;L3012;HE;;deu.hel3012he
deuhelc;L3013;HE;;deu.hel3013he
deuhelc;L3014;HE;;deu.hel3014he
deuhelc;L3015;HE;;deu.hel3015he
deuhelc;L3016;HE;;deu.hel3016he
deuhelc;L3017;HE;(Main);deu.hel3017he
deuhelc;L3017;HE;Bremthal;deu.hel3017hebre
deuhelc;L3018;HE;Langenhain;deu.hel3018he
deuhelc;L3018;HE;Zeilsheim;deu.hel3018hezei
deuhelc;L3019;HE;;deu.hel3019he
deuhelc;L3020;HE;;deu.hel3020he
deuhelc;L3021;HE;;deu.hel3021he
