systemName;route;banner;groupName;roots
deushl;L1;;;deush.l001
deushl;L2;;;deush.l002
deushl;L3;;;deush.l003
deushl;L4;;;deush.l004
deushl;L5;;;deush.l005
deushl;L6;;;deush.l006
deushl;L7;;;deush.l007
deushl;L8;;;deush.l008
deushl;L9;;;deush.l009
deushl;L10;;;deush.l010
deushl;L11;;;deush.l011
deushl;L12;;;deush.l012
deushl;L13;;;deush.l013
deushl;L14;;;deush.l014
deushl;L15;;;deush.l015
deushl;L16;;;deush.l016
deushl;L17;;;deush.l017
deushl;L21;;;deush.l021
deushl;L22;;;deush.l022
deushl;L23;;;deush.l023
deushl;L24;;;deush.l024
deushl;L25;;;deush.l025
deushl;L26;;;deush.l026
deushl;L27;;;deush.l027
deushl;L28;;;deush.l028
deushl;L29;;;deush.l029
deushl;L30;;;deush.l030
deushl;L31;;;deush.l031
deushl;L32;;;deush.l032
deushl;L33;;;deush.l033
deushl;L34;;;deush.l034
deushl;L36;;;deush.l036
deushl;L37;;;deush.l037
deushl;L38;;;deush.l038
deushl;L39;;;deush.l039
deushl;L40;;;deush.l040
deushl;L42;;;deush.l042
deushl;L44;;;deush.l044
deushl;L45;;;deush.l045
deushl;L46;;;deush.l046
deushl;L47;;Rendsburg;deush.l047ren
deushl;L47;;Rendsburg-Altstadt;deush.l047alt
deushl;L47;;Bovenau;deush.l047
deushl;L48;;;deush.l048
deushl;L49;;Bordesholm;deush.l049
deushl;L49;;Preetz;deush.l049pre
