systemName;region;route;banner;abbrev;city;root;altRouteNames
deusll;DEU-SL;L101;;;;deusl.l101;
deusll;DEU-SL;L102;;;;deusl.l102;
deusll;DEU-SL;L103;;;;deusl.l103;
deusll;DEU-SL;L104;;;;deusl.l104;
deusll;DEU-SL;L105;;;;deusl.l105;
deusll;DEU-SL;L106;;;;deusl.l106;
deusll;DEU-SL;L107;;;;deusl.l107;
deusll;DEU-SL;L108;;;;deusl.l108;
deusll;DEU-SL;L109;;;;deusl.l109;
deusll;DEU-SL;L110;;;;deusl.l110;
deusll;DEU-SL;L111;;;;deusl.l111;
deusll;DEU-SL;L112;;;;deusl.l112;
deusll;DEU-SL;L113;;;;deusl.l113;
deusll;DEU-SL;L114;;;;deusl.l114;
deusll;DEU-SL;L115;;;;deusl.l115;
deusll;DEU-SL;L116;;;;deusl.l116;
deusll;DEU-SL;L117;;;;deusl.l117;
deusll;DEU-SL;L118;;;;deusl.l118;
deusll;DEU-SL;L119;;;;deusl.l119;
deusll;DEU-SL;L120;;;Homburg;deusl.l120;
deusll;DEU-SL;L120;;Kir;Kirrberg;deusl.l120kir;
deusll;DEU-SL;L121;;;;deusl.l121;
deusll;DEU-SL;L122;;;;deusl.l122;
deusll;DEU-SL;L123;;;;deusl.l123;
deusll;DEU-SL;L124;;;;deusl.l124;
deusll;DEU-SL;L125;;;;deusl.l125;
deusll;DEU-SL;L126;;;;deusl.l126;
deusll;DEU-SL;L127;;;;deusl.l127;
deusll;DEU-SL;L128;;;;deusl.l128;
deusll;DEU-SL;L129;;;;deusl.l129;
deusll;DEU-SL;L130;;;;deusl.l130;
deusll;DEU-SL;L131;;;;deusl.l131;
deusll;DEU-SL;L132;;;;deusl.l132;
deusll;DEU-SL;L133;;Mar;Marpingen;deusl.l133mar;
deusll;DEU-SL;L133;;Win;Winterbach;deusl.l133win;
deusll;DEU-SL;L133;;;Freisen;deusl.l133;
deusll;DEU-SL;L133;;FrE;Freisen-East;deusl.l133fre;
deusll;DEU-SL;L134;;;;deusl.l134;
deusll;DEU-SL;L135;;;;deusl.l135;
deusll;DEU-SL;L136;;;;deusl.l136;
deusll;DEU-SL;L139;;;;deusl.l139;
deusll;DEU-SL;L140;;;;deusl.l140;
deusll;DEU-SL;L141;;;;deusl.l141;
deusll;DEU-SL;L142;;;;deusl.l142;
deusll;DEU-SL;L143;;Dil;Dillingen;deusl.l143dil;
deusll;DEU-SL;L143;;;Schmelz;deusl.l143;
deusll;DEU-SL;L145;;;;deusl.l145;
deusll;DEU-SL;L146;;;;deusl.l146;
deusll;DEU-SL;L147;;;(Main);deusl.l147;
deusll;DEU-SL;L147;;Otz;Otzenhausen;deusl.l147otz;
deusll;DEU-SL;L148;;;;deusl.l148;
deusll;DEU-SL;L149;;;(Main);deusl.l149;
deusll;DEU-SL;L149;;Non;Nonnweiler;deusl.l149non;
deusll;DEU-SL;L150;;;;deusl.l150;
deusll;DEU-SL;L151;;;;deusl.l151;
deusll;DEU-SL;L152;;;;deusl.l152;
deusll;DEU-SL;L156;;;;deusl.l156;
deusll;DEU-SL;L157;;;;deusl.l157;
deusll;DEU-SL;L158;;;;deusl.l158;
deusll;DEU-SL;L163;;;(Main);deusl.l163;
deusll;DEU-SL;L163;;Kla;Klarenthal;deusl.l163kla;
deusll;DEU-SL;L164;;;;deusl.l164;
deusll;DEU-SL;L165;;;;deusl.l165;
deusll;DEU-SL;L167;;;;deusl.l167;
deusll;DEU-SL;L168;;;;deusl.l168;
deusll;DEU-SL;L169;;;;deusl.l169;
deusll;DEU-SL;L170;;;(Main);deusl.l170;
deusll;DEU-SL;L170;;Mer;Merzig;deusl.l170mer;
deusll;DEU-SL;L171;;;;deusl.l171;
deusll;DEU-SL;L172;;;;deusl.l172;
deusll;DEU-SL;L173;;;;deusl.l173;
deusll;DEU-SL;L174;;;;deusl.l174;
deusll;DEU-SL;L175;;;;deusl.l175;
deusll;DEU-SL;L176;;;;deusl.l176;
deusll;DEU-SL;L177;;;;deusl.l177;
deusll;DEU-SL;L178;;;;deusl.l178;
