systemName;region;route;banner;abbrev;city;root;altRouteNames
deusns;DEU-SN;S1;;;;deusn.s001;
deusns;DEU-SN;S2;;;Delitzsch;deusn.s002;
deusns;DEU-SN;S4;;Kyh;Kyhna;deusn.s004kyh;
deusns;DEU-SN;S4;;;;deusn.s004;
deusns;DEU-SN;S7;;;;deusn.s007;
deusns;DEU-SN;S8;;;;deusn.s008;
deusns;DEU-SN;S8a;;;(Main);deusn.s008a;
deusns;DEU-SN;S8a;;Fre;Freiroda;deusn.s008afre;
deusns;DEU-SN;S9;;;;deusn.s009;
deusns;DEU-SN;S11;;;;deusn.s011;
deusns;DEU-SN;S12;;;;deusn.s012;
deusns;DEU-SN;S16;;;;deusn.s016;
deusns;DEU-SN;S17;;;;deusn.s017;
deusns;DEU-SN;S19;;;;deusn.s019;
deusns;DEU-SN;S20;;;;deusn.s020;
deusns;DEU-SN;S21;;;;deusn.s021;
deusns;DEU-SN;S22;;;;deusn.s022;
deusns;DEU-SN;S23;;;;deusn.s023;
deusns;DEU-SN;S24;;;;deusn.s024;
deusns;DEU-SN;S25;;;;deusn.s025;
deusns;DEU-SN;S27;;;;deusn.s027;
deusns;DEU-SN;S28;;;;deusn.s028;
deusns;DEU-SN;S29;;;;deusn.s029;
deusns;DEU-SN;S30;;;;deusn.s030;
deusns;DEU-SN;S31;;;;deusn.s031;
deusns;DEU-SN;S32;;Wal;Waldheim;deusn.s032wal;
deusns;DEU-SN;S32;;;Lommatzsch;deusn.s032;
deusns;DEU-SN;S33;;;;deusn.s033;
deusns;DEU-SN;S34;;;;deusn.s034;
deusns;DEU-SN;S35;;;;deusn.s035;
deusns;DEU-SN;S36;;;(Main);deusn.s036;
deusns;DEU-SN;S36;;Nos;Nossen;deusn.s036nos;
deusns;DEU-SN;S37;;;;deusn.s037;
deusns;DEU-SN;S38;;;;deusn.s038;
deusns;DEU-SN;S39;;;;deusn.s039;
deusns;DEU-SN;S40;;;;deusn.s040;
deusns;DEU-SN;S41;;;;deusn.s041;
deusns;DEU-SN;S42;;;;deusn.s042;
deusns;DEU-SN;S43;;;;deusn.s043;
deusns;DEU-SN;S44;;Gei;Geithain;deusn.s044gei;
deusns;DEU-SN;S44;;;Leisnig;deusn.s044;
deusns;DEU-SN;S45;;;;deusn.s045;
deusns;DEU-SN;S46;;;;deusn.s046;
deusns;DEU-SN;S47;;;;deusn.s047;
deusns;DEU-SN;S48;;;;deusn.s048;
deusns;DEU-SN;S49;;;;deusn.s049;
deusns;DEU-SN;S50;;;Deutzen;deusn.s050;
deusns;DEU-SN;S50;;Kit;Kitzscher;deusn.s050kit;
deusns;DEU-SN;S51;;;Frohburg;deusn.s051;
deusns;DEU-SN;S51;;Pen;Penig;deusn.s051pen;
deusns;DEU-SN;S52;;;;deusn.s052;
deusns;DEU-SN;S53;;;;deusn.s053;
deusns;DEU-SN;S54;;;;deusn.s054;
deusns;DEU-SN;S55;;;;deusn.s055;
deusns;DEU-SN;S56;;;;deusn.s056;
deusns;DEU-SN;S57;;;;deusn.s057;
deusns;DEU-SN;S58;;;;deusn.s058;
deusns;DEU-SN;S59;;;;deusn.s059;
deusns;DEU-SN;S61;;;;deusn.s061;
deusns;DEU-SN;S65;;;;deusn.s065;
deusns;DEU-SN;S68;;;;deusn.s068;
deusns;DEU-SN;S71;;;;deusn.s071;
deusns;DEU-SN;S72;;;;deusn.s072;
deusns;DEU-SN;S73;;;;deusn.s073;
deusns;DEU-SN;S74;;;;deusn.s074;
deusns;DEU-SN;S75;;;;deusn.s075;
deusns;DEU-SN;S76;;;;deusn.s076;
deusns;DEU-SN;S77;;;;deusn.s077;
deusns;DEU-SN;S78;;;;deusn.s078;
deusns;DEU-SN;S80;;;;deusn.s080;
deusns;DEU-SN;S81;;;;deusn.s081;
deusns;DEU-SN;S82;;;;deusn.s082;
deusns;DEU-SN;S83;;;;deusn.s083;
deusns;DEU-SN;S84;;;Coswig;deusn.s084;
deusns;DEU-SN;S84;;Nie;Niederwartha;deusn.s084nie;
deusns;DEU-SN;S85;;;(Main);deusn.s085;
deusns;DEU-SN;S85;;Lom;Lommatzsch;deusn.s085lom;
deusns;DEU-SN;S86;;;;deusn.s086;
deusns;DEU-SN;S87;;;;deusn.s087;
deusns;DEU-SN;S88;;;;deusn.s088;
deusns;DEU-SN;S89;;;;deusn.s089;
deusns;DEU-SN;S90;;;;deusn.s090;
deusns;DEU-SN;S91;;;;deusn.s091;
deusns;DEU-SN;S92;;Wie;Wiednitz;deusn.s092wie;
deusns;DEU-SN;S92;;;Schmerlitz;deusn.s092;
deusns;DEU-SN;S93;;;;deusn.s093;
deusns;DEU-SN;S94;;;;deusn.s094;
deusns;DEU-SN;S95;;;;deusn.s095;
deusns;DEU-SN;S96;;;;deusn.s096;
deusns;DEU-SN;S97;;;;deusn.s097;
deusns;DEU-SN;S98;;;;deusn.s098;
deusns;DEU-SN;S99;;;;deusn.s099;
deusns;DEU-SN;S100;;;;deusn.s100;
deusns;DEU-SN;S101;;;;deusn.s101;
deusns;DEU-SN;S103;;;;deusn.s103;
deusns;DEU-SN;S104;;;;deusn.s104;
deusns;DEU-SN;S105;;;;deusn.s105;
deusns;DEU-SN;S106;;;;deusn.s106;
deusns;DEU-SN;S107;;;;deusn.s107;
deusns;DEU-SN;S108;;;;deusn.s108;
deusns;DEU-SN;S109;;;;deusn.s109;
deusns;DEU-SN;S110;;;;deusn.s110;
deusns;DEU-SN;S111;;;;deusn.s111;
deusns;DEU-SN;S112;;;;deusn.s112;
deusns;DEU-SN;S114;;;;deusn.s114;
deusns;DEU-SN;S115;;;;deusn.s115;
deusns;DEU-SN;S116;;;;deusn.s116;
deusns;DEU-SN;S117;;;;deusn.s117;
deusns;DEU-SN;S118;;;;deusn.s118;
deusns;DEU-SN;S119;;;;deusn.s119;
deusns;DEU-SN;S120;;;;deusn.s120;
deusns;DEU-SN;S121;;;;deusn.s121;
deusns;DEU-SN;S122;;;;deusn.s122;
deusns;DEU-SN;S123;;;;deusn.s123;
deusns;DEU-SN;S124;;;;deusn.s124;
deusns;DEU-SN;S125;;;;deusn.s125;
deusns;DEU-SN;S126;;;;deusn.s126;
deusns;DEU-SN;S127;;;;deusn.s127;
deusns;DEU-SN;S128;;;;deusn.s128;
deusns;DEU-SN;S129;;;;deusn.s129;
deusns;DEU-SN;S130;;;;deusn.s130;
deusns;DEU-SN;S131;;;;deusn.s131;
deusns;DEU-SN;S132;;;;deusn.s132;
deusns;DEU-SN;S132a;;;;deusn.s132a;
deusns;DEU-SN;S133;;;;deusn.s133;
deusns;DEU-SN;S134;;;;deusn.s134;
deusns;DEU-SN;S135;;;;deusn.s135;
deusns;DEU-SN;S136;;;;deusn.s136;
deusns;DEU-SN;S137;;;;deusn.s137;
deusns;DEU-SN;S138;;;;deusn.s138;
deusns;DEU-SN;S139;;;;deusn.s139;
deusns;DEU-SN;S140;;;;deusn.s140;
deusns;DEU-SN;S141;;;;deusn.s141;
deusns;DEU-SN;S142;;;;deusn.s142;
deusns;DEU-SN;S143;;;;deusn.s143;
deusns;DEU-SN;S144;;;;deusn.s144;
deusns;DEU-SN;S145;;;;deusn.s145;
deusns;DEU-SN;S146;;;;deusn.s146;
deusns;DEU-SN;S148;;;;deusn.s148;
deusns;DEU-SN;S151;;;;deusn.s151;
deusns;DEU-SN;S152;;;;deusn.s152;
deusns;DEU-SN;S153;;;;deusn.s153;
deusns;DEU-SN;S154;;;;deusn.s154;
deusns;DEU-SN;S154a;;;;deusn.s154a;
deusns;DEU-SN;S155;;;;deusn.s155;
deusns;DEU-SN;S156;;;;deusn.s156;
deusns;DEU-SN;S156a;;;;deusn.s156a;
deusns;DEU-SN;S157;;;;deusn.s157;
deusns;DEU-SN;S158;;;;deusn.s158;
deusns;DEU-SN;S159;;;;deusn.s159;
deusns;DEU-SN;S160;;;;deusn.s160;
deusns;DEU-SN;S161;;;;deusn.s161;
deusns;DEU-SN;S163;;;;deusn.s163;
deusns;DEU-SN;S164;;;;deusn.s164;
deusns;DEU-SN;S165;;;;deusn.s165;
deusns;DEU-SN;S167;;;;deusn.s167;
deusns;DEU-SN;S168;;;;deusn.s168;
deusns;DEU-SN;S169;;;;deusn.s169;
deusns;DEU-SN;S170;;;;deusn.s170;
deusns;DEU-SN;S171;;;;deusn.s171;
deusns;DEU-SN;S172;;;;deusn.s172;
deusns;DEU-SN;S173;;;;deusn.s173;
deusns;DEU-SN;S174;;;;deusn.s174;
deusns;DEU-SN;S175;;;;deusn.s175;
deusns;DEU-SN;S176;;;;deusn.s176;
deusns;DEU-SN;S177;;;(Main);deusn.s177;
deusns;DEU-SN;S177;;Rad;Radeburg;deusn.s177rad;
deusns;DEU-SN;S178;;;;deusn.s178;
deusns;DEU-SN;S178a;;;;deusn.s178a;
deusns;DEU-SN;S179;;;;deusn.s179;
deusns;DEU-SN;S180;;;;deusn.s180;
deusns;DEU-SN;S181;;;;deusn.s181;
deusns;DEU-SN;S182;;;;deusn.s182;
deusns;DEU-SN;S183;;;;deusn.s183;
deusns;DEU-SN;S184;;;;deusn.s184;
deusns;DEU-SN;S185;;;;deusn.s185;
deusns;DEU-SN;S186;;;;deusn.s186;
deusns;DEU-SN;S187;;;;deusn.s187;
deusns;DEU-SN;S188;;;;deusn.s188;
deusns;DEU-SN;S189;;;;deusn.s189;
deusns;DEU-SN;S190;;;;deusn.s190;
deusns;DEU-SN;S191;;;;deusn.s191;
deusns;DEU-SN;S192;;;;deusn.s192;
deusns;DEU-SN;S193;;;;deusn.s193;
deusns;DEU-SN;S194;;;;deusn.s194;
deusns;DEU-SN;S195;;;;deusn.s195;
deusns;DEU-SN;S196;;;;deusn.s196;
deusns;DEU-SN;S197;;;;deusn.s197;
deusns;DEU-SN;S198;;;;deusn.s198;
