systemName;route;banner;groupName;roots
deusns;S1;;;deusn.s001
deusns;S2;;;deusn.s002
deusns;S4;;Kyhna;deusn.s004kyh
deusns;S4;;;deusn.s004
deusns;S7;;;deusn.s007
deusns;S8;;;deusn.s008
deusns;S8a;;(Main);deusn.s008a
deusns;S8a;;Freiroda;deusn.s008afre
deusns;S9;;;deusn.s009
deusns;S11;;;deusn.s011
deusns;S12;;;deusn.s012
deusns;S16;;;deusn.s016
deusns;S17;;;deusn.s017
deusns;S19;;;deusn.s019
deusns;S20;;;deusn.s020
deusns;S21;;;deusn.s021
deusns;S22;;;deusn.s022
deusns;S23;;;deusn.s023
deusns;S24;;;deusn.s024
deusns;S25;;;deusn.s025
deusns;S27;;;deusn.s027
deusns;S28;;;deusn.s028
deusns;S29;;;deusn.s029
deusns;S30;;;deusn.s030
deusns;S31;;;deusn.s031
deusns;S32;;Waldheim;deusn.s032wal
deusns;S32;;Lommatzsch;deusn.s032
deusns;S33;;;deusn.s033
deusns;S34;;;deusn.s034
deusns;S35;;;deusn.s035
deusns;S36;;(Main);deusn.s036
deusns;S36;;Nossen;deusn.s036nos
deusns;S37;;;deusn.s037
deusns;S38;;;deusn.s038
deusns;S39;;;deusn.s039
deusns;S40;;;deusn.s040
deusns;S41;;;deusn.s041
deusns;S42;;;deusn.s042
deusns;S43;;;deusn.s043
deusns;S44;;Geithain;deusn.s044gei
deusns;S44;;Leisnig;deusn.s044
deusns;S45;;;deusn.s045
deusns;S46;;;deusn.s046
deusns;S47;;;deusn.s047
deusns;S48;;;deusn.s048
deusns;S49;;;deusn.s049
deusns;S50;;Deutzen;deusn.s050
deusns;S50;;Kitzscher;deusn.s050kit
deusns;S51;;Frohburg;deusn.s051
deusns;S51;;Penig;deusn.s051pen
deusns;S52;;;deusn.s052
deusns;S53;;;deusn.s053
deusns;S54;;;deusn.s054
deusns;S55;;;deusn.s055
deusns;S56;;;deusn.s056
deusns;S57;;;deusn.s057
deusns;S58;;;deusn.s058
deusns;S59;;;deusn.s059
deusns;S61;;;deusn.s061
deusns;S65;;;deusn.s065
deusns;S68;;;deusn.s068
deusns;S71;;;deusn.s071
deusns;S72;;;deusn.s072
deusns;S73;;;deusn.s073
deusns;S74;;;deusn.s074
deusns;S75;;;deusn.s075
deusns;S76;;;deusn.s076
deusns;S77;;;deusn.s077
deusns;S78;;;deusn.s078
deusns;S80;;;deusn.s080
deusns;S81;;;deusn.s081
deusns;S82;;;deusn.s082
deusns;S83;;;deusn.s083
deusns;S84;;Coswig;deusn.s084
deusns;S84;;Niederwartha;deusn.s084nie
deusns;S85;;(Main);deusn.s085
deusns;S85;;Lommatzsch;deusn.s085lom
deusns;S86;;;deusn.s086
deusns;S87;;;deusn.s087
deusns;S88;;;deusn.s088
deusns;S89;;;deusn.s089
deusns;S90;;;deusn.s090
deusns;S91;;;deusn.s091
deusns;S92;;Wiednitz;deusn.s092wie
deusns;S92;;Schmerlitz;deusn.s092
deusns;S93;;;deusn.s093
deusns;S94;;;deusn.s094
deusns;S95;;;deusn.s095
deusns;S96;;;deusn.s096
deusns;S97;;;deusn.s097
deusns;S98;;;deusn.s098
deusns;S99;;;deusn.s099
deusns;S100;;;deusn.s100
deusns;S101;;;deusn.s101
deusns;S103;;;deusn.s103
deusns;S104;;;deusn.s104
deusns;S105;;;deusn.s105
deusns;S106;;;deusn.s106
deusns;S107;;;deusn.s107
deusns;S108;;;deusn.s108
deusns;S109;;;deusn.s109
deusns;S110;;;deusn.s110
deusns;S111;;;deusn.s111
deusns;S112;;;deusn.s112
deusns;S114;;;deusn.s114
deusns;S115;;;deusn.s115
deusns;S116;;;deusn.s116
deusns;S117;;;deusn.s117
deusns;S118;;;deusn.s118
deusns;S119;;;deusn.s119
deusns;S120;;;deusn.s120
deusns;S121;;;deusn.s121
deusns;S122;;;deusn.s122
deusns;S123;;;deusn.s123
deusns;S124;;;deusn.s124
deusns;S125;;;deusn.s125
deusns;S126;;;deusn.s126
deusns;S127;;;deusn.s127
deusns;S128;;;deusn.s128
deusns;S129;;;deusn.s129
deusns;S130;;;deusn.s130
deusns;S131;;;deusn.s131
deusns;S132;;;deusn.s132
deusns;S132a;;;deusn.s132a
deusns;S133;;;deusn.s133
deusns;S134;;;deusn.s134
deusns;S135;;;deusn.s135
deusns;S136;;;deusn.s136
deusns;S137;;;deusn.s137
deusns;S138;;;deusn.s138
deusns;S139;;;deusn.s139
deusns;S140;;;deusn.s140
deusns;S141;;;deusn.s141
deusns;S142;;;deusn.s142
deusns;S143;;;deusn.s143
deusns;S144;;;deusn.s144
deusns;S145;;;deusn.s145
deusns;S146;;;deusn.s146
deusns;S148;;;deusn.s148
deusns;S151;;;deusn.s151
deusns;S152;;;deusn.s152
deusns;S153;;;deusn.s153
deusns;S154;;;deusn.s154
deusns;S154a;;;deusn.s154a
deusns;S155;;;deusn.s155
deusns;S156;;;deusn.s156
deusns;S156a;;;deusn.s156a
deusns;S157;;;deusn.s157
deusns;S158;;;deusn.s158
deusns;S159;;;deusn.s159
deusns;S160;;;deusn.s160
deusns;S161;;;deusn.s161
deusns;S163;;;deusn.s163
deusns;S164;;;deusn.s164
